Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway
xnPvnT2l,CZECH 2,ROUND 3,2025-07-30,12:00,Sparta Prague B,Slavia Prague B,5.0,2.5,2.1,1.25,3.41,2.22,1.56,5.33,1.11,4.5,3.9,1.55,1.01,15.0,1.16,4.41,1.56,2.22,2.43,1.47,4.23,1.17,1.67,2.1,2.25,1.22,1.17,17.0,9.0,9.0,13.0,17.0,8.5,8.5,12.0,29.0,15.0,15.0,21.0,51.0,34.0,34.0,41.0,151.0,0.2222222222222222,0.25641025641025644,0.6451612903225806,0.47008432030891856,1.153846153846154,2.903225806451613,0.8666666666666667,2.5161290322580645,0.34444444444444444,0.39743589743589747,2.95,0.6000000000000001,2.3499999999999996,-55.864059922087726,-16.699244233993625,-49.60009566626328,1.903225806451613,0.15384615384615388,1.5161290322580643
6RGero2D,CZECH 2,ROUND 3,2025-07-30,12:30,Artis Brno,Jihlava,1.67,2.6,9.5,1.27,3.32,2.43,1.47,5.81,1.09,1.25,5.0,9.0,1.01,11.0,1.17,4.23,1.61,2.12,2.58,1.42,4.41,1.16,2.2,1.62,1.06,1.14,3.5,13.0,23.0,51.0,126.0,7.0,10.0,29.0,81.0,6.0,9.5,26.0,67.0,7.5,12.0,34.0,81.0,351.0,0.8,0.2,0.1111111111111111,0.7624272756874416,0.25,0.1388888888888889,4.0,0.5555555555555556,7.2,1.8,7.75,3.75,4.0,75.52970589993411,61.92751306414704,63.43494882292201,0.8611111111111112,0.75,0.4444444444444444
pbmEV7I7,CZECH 2,ROUND 3,2025-07-30,13:00,Chrudim,Zizkov,3.4,2.25,3.0,1.29,3.15,2.58,1.42,6.75,1.06,2.63,3.4,2.25,1.04,11.0,1.22,3.67,1.74,1.93,2.95,1.33,5.81,1.09,1.67,2.1,1.53,1.29,1.4,12.0,9.0,12.0,21.0,10.0,7.0,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,151.0,0.3802281368821293,0.29411764705882354,0.4444444444444444,0.21228916051145294,0.7735294117647059,1.1688888888888889,1.2927756653992395,1.511111111111111,0.8555133079847909,0.6617647058823529,0.3799999999999999,0.77,1.15,-10.757967088390002,21.056705590704777,-29.89890183861456,0.16888888888888884,0.22647058823529412,0.5111111111111111
Qkr0XKF6,NORWAY 2,ROUND 15,2025-07-30,13:00,Skeid,Ranheim,3.5,2.4,2.63,1.27,3.45,2.25,1.57,5.38,1.12,3.1,3.5,2.1,1.01,15.0,1.16,4.98,1.59,2.38,2.4,1.55,4.35,1.2,1.5,2.5,1.7,1.29,1.36,15.0,11.0,12.0,21.0,13.0,7.0,9.0,15.0,19.0,12.0,11.0,21.0,34.0,23.0,26.0,34.0,101.0,0.3225806451612903,0.2857142857142857,0.47619047619047616,0.2486587086526889,0.8857142857142858,1.4761904761904763,1.129032258064516,1.6666666666666665,0.6774193548387097,0.6,1.0,0.3999999999999999,1.4,-26.56505117707799,11.309932474020211,-34.99202019855866,0.47619047619047616,0.11428571428571425,0.6666666666666666
4zfiZtof,NORWAY 2,ROUND 15,2025-07-30,13:00,Odd,Stabaek,2.75,2.5,3.2,1.23,3.7,2.18,1.61,4.89,1.14,2.25,3.5,2.9,1.01,17.0,1.14,5.48,1.55,2.4,2.25,1.65,3.77,1.26,1.44,2.63,1.4,1.29,1.62,17.0,15.0,19.0,29.0,13.0,7.5,11.0,21.0,15.0,9.5,11.0,23.0,23.0,15.0,21.0,29.0,81.0,0.4444444444444444,0.2857142857142857,0.3448275862068966,0.21682080154348038,0.6428571428571429,0.7758620689655172,1.5555555555555556,1.206896551724138,1.2888888888888888,0.8285714285714285,0.6499999999999999,1.25,0.6000000000000001,18.00416160591338,32.005383208083494,-16.699244233993625,0.22413793103448273,0.35714285714285715,0.20689655172413796
dAjqy3Gs,NORWAY 2,ROUND 15,2025-07-30,13:00,Moss,Sogndal,3.1,2.4,3.0,1.27,3.45,2.25,1.57,5.38,1.12,2.6,3.5,2.5,1.01,15.0,1.16,4.98,1.59,2.38,2.4,1.55,4.03,1.23,1.5,2.5,1.5,1.29,1.5,15.0,12.0,15.0,26.0,12.0,7.0,10.0,19.0,15.0,10.0,11.0,21.0,26.0,19.0,23.0,34.0,101.0,0.3846153846153846,0.2857142857142857,0.4,0.1921245539750966,0.7428571428571429,1.04,1.346153846153846,1.4,0.9615384615384615,0.7142857142857143,0.10000000000000009,0.8999999999999999,1.0,-2.86240522611175,24.22774531795417,-26.56505117707799,0.040000000000000036,0.2571428571428571,0.4
xQ9CtPhK,NORWAY 2,ROUND 15,2025-07-30,13:00,Mjondalen,Asane,4.0,2.25,2.63,1.35,2.95,2.57,1.44,6.81,1.07,3.6,3.4,2.05,1.03,11.0,1.26,3.77,1.86,1.94,3.02,1.37,5.97,1.12,1.67,2.1,1.73,1.3,1.29,11.0,8.0,10.0,19.0,12.0,6.5,9.0,15.0,19.0,13.0,13.0,26.0,41.0,29.0,34.0,41.0,201.0,0.2777777777777778,0.29411764705882354,0.48780487804878053,0.2794837540318616,1.0588235294117647,1.75609756097561,0.9444444444444444,1.6585365853658538,0.5694444444444444,0.6029411764705882,1.5500000000000003,0.20000000000000018,1.35,-37.77568430595467,-5.710593137499648,-34.01934998982646,0.75609756097561,0.05882352941176476,0.6585365853658538
pWMQIL0D,NORWAY 2,ROUND 15,2025-07-30,13:00,Lyn,Aalesund,3.75,2.25,2.63,1.35,2.95,2.57,1.44,6.81,1.07,3.4,3.4,2.05,1.03,11.0,1.26,3.77,1.86,1.94,3.02,1.37,5.97,1.12,1.67,2.1,1.73,1.3,1.3,11.0,8.5,11.0,19.0,12.0,6.5,9.0,17.0,19.0,12.0,13.0,23.0,34.0,26.0,34.0,41.0,151.0,0.29411764705882354,0.29411764705882354,0.48780487804878053,0.26421114013762537,1.0,1.6585365853658538,1.0,1.6585365853658538,0.6029411764705882,0.6029411764705882,1.35,0.0,1.35,-34.01934998982646,0.0,-34.01934998982646,0.6585365853658538,0.0,0.6585365853658538
r7Q9M31l,NORWAY 2,ROUND 15,2025-07-30,13:00,Kongsvinger,Start,2.4,2.5,3.75,1.23,3.7,2.18,1.61,4.89,1.14,1.9,3.8,3.6,1.01,17.0,1.14,5.48,1.51,2.5,2.25,1.65,3.77,1.26,1.5,2.5,1.29,1.25,1.91,19.0,17.0,23.0,41.0,11.0,8.0,13.0,26.0,12.0,9.0,12.0,26.0,17.0,13.0,19.0,34.0,101.0,0.5263157894736842,0.2631578947368421,0.2777777777777778,0.3367840809325984,0.5,0.5277777777777778,2.0,1.0555555555555556,1.8947368421052633,0.9473684210526316,1.7000000000000002,1.9,0.19999999999999973,40.36453657309736,43.53119928561418,-5.710593137499635,0.47222222222222227,0.5,0.05555555555555548
OIDyuCHF,NORWAY 2,ROUND 15,2025-07-30,13:00,Hodd,Egersund,2.75,2.3,3.5,1.31,3.15,2.47,1.48,5.86,1.1,2.2,3.75,2.88,1.02,13.0,1.23,4.03,1.75,2.08,2.8,1.42,5.48,1.14,1.62,2.2,1.4,1.25,1.67,15.0,11.0,17.0,29.0,9.5,7.5,11.0,21.0,12.0,9.0,13.0,26.0,21.0,17.0,23.0,41.0,151.0,0.45454545454545453,0.26666666666666666,0.3472222222222222,0.2639654935445605,0.5866666666666667,0.763888888888889,1.7045454545454544,1.3020833333333335,1.3090909090909089,0.768,0.6799999999999997,1.5499999999999998,0.8700000000000001,18.778033222445533,37.77568430595466,-23.50904022419246,0.23611111111111102,0.4133333333333333,0.30208333333333337
pCSnp7X0,CZECH 2,ROUND 3,2025-07-30,13:00,Taborsko,Vlasim,2.1,2.4,5.0,1.25,3.41,2.32,1.51,5.33,1.11,1.57,3.9,4.5,1.01,11.0,1.16,4.41,1.58,2.18,2.43,1.47,4.41,1.16,1.67,2.1,1.17,1.22,2.2,15.0,15.0,26.0,51.0,8.5,8.0,15.0,34.0,9.0,8.5,15.0,34.0,13.0,12.0,21.0,41.0,151.0,0.6369426751592356,0.25641025641025644,0.2222222222222222,0.46573220498714957,0.4025641025641026,0.3488888888888889,2.484076433121019,0.8666666666666667,2.8662420382165603,1.153846153846154,2.9299999999999997,2.33,0.6000000000000001,55.68279496109193,49.358227947732274,16.699244233993625,0.6511111111111111,0.5974358974358974,0.13333333333333336
plp0gBAE,CZECH 2,ROUND 3,2025-07-30,13:00,Prostejov,Opava,3.6,2.1,3.1,1.42,2.58,2.95,1.33,8.62,1.03,2.88,3.1,2.25,1.01,9.56,1.29,3.15,2.05,1.66,3.67,1.22,7.7,1.04,1.83,1.83,1.53,1.33,1.36,9.0,7.5,11.0,23.0,9.0,6.0,9.5,21.0,15.0,11.0,15.0,29.0,29.0,26.0,34.0,51.0,251.0,0.3472222222222222,0.3225806451612903,0.4444444444444444,0.16081628665453535,0.9290322580645161,1.28,1.076388888888889,1.3777777777777778,0.78125,0.7258064516129032,0.6299999999999999,0.2200000000000002,0.8500000000000001,-17.4844273232207,6.27729848959756,-23.025492008528037,0.27999999999999997,0.07096774193548393,0.3777777777777778
W8pE0SHs,CZECH 2,ROUND 3,2025-07-30,13:00,Pribram,Brno,7.0,2.5,1.91,1.27,3.32,2.43,1.47,5.81,1.09,7.0,3.9,1.38,1.01,11.0,1.17,4.23,1.66,2.05,2.58,1.42,4.84,1.13,1.83,1.83,2.75,1.22,1.08,13.0,7.5,7.0,9.5,21.0,8.5,8.5,12.0,41.0,23.0,17.0,26.0,81.0,51.0,51.0,51.0,251.0,0.14285714285714285,0.25641025641025644,0.7246376811594204,0.6876996054061927,1.794871794871795,5.072463768115942,0.5571428571428572,2.8260869565217392,0.19714285714285712,0.3538461538461538,5.62,3.1,2.52,-70.41078549903672,-57.171458208587474,-51.562698508937466,4.072463768115942,0.7948717948717949,1.8260869565217392
I1r8ikuR,CZECH 2,ROUND 3,2025-07-30,13:00,Kromeriz,Usti nad Labem,3.1,2.5,2.75,1.22,3.67,2.17,1.59,4.84,1.13,2.6,3.5,2.2,1.01,11.0,1.11,5.33,1.44,2.52,2.06,1.65,3.67,1.22,1.44,2.63,1.57,1.25,1.44,19.0,13.0,15.0,23.0,15.0,7.5,9.5,17.0,17.0,11.0,11.0,21.0,29.0,19.0,21.0,29.0,81.0,0.3846153846153846,0.2857142857142857,0.45454545454545453,0.24066246211371292,0.7428571428571429,1.1818181818181817,1.346153846153846,1.5909090909090908,0.8461538461538461,0.6285714285714287,0.3999999999999999,0.8999999999999999,1.2999999999999998,-11.309932474020211,24.22774531795417,-33.02386755579664,0.18181818181818177,0.2571428571428571,0.5909090909090908
CO3s6lfK,CZECH 2,ROUND 3,2025-07-30,13:00,Ceske Budejovice,Ostrava B,3.0,2.2,3.5,1.33,2.95,2.72,1.38,6.75,1.06,2.2,3.4,2.75,1.01,11.0,1.25,3.41,1.83,1.83,3.15,1.29,6.28,1.07,1.73,2.0,1.36,1.29,1.57,11.0,9.5,15.0,29.0,8.5,7.0,11.0,23.0,11.0,9.5,15.0,29.0,21.0,19.0,26.0,51.0,201.0,0.45454545454545453,0.29411764705882354,0.36363636363636365,0.21581821905317483,0.6470588235294118,0.8,1.5454545454545452,1.2363636363636363,1.25,0.8088235294117647,0.5499999999999998,1.1999999999999997,0.6499999999999999,15.376251248826184,30.963756532073518,-18.00416160591338,0.19999999999999993,0.35294117647058815,0.23636363636363633
rabNoZJH,NORWAY 1,ROUND 6,2025-07-30,14:00,Bodo/Glimt,Stromsgodset,1.36,3.75,11.0,1.1,5.86,1.61,2.18,2.95,1.35,1.13,10.0,13.0,1.01,40.0,1.02,13.0,1.19,4.53,1.46,2.65,2.06,1.77,1.75,2.0,1.03,1.06,6.5,34.0,41.0,81.0,201.0,19.0,23.0,34.0,81.0,11.0,13.0,29.0,51.0,9.0,11.0,23.0,51.0,201.0,0.8849557522123894,0.1,0.07692307692307693,0.7673641959816512,0.11299999999999999,0.08692307692307691,8.849557522123895,0.7692307692307693,11.504424778761063,1.3,11.870000000000001,8.870000000000001,3.0,80.43595089344753,77.29348914272396,56.309932474020215,0.9130769230769231,0.8870000000000001,0.23076923076923078
bXaQLfJ0,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-30,14:00,Malmo FF (Swe),RFS (Lat),1.73,2.6,7.5,1.28,3.36,2.27,1.58,4.93,1.14,1.3,5.0,8.0,1.02,11.0,1.18,4.49,1.58,2.33,2.38,1.54,4.11,1.21,2.0,1.73,1.04,1.11,3.4,15.0,21.0,41.0,81.0,7.5,10.0,23.0,51.0,7.0,9.0,21.0,51.0,8.5,12.0,26.0,51.0,800.0,0.7692307692307692,0.2,0.125,0.7040746140535309,0.26,0.1625,3.846153846153846,0.625,6.153846153846153,1.6,6.7,3.7,3.0,73.37924308610795,61.606980578617005,56.309932474020215,0.8375,0.74,0.375
