Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
YRPPkcSF,FINLAND 1,-,2025-07-04,12:00,AC Oulu,KuPS,4.0,2.25,2.5,1.3,3.15,2.48,1.48,5.8,1.1,3.1,3.2,2.1,1.03,12.0,1.19,4.1,1.7,2.02,2.95,1.35,5.6,1.11,1.67,2.1,1.67,1.33,1.33,12.0,9.0,11.0,21.0,12.0,6.5,9.0,17.0,17.0,12.0,12.0,23.0,34.0,23.0,29.0,41.0,151.0,0.3225806451612903,0.3125,0.47619047619047616,0.21724151893922214,0.96875,1.4761904761904763,1.032258064516129,1.5238095238095237,0.6774193548387097,0.65625,1.0,0.10000000000000009,1.1,-26.56505117707799,2.86240522611175,-28.810793742973065,0.47619047619047616,0.03125000000000003,0.5238095238095238,0.8,1.629800601300663,1.2,0.912870929175277,2.2,0.5926547641093316,-1.0,-1.870828693386969,-3.6399999999999997,-1.9956479638948372,-2.131999999999997,-1.6909425225021537,0.5291571173924116,0.9202886423400602,0.4982142857142856,0.9195967249058964,3.6799999999999997,0.9171749178143035,0.7787698412698413,0.6804490228165774,1.4,1.0832679205787927,1.0,1.414213562373095,1.2,0.9128709291752772,-0.2,-9.617692030835668,-0.7900000000000003,-5.876261042459591,-0.3500000000000001,-16.925406575769514,0.2825396825396826,1.4203598285897063,0.6836845017664837,0.6345425598164924,1.966,1.4003302230894275,0.7297658411982748,1.0030534022869853
rVdI9hMt,FINLAND 2,-,2025-07-04,12:30,JaPS,SalPa,2.15,2.4,4.2,1.23,3.7,2.2,1.58,4.7,1.15,1.7,4.0,4.05,1.01,17.0,1.14,4.8,1.49,2.4,2.2,1.57,3.7,1.22,1.53,2.18,1.21,1.21,2.12,16.0,16.0,26.0,65.0,9.75,8.25,13.5,32.0,9.75,8.25,13.5,32.0,14.0,12.0,19.5,45.0,250.0,0.5882352941176471,0.25,0.2469135802469136,0.4130991256030016,0.425,0.4197530864197531,2.3529411764705883,0.9876543209876544,2.3823529411764706,1.0125,2.3499999999999996,2.3,0.04999999999999982,49.60009566626328,48.99091309842978,1.4320961841646414,0.5802469135802468,0.575,0.012345679012345635,1.4,0.63887656499994,1.6,0.34232659844072966,1.2,0.6972166887783958,0.4,2.236067977499792,1.1999999999999993,2.2360679774997867,0.7800000000000002,2.236067977499776,0.680091685528438,0.28859750291849995,0.24594582635997647,0.18213764834827584,4.212000000000001,0.23833157141933328,0.9926030098592651,0.33290242502130596,0.6,2.2360679774997894,0.4,2.2360679774997885,2.0,0.49999999999999994,-1.6,-1.0458250331675945,-16.04,-1.1023446181904168,-1.924,-1.3983394874983648,0.15564202334630345,2.236067977499794,0.8408163265306122,0.4233332578761736,0.9800000000000004,2.236067977499787,0.3018450527340799,1.6750062866558584
4lgzkcHG,ESTONIA 1,ROUND 19,2025-07-04,13:00,Paide,Levadia,3.75,2.25,2.37,1.26,3.4,2.23,1.56,4.8,1.14,3.45,3.6,1.85,1.03,12.0,1.13,4.35,1.52,2.2,2.32,1.47,4.0,1.16,1.63,2.15,1.9,1.24,1.25,14.0,8.0,8.75,13.5,12.0,6.5,7.2,11.0,18.5,10.0,10.25,16.0,40.0,22.0,22.0,32.0,175.0,0.2898550724637681,0.2777777777777778,0.5405405405405405,0.32695470847081937,0.9583333333333334,1.864864864864865,1.0434782608695652,1.9459459459459458,0.5362318840579711,0.513888888888889,1.6,0.1499999999999999,1.75,-38.659808254090095,4.289153328819016,-41.18592516570965,0.8648648648648649,0.041666666666666644,0.9459459459459459,1.6,0.838525491562421,1.4,0.6388765649999393,1.2,0.3726779962499654,0.2,4.1833001326703805,0.9760000000000002,2.3156372398091114,-0.046,-60.51363326527946,0.4493096039704058,1.062371982859774,0.5136734359928345,0.7600761294423001,3.348,0.9699298246787369,0.9906560683426985,0.42052854845180226,1.2,1.3693063937629153,0.8,1.045825033167596,1.2,0.697216688778396,-0.4,-3.3541019662496874,-0.9139999999999995,-2.1929324841024807,0.8660000000000003,11.219169206873246,0.10401858304297325,1.003408630446262,0.7519137866963954,0.3407100443618645,1.0799999999999998,0.9697941461315679,0.731096187535001,0.6610873909234362
EXRpKxyh,PERU 1,APERTURA,2025-07-04,15:00,Sport Huancayo,Cajamarca,1.95,2.4,6.5,1.3,3.15,2.55,1.47,5.8,1.1,1.5,4.0,6.5,1.01,13.0,1.21,4.2,1.73,2.04,3.0,1.36,6.0,1.11,1.91,1.8,1.11,1.22,2.5,11.0,17.0,34.0,67.0,6.5,8.0,21.0,51.0,7.0,8.5,19.0,51.0,10.0,13.0,29.0,51.0,351.0,0.6666666666666666,0.25,0.15384615384615385,0.625,0.375,0.23076923076923078,2.6666666666666665,0.6153846153846154,4.333333333333333,1.625,5.0,2.5,2.5,68.19859051364818,51.34019174590991,51.34019174590991,0.7692307692307693,0.625,0.38461538461538464,2.0,0.7071067811865476,2.0,0.7905694150420947,1.4,0.9583148474999096,0.6,3.836954811073778,0.508,7.995196939184687,6.590000000000001,1.9529802518027206,0.32128120813542804,0.7024083318199947,0.4638107564578154,0.76368661282067,3.0620000000000003,0.7298781912975184,1.3065189955433858,0.6369439637866808,1.2,1.3693063937629155,1.0,0.7071067811865475,3.0,0.9428090415820635,-2.0,-1.6583123951776995,-22.15,-1.6130006879156635,-2.4,-1.8143525015828648,0.6168826204945915,0.7181852457218033,0.3369537480063796,1.1155549429132654,5.45,0.7526291486970161,0.5852600907864065,0.6375975100158132
6qWJZgRa,IRELAND 1,ROUND 23,2025-07-04,15:45,St. Patricks,Bohemians,3.0,2.2,3.5,1.42,2.65,2.95,1.34,7.0,1.06,2.35,3.3,2.9,1.02,9.5,1.29,3.2,2.0,1.7,3.75,1.22,8.0,1.04,1.75,2.0,1.4,1.33,1.57,10.0,9.5,15.0,29.0,8.0,6.5,11.0,23.0,12.0,9.5,13.0,34.0,23.0,19.0,29.0,51.0,201.0,0.425531914893617,0.30303030303030304,0.3448275862068966,0.16735775463455183,0.7121212121212122,0.810344827586207,1.404255319148936,1.1379310344827587,1.2340425531914894,0.8787878787878788,0.5499999999999998,0.9499999999999997,0.3999999999999999,15.376251248826184,25.407718108948465,-11.309932474020211,0.18965517241379304,0.2878787878787878,0.1379310344827586,1.0,1.2247448713915896,1.0,1.4142135623730956,1.2,0.6972166887783964,-0.2,-4.183300132670376,-0.5980000000000001,-2.580360218296072,0.07999999999999999,52.599607888272644,0.14725274725274734,1.3997262883630461,0.7184640522875817,0.5389220532311985,1.392,1.4028169384005524,0.7920828867135297,0.968404928587853,0.6,2.2360679774997894,0.6,1.4907119849998598,1.2,0.6972166887783966,-0.6,-2.527625148017183,-2.846,-1.7354309006520239,-0.652,-7.828326633514284,0.15406162464985992,1.4316377952748869,0.7499169965521646,0.4689062493176179,1.174,1.4693985617206506,0.4929068436755159,1.0192781909810076
bJSByGdm,IRELAND 1,ROUND 23,2025-07-04,15:45,Shelbourne,Cork City,2.0,2.3,7.0,1.4,2.7,2.9,1.35,7.0,1.06,1.48,4.2,7.0,1.01,10.0,1.28,3.3,1.98,1.72,3.75,1.22,8.0,1.04,2.1,1.67,1.1,1.22,2.63,9.5,15.0,34.0,81.0,6.0,8.0,21.0,51.0,6.5,8.5,21.0,51.0,9.5,13.0,29.0,67.0,501.0,0.6756756756756757,0.23809523809523808,0.14285714285714285,0.6530197042586131,0.35238095238095235,0.21142857142857144,2.837837837837838,0.6,4.72972972972973,1.6666666666666665,5.52,2.72,2.8,70.08359400619092,53.67317404787977,54.46232220802562,0.7885714285714285,0.6476190476190476,0.39999999999999997,1.4,1.083267920578793,1.2,1.0865337342004413,1.2,0.6972166887783962,0.0,1.0,-0.47999999999999987,-5.5734520770843385,0.5900000000000002,5.967630293390355,0.3451800232288037,0.9310977234652107,0.5346153846153847,0.7955050406869171,2.7,0.922958206990898,0.8238617463617462,0.8275143067181165,0.2,2.2360679774997703,1.4,0.3912303982179758,2.6,0.4385290096535146,-1.2,-0.912870929175277,-8.64,-1.2240534121638251,-1.7440000000000004,-0.7836081425209588,0.8806993322972942,0.4563046059827237,0.16698412698412696,0.6231639311948272,7.88,0.5349854058020082,0.8025396825396826,0.3372175910867997
EoiusxZP,IRELAND 1,ROUND 23,2025-07-04,15:45,Drogheda,Galway,3.2,2.0,3.75,1.52,2.35,3.55,1.25,9.5,1.03,2.4,3.1,3.0,1.05,7.5,1.42,2.6,2.48,1.46,5.1,1.12,10.0,1.01,2.0,1.75,1.36,1.36,1.53,7.5,8.0,13.0,34.0,7.0,6.0,12.0,29.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,67.0,401.0,0.4166666666666667,0.3225806451612903,0.3333333333333333,0.13362137284235942,0.7741935483870968,0.7999999999999999,1.2916666666666667,1.0333333333333334,1.25,0.9677419354838709,0.6000000000000001,0.7000000000000002,0.10000000000000009,16.699244233993625,19.29004621918874,-2.86240522611175,0.20000000000000004,0.22580645161290328,0.03333333333333336,2.0,0.7071067811865477,1.2,0.9128709291752762,0.8,1.3693063937629162,0.4,2.236067977499792,0.3400000000000005,9.331806494819057,1.7959999999999987,1.4774255215393222,0.394241324495366,0.7169326658893651,0.45081081081081076,0.7519163736647548,3.0800000000000005,0.7402490600733302,0.7877572309151256,0.7632736488083433,0.4,1.3693063937629062,0.4,1.3693063937629195,1.2,0.697216688778396,-0.8,-1.0458250331675931,-2.4799999999999995,-1.3573804882207108,-2.02,-0.9237682128157136,0.17595628415300543,1.4347019417510658,0.7461893764434179,0.48289010631234586,1.2659999999999993,1.516048646967275,0.36033078192651957,0.8397100790883543
tG7964Gd,IRELAND 1,ROUND 23,2025-07-04,15:45,Derry City,Waterford,2.05,2.25,6.5,1.4,2.75,2.9,1.36,7.0,1.06,1.5,4.0,6.5,1.05,9.0,1.26,3.4,1.95,1.75,3.6,1.24,7.5,1.05,2.1,1.67,1.11,1.22,2.5,9.5,13.0,34.0,67.0,6.0,8.0,21.0,51.0,6.5,8.5,21.0,51.0,10.0,13.0,29.0,67.0,501.0,0.6666666666666666,0.25,0.15384615384615385,0.625,0.375,0.23076923076923078,2.6666666666666665,0.6153846153846154,4.333333333333333,1.625,5.0,2.5,2.5,68.19859051364818,51.34019174590991,51.34019174590991,0.7692307692307693,0.625,0.38461538461538464,2.0,0.7071067811865475,1.6,0.5590169943749477,0.6,1.4907119849998605,1.0,1.5811388300841893,1.6919999999999997,1.8504642245082177,5.564,1.5575014230911277,0.36984627510031665,0.3969335100050631,0.3728350835795755,0.4202397659024719,3.1380000000000003,0.44042473581506547,1.0511026090226259,0.45529671136165273,1.4,1.0832679205787927,1.0,0.9999999999999998,1.0,0.7071067811865475,0.0,1.0,0.0,1.0,-0.11000000000000001,-15.018583529733595,0.682375478927203,0.9977660776120092,0.4574358974358974,1.0839247758144306,6.7,0.9724427539857864,0.5865268065268066,0.8310714413590992
WQD4WasH,WORLD - FIFA CLUB WORLD CUP,PLAY OFFS,2025-07-04,16:00,Fluminense,Al Hilal,3.6,2.1,3.1,1.4,2.65,2.95,1.34,7.0,1.06,3.0,3.3,2.4,1.04,9.5,1.33,3.2,2.12,1.7,4.0,1.23,9.0,1.05,1.91,1.91,1.53,1.33,1.36,8.5,7.5,11.0,23.0,8.5,6.0,10.0,21.0,15.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0,0.3333333333333333,0.30303030303030304,0.4166666666666667,0.15801985155020137,0.9090909090909092,1.25,1.0999999999999999,1.375,0.7999999999999999,0.7272727272727273,0.6000000000000001,0.2999999999999998,0.8999999999999999,-16.699244233993625,8.530765609948128,-24.22774531795417,0.25000000000000006,0.09090909090909086,0.375,2.6,0.3440104580768906,1.8,0.8240220541217403,0.8,1.0458250331675945,1.0,0.707106781186549,1.5359999999999994,0.7009303374408029,7.6,0.8196006053893394,0.2964102564102564,0.8664694268174373,0.5174223674223675,0.7354330094888771,2.837999999999999,0.8141380374025501,1.1879582879582877,0.6743920719318649,1.8,0.6085806194501847,2.0,0.9354143466934859,1.6,0.8385254915624213,0.4,1.3693063937629149,2.4840000000000004,1.9324208258782334,1.244,1.7404381658211048,0.9893640785444067,1.3399080469694309,0.4221743045686708,1.0273677177038687,11.596,1.582281441885939,1.2265881572986774,0.7495189808830598
Ug3GWzKk,ICELAND 2,ROUND 11,2025-07-04,16:15,Fylkir,IR Reykjavik,3.0,2.27,2.87,1.27,3.4,2.38,1.5,5.3,1.12,2.55,3.65,2.37,1.01,15.0,1.18,4.1,1.62,2.14,2.5,1.45,4.4,1.16,1.47,2.32,1.55,1.25,1.5,15.0,11.5,14.5,26.0,11.75,7.5,9.5,17.0,15.5,9.75,11.75,21.0,29.0,18.5,22.0,40.0,200.0,0.3921568627450981,0.273972602739726,0.42194092827004215,0.24256121635625982,0.6986301369863014,1.0759493670886076,1.4313725490196079,1.5400843881856539,0.9294117647058825,0.6493150684931507,0.17999999999999972,1.1,1.2799999999999998,-5.142764557884234,28.810793742973065,-32.61924307119282,0.07594936708860747,0.30136986301369867,0.5400843881856539,0.8,1.629800601300662,1.2,0.37267799624996506,1.4,0.6388765649999397,-0.2,-6.519202405202631,-0.506,-4.073917856199079,-0.14999999999999963,-44.1852162304699,0.28215201823523206,0.26385032667349173,0.5307656979945161,0.2363335039004154,1.988,0.2800098996956088,0.9001050712194804,0.28056363373579035,1.4,0.6388765649999398,1.2,0.912870929175277,0.6,0.9128709291752757,0.6,2.236067977499789,1.0499999999999996,2.236067977499792,2.2800000000000002,2.2360679774997885,0.46285305189256604,0.6253581530026245,0.42673757564643316,0.7681117031614084,3.0140000000000002,0.6491236015962198,0.7771050515594802,0.7836341490919836
