Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway
6ZKoTxRQ,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,12:00,Kairat Almaty (Kaz),KuPS (Fin),1.95,2.3,6.0,1.33,3.05,2.67,1.45,5.99,1.1,1.45,4.33,6.25,1.04,9.29,1.25,3.67,1.8,1.98,2.94,1.37,5.21,1.14,2.0,1.73,1.1,1.2,2.63,12.0,17.0,34.0,67.0,7.0,8.5,19.0,41.0,6.5,9.0,19.0,51.0,10.0,12.0,29.0,51.0,1000.0,0.6896551724137931,0.23094688221709006,0.16,0.6024805534380647,0.3348729792147806,0.23199999999999998,2.986206896551724,0.6928,4.310344827586207,1.443418013856813,4.8,2.88,1.92,67.38013505195958,55.22216863363612,43.830860672092584,0.768,0.6651270207852193,0.3072
bTujbVVp,FINLAND 2,-,2025-07-29,12:30,Mikkeli,Keski-Uusimaa,2.1,2.6,4.33,1.2,3.92,2.06,1.65,4.41,1.16,1.62,4.33,3.7,1.01,17.0,1.09,5.81,1.36,2.8,1.97,1.71,3.32,1.27,1.5,2.5,1.25,1.18,2.1,23.0,17.0,26.0,41.0,12.0,9.5,13.0,29.0,11.0,8.5,13.0,26.0,15.0,12.0,19.0,34.0,101.0,0.6172839506172839,0.23094688221709006,0.27027027027027023,0.4408848448609818,0.3741339491916859,0.43783783783783786,2.6728395061728394,1.1702702702702703,2.2839506172839505,0.8545034642032333,2.08,2.71,0.6299999999999999,46.12330271407543,53.572400654689844,-17.4844273232207,0.5621621621621622,0.625866050808314,0.17027027027027022
6VUZBviS,EUROPA CONFERENCE LEAGUE,QUALIFICATION,2025-07-29,13:00,Iberia 1999 (Geo),Levadia (Est),2.05,2.25,5.5,1.36,2.9,2.67,1.45,6.19,1.09,1.5,3.9,5.75,1.05,8.84,1.26,3.58,1.82,1.95,2.98,1.36,5.4,1.13,1.91,1.8,1.1,1.18,2.3,11.0,15.0,29.0,51.0,6.5,8.0,19.0,41.0,7.5,8.0,19.0,51.0,11.0,13.0,26.0,51.0,700.0,0.6666666666666666,0.25641025641025644,0.17391304347826086,0.5733425428653532,0.38461538461538464,0.2608695652173913,2.6,0.6782608695652174,3.8333333333333335,1.4743589743589745,4.25,2.4,1.85,64.79887635452492,50.19442890773481,42.76882539196875,0.7391304347826086,0.6153846153846154,0.32173913043478264
4QzRgUgU,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,15:00,Drita (Kos),FC Copenhagen (Den),7.0,2.38,1.83,1.33,3.05,2.67,1.45,6.01,1.09,6.5,4.33,1.4,1.04,9.36,1.25,3.69,1.79,1.99,2.94,1.37,5.15,1.14,2.1,1.67,2.6,1.14,1.07,12.0,6.5,6.5,9.0,17.0,9.0,9.0,13.0,34.0,21.0,21.0,29.0,81.0,51.0,51.0,67.0,1000.0,0.15384615384615385,0.23094688221709006,0.7142857142857143,0.627821874242461,1.5011547344110854,4.642857142857143,0.6661538461538462,3.092857142857143,0.21538461538461537,0.3233256351039261,5.1,2.17,2.93,-68.58703052512824,-47.33450643666486,-55.68279496109193,3.642857142857143,0.5011547344110854,2.092857142857143
IkxyL6hT,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,15:00,Dyn. Kyiv (Ukr),Hamrun (Mlt),1.53,2.75,12.0,1.28,3.35,2.32,1.56,5.1,1.13,1.17,7.0,12.0,1.02,11.0,1.18,4.49,1.59,2.31,2.45,1.51,4.19,1.2,2.63,1.44,1.02,1.08,4.5,15.0,23.0,51.0,151.0,7.0,15.0,34.0,101.0,5.5,11.0,34.0,81.0,6.5,13.0,41.0,126.0,1000.0,0.8547008547008548,0.14285714285714285,0.08333333333333333,0.8061921075521601,0.16714285714285712,0.09749999999999999,5.982905982905983,0.5833333333333334,10.256410256410257,1.7142857142857142,10.83,5.83,5.0,79.53694257108872,71.06530589678796,68.19859051364818,0.9025,0.8328571428571429,0.4166666666666667
6JxmRi05,EUROPA CONFERENCE LEAGUE,QUALIFICATION,2025-07-29,15:00,Differdange (Lux),TNS (Wal),2.4,2.25,4.0,1.34,3.0,2.67,1.45,5.88,1.1,1.91,3.6,3.3,1.04,9.07,1.24,3.75,1.75,2.04,2.82,1.41,4.92,1.15,1.73,2.0,1.25,1.22,1.73,12.0,11.0,21.0,41.0,8.5,7.5,12.0,29.0,10.0,9.0,15.0,29.0,17.0,15.0,26.0,41.0,300.0,0.5235602094240838,0.2777777777777778,0.30303030303030304,0.3070432271640608,0.5305555555555556,0.5787878787878787,1.8848167539267018,1.090909090909091,1.7277486910994764,0.9166666666666666,1.39,1.6900000000000002,0.30000000000000027,34.799300509907305,40.19780990994572,-8.53076560994814,0.4212121212121212,0.4694444444444445,0.090909090909091
tEnFABJi,ICELAND 2,ROUND 15,2025-07-29,15:00,Thor Akureyri,Grindavik,1.88,2.67,4.65,1.17,4.4,1.81,1.87,4.0,1.2,1.47,4.7,5.0,1.01,26.0,1.07,8.0,1.27,3.32,1.7,2.0,2.55,1.43,1.4,2.52,1.15,1.16,2.57,26.0,25.0,37.0,90.0,13.5,10.5,16.0,37.0,11.0,8.5,12.5,28.0,12.5,10.0,14.5,32.0,120.0,0.6802721088435374,0.2127659574468085,0.2,0.5256581149948093,0.3127659574468085,0.294,3.197278911564626,0.9400000000000001,3.4013605442176873,1.0638297872340425,3.5300000000000002,3.2300000000000004,0.2999999999999998,60.465313221458025,58.23441357613828,8.530765609948128,0.7060000000000001,0.6872340425531915,0.05999999999999996
zaU3N9aU,EUROPA CONFERENCE LEAGUE,QUALIFICATION,2025-07-29,15:30,Inter Escaldes (And),O. Ljubljana (Slo),4.0,2.3,2.38,1.33,3.05,2.5,1.49,5.54,1.11,3.7,3.6,1.83,1.04,9.19,1.23,3.94,1.72,2.08,2.74,1.43,4.75,1.16,1.67,2.1,1.8,1.29,1.29,13.0,9.0,10.0,17.0,13.0,7.0,9.0,15.0,19.0,13.0,13.0,23.0,41.0,26.0,34.0,41.0,151.0,0.27027027027027023,0.2777777777777778,0.5464480874316939,0.34566256713419535,1.027777777777778,2.021857923497268,0.9729729729729729,1.9672131147540983,0.4945945945945946,0.5083333333333333,1.87,0.10000000000000009,1.77,-43.07605901544876,-2.86240522611175,-41.50882857064522,1.0218579234972678,0.0277777777777778,0.9672131147540983
MRxCUHXR,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,16:00,Crvena zvezda (Srb),Lincoln Red Imps (Gib),1.22,4.33,21.0,1.12,5.28,1.65,2.15,2.9,1.36,1.05,15.0,26.0,1.01,27.0,1.06,8.1,1.22,3.95,1.58,2.27,2.3,1.6,2.75,1.4,0.0,0.0,0.0,34.0,51.0,151.0,151.0,13.0,29.0,51.0,151.0,8.0,17.0,51.0,126.0,6.5,15.0,41.0,151.0,251.0,0.9523809523809523,0.06666666666666667,0.038461538461538464,0.8920831878358216,0.07,0.04038461538461539,14.285714285714285,0.5769230769230769,24.76190476190476,1.7333333333333334,24.95,13.95,11.0,85.41695157498111,81.84114913871666,79.69515353123397,0.9596153846153845,0.9299999999999999,0.4230769230769231
2BaO1GFd,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,16:00,Zrinjski (Bih),Slovan Bratislava (Svk),3.2,2.05,3.25,1.42,2.77,2.85,1.37,6.94,1.07,2.55,3.1,2.7,1.06,7.86,1.33,3.15,2.04,1.75,3.59,1.26,6.68,1.09,1.83,1.83,1.44,1.36,1.5,8.5,8.5,13.0,26.0,8.5,6.0,11.0,23.0,12.0,11.0,15.0,34.0,26.0,21.0,34.0,51.0,151.0,0.3921568627450981,0.3225806451612903,0.37037037037037035,0.10214803658222744,0.8225806451612903,0.9444444444444443,1.215686274509804,1.1481481481481481,1.058823529411765,0.8709677419354839,0.15000000000000036,0.5500000000000003,0.3999999999999999,4.289153328819029,15.376251248826193,-11.309932474020211,0.055555555555555684,0.17741935483870977,0.1481481481481481
