Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway
E51505rT,UKRAINE 2,ROUND 1,2025-08-01,06:00,UCSA,Podillya Khmelnytskyi,2.47,2.12,3.95,1.37,2.52,2.52,1.37,0.0,0.0,1.91,3.35,3.45,1.03,9.0,1.3,3.2,1.9,1.74,3.8,1.22,7.5,1.06,1.9,1.8,1.26,1.26,1.83,9.0,7.4,12.5,30.0,5.3,5.3,9.25,22.0,6.7,6.7,11.5,28.0,11.5,11.5,20.0,50.0,350.0,0.5235602094240838,0.29850746268656714,0.2898550724637681,0.2967980730397476,0.5701492537313433,0.553623188405797,1.7539267015706808,0.9710144927536232,1.806282722513089,1.0298507462686568,1.5400000000000003,1.4400000000000002,0.10000000000000009,37.596271147211986,35.753887254436755,2.86240522611175,0.44637681159420295,0.42985074626865677,0.028985507246376836
fNsLfzC7,UKRAINE 2,ROUND 1,2025-08-01,08:00,Viktoria,Prykarpattya,2.25,2.02,5.2,1.43,2.55,3.4,1.26,0.0,0.0,1.65,3.35,4.8,1.04,8.5,1.4,2.8,2.32,1.55,4.7,1.16,11.0,1.02,2.27,1.56,1.16,1.26,2.15,7.3,7.6,17.0,55.0,4.15,5.4,12.0,37.0,5.1,6.7,15.0,45.0,8.75,11.25,26.0,80.0,100.0,0.6060606060606061,0.29850746268656714,0.20833333333333334,0.48264874658294965,0.4925373134328358,0.34375,2.0303030303030303,0.6979166666666667,2.909090909090909,1.4328358208955223,3.15,1.7000000000000002,1.4499999999999997,57.5876933816488,40.36453657309736,35.94211187138234,0.65625,0.5074626865671642,0.3020833333333333
WjLCLVNh,UKRAINE 1,ROUND 1,2025-08-01,09:30,Kolos Kovalivka,Kryvbas,3.25,1.95,3.3,1.5,2.4,3.41,1.27,8.67,1.04,2.65,3.0,2.65,1.08,7.36,1.47,2.62,2.38,1.59,4.25,1.21,8.52,1.06,1.9,1.72,1.45,1.33,1.47,7.2,6.5,11.25,28.0,6.7,5.6,9.75,24.0,11.5,9.5,15.0,37.0,27.0,23.0,35.0,80.0,700.0,0.37735849056603776,0.3333333333333333,0.37735849056603776,0.07303828706615749,0.8833333333333333,1.0,1.1320754716981132,1.1320754716981132,1.0,0.8833333333333333,0.0,0.3500000000000001,0.3500000000000001,0.0,9.926245506651709,-9.926245506651709,0.0,0.1166666666666667,0.13207547169811323
Qsj4bICr,UKRAINE 2,ROUND 1,2025-08-01,10:00,Ahrobiznes Volochysk,Livyi Bereg,3.95,2.05,2.6,1.42,2.37,0.0,0.0,0.0,0.0,3.35,3.25,1.98,1.03,9.0,1.33,3.0,2.06,1.63,4.0,1.2,8.0,1.05,1.83,1.87,1.75,1.27,1.3,7.9,5.0,6.6,12.0,6.7,5.1,6.8,12.5,12.0,9.25,12.0,23.0,29.0,23.0,30.0,55.0,400.0,0.29850746268656714,0.3076923076923077,0.5050505050505051,0.26704223556825213,1.0307692307692309,1.691919191919192,0.9701492537313433,1.6414141414141414,0.591044776119403,0.6092307692307692,1.37,0.10000000000000009,1.27,-34.41114338393872,-2.86240522611175,-32.415547329858676,0.6919191919191919,0.030769230769230795,0.6414141414141414
WnV5ieLt,SLOVAKIA 2,ROUND 2,2025-08-01,12:00,Slovan Bratislava B,Petrzalka,3.05,2.18,3.0,1.34,2.9,2.75,1.38,5.51,1.1,2.52,3.5,2.45,1.04,11.0,1.26,3.15,1.79,1.87,3.25,1.24,5.8,1.06,1.62,2.02,1.53,1.26,1.42,11.5,8.75,12.0,24.0,8.75,6.5,9.0,17.5,12.5,9.25,12.5,25.0,25.0,18.5,25.0,50.0,350.0,0.3968253968253968,0.2857142857142857,0.4081632653061224,0.20792967975882853,0.72,1.0285714285714285,1.3888888888888888,1.4285714285714284,0.9722222222222223,0.7000000000000001,0.06999999999999984,0.98,1.0499999999999998,-2.0045340321058998,26.104854009099295,-27.699472808054992,0.028571428571428505,0.27999999999999997,0.4285714285714285
jmWy6UZA,FINLAND 1,-,2025-08-01,12:00,VPS,Mariehamn,2.05,2.4,6.0,1.27,3.32,2.43,1.47,5.81,1.09,1.5,4.1,5.25,1.01,15.0,1.17,4.23,1.61,2.12,2.58,1.42,4.41,1.16,1.8,1.95,1.14,1.2,2.38,13.0,15.0,29.0,51.0,7.5,8.5,17.0,41.0,7.5,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0,0.6666666666666666,0.24390243902439027,0.19047619047619047,0.5311947005495318,0.3658536585365854,0.2857142857142857,2.733333333333333,0.7809523809523808,3.5,1.2804878048780488,3.75,2.5999999999999996,1.1500000000000004,61.92751306414704,52.431407971172504,29.898901838614574,0.7142857142857143,0.6341463414634146,0.2190476190476191
Muhf3l8O,UKRAINE 1,ROUND 1,2025-08-01,12:00,Rukh Lviv,SC Poltava,2.42,1.95,5.1,1.53,2.33,3.48,1.26,8.99,1.03,1.78,3.15,4.7,1.09,6.63,1.49,2.5,2.48,1.54,4.52,1.19,9.24,1.04,2.15,1.55,1.17,1.3,1.98,6.6,9.0,22.0,80.0,4.8,6.1,15.5,55.0,6.6,8.25,19.0,70.0,13.0,16.5,37.0,120.0,81.0,0.5617977528089888,0.31746031746031744,0.2127659574468085,0.4551166245838674,0.5650793650793651,0.37872340425531914,1.7696629213483146,0.6702127659574467,2.640449438202247,1.492063492063492,2.92,1.3699999999999999,1.5500000000000003,55.59152774797138,34.41114338393872,37.77568430595467,0.6212765957446809,0.4349206349206349,0.3297872340425532
O6XyMYNi,FINLAND 2,-,2025-08-01,12:30,Jazz Pori,Inter Turku 2,2.6,2.75,3.0,1.13,4.84,1.83,1.83,3.41,1.25,2.1,3.9,2.63,1.01,26.0,1.04,7.7,1.26,3.39,1.71,1.97,2.58,1.42,1.29,3.5,1.4,1.22,1.62,34.0,21.0,23.0,34.0,19.0,9.5,12.0,19.0,19.0,11.0,10.0,19.0,26.0,15.0,17.0,21.0,51.0,0.47619047619047616,0.25641025641025644,0.3802281368821293,0.3215542889317045,0.5384615384615385,0.7984790874524715,1.857142857142857,1.4828897338403042,1.2523809523809524,0.6743589743589743,0.5299999999999998,1.7999999999999998,1.27,14.842227057911096,41.98721249581666,-32.415547329858676,0.20152091254752846,0.4615384615384615,0.4828897338403042
pMLpKCh4,FINLAND 2,-,2025-08-01,13:00,Atlantis,KPV Kokkola,3.5,2.4,2.6,1.22,3.67,2.17,1.59,4.84,1.13,2.9,3.7,2.0,1.01,15.0,1.13,4.84,1.5,2.35,2.22,1.56,3.92,1.2,1.5,2.5,1.67,1.25,1.36,19.0,11.0,12.0,19.0,15.0,8.0,9.0,15.0,19.0,11.0,12.0,21.0,34.0,21.0,23.0,34.0,101.0,0.3448275862068966,0.27027027027027023,0.5,0.29668257725983893,0.7837837837837838,1.45,1.2758620689655173,1.85,0.6896551724137931,0.5405405405405405,0.8999999999999999,0.8000000000000003,1.7000000000000002,-24.22774531795417,21.80140948635182,-40.36453657309736,0.44999999999999996,0.21621621621621628,0.8500000000000001
WzPF8K4N,POLAND 2,ROUND 3,2025-08-01,13:00,KS Wieczysta Krakow,Pruszkow,2.05,2.4,5.5,1.27,3.32,2.47,1.48,5.81,1.09,1.53,4.33,4.75,1.02,13.0,1.19,4.31,1.64,2.16,2.67,1.45,4.93,1.15,1.8,1.91,1.18,1.2,2.38,15.0,15.0,29.0,51.0,8.0,8.5,15.0,41.0,8.0,8.5,17.0,41.0,11.0,12.0,23.0,51.0,251.0,0.6535947712418301,0.23094688221709006,0.21052631578947367,0.4949481445224406,0.3533487297921478,0.32210526315789473,2.8300653594771243,0.911578947368421,3.104575163398693,1.0969976905311778,3.2199999999999998,2.8,0.41999999999999993,58.154839471344346,54.46232220802562,11.859779120947977,0.6778947368421052,0.6466512702078522,0.08842105263157893
