League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 1,2025-07-21,06:00:00,24,Avispa Fukuoka,Kyoto Sanga,3.6,1.95,3.4,2.72,2.83,2.51,1.53,2.38,3.5,1.29,11.0,1.05,1.1,6.5,1.5,2.55,2.4,1.5,2.05,1.7,1.47,1.36,1.4,1.38,1.62,1.54,1.34,2.88,2.1,8.5,2.07,1.27,3.2,1.48,2.35,1.78,1.86,2.23,1.54,2.85,1.33
CHINA 2,2025-07-21,08:30:00,17,Shenzhen Juniors,Shanghai Jiading,3.0,2.1,3.25,2.1,3.1,3.15,1.4,2.65,2.8,1.38,7.0,1.07,1.0,9.0,1.33,3.22,2.05,1.85,1.83,2.0,1.37,1.3,1.5,2.0,0.88,1.36,0.99,2.35,1.92,7.65,2.27,1.36,2.76,1.68,1.99,2.49,1.65,2.88,1.32,3.92,1.17
FINLAND 1,2025-07-21,12:00:00,16,Mariehamn,Haka,3.66,2.24,2.51,3.64,3.4,1.81,1.3,3.2,2.3,1.53,5.5,1.11,1.04,13.3,1.2,4.05,1.6,2.25,1.57,2.25,1.72,1.26,1.29,1.0,0.86,1.11,1.38,2.49,2.28,7.1,1.78,1.09,4.4,1.22,3.5,1.47,2.4,1.74,1.98,2.35,1.5
SWEDEN 1,2025-07-21,14:00:00,16,Norrköping,Värnamo,2.75,2.3,3.5,2.04,3.56,2.88,1.3,3.4,2.5,1.5,6.0,1.13,1.04,11.0,1.22,4.33,1.57,2.25,1.57,2.25,1.36,1.25,1.67,0.88,0.14,1.74,1.46,3.2,1.95,6.75,2.02,1.08,6.25,1.16,4.4,1.29,3.2,1.49,2.43,1.75,1.95
SWEDEN 2,2025-07-21,14:00:00,15,Landskrona,Trelleborg,2.38,2.3,4.5,1.77,3.56,3.65,1.33,3.25,2.63,1.44,6.5,1.11,1.01,11.0,1.2,3.74,1.77,1.93,1.7,2.05,1.22,1.29,1.95,1.71,0.57,1.87,1.46,3.33,1.68,8.5,2.7,1.23,3.65,1.41,2.65,1.66,2.05,2.04,1.68,2.55,1.43
SWEDEN 2,2025-07-21,14:00:00,15,Utsikten,Helsingborg,3.1,2.3,3.1,2.56,3.34,2.33,1.3,3.4,2.5,1.5,6.0,1.13,1.01,11.0,1.15,4.25,1.6,2.1,1.57,2.25,1.5,1.29,1.5,1.43,1.29,1.91,1.3,3.21,2.0,8.5,2.15,1.21,3.85,1.37,2.8,1.61,2.15,1.95,1.74,2.45,1.47
BRAZIL 3,2025-07-21,19:30:00,0,Náutico,Caxias,2.71,1.87,4.3,2.0,2.88,3.7,1.57,2.25,3.6,1.25,10.0,1.02,1.11,6.25,1.55,2.3,2.69,1.42,2.24,1.6,1.24,1.31,1.75,1.5,1.5,1.6,1.22,2.82,1.42,8.75,4.22,1.15,4.08,1.32,2.78,1.65,2.1,2.04,1.69,2.62,1.4
BRAZIL 3,2025-07-21,19:30:00,0,Anápolis,Guarani,3.4,1.79,3.43,2.8,2.64,2.75,1.59,2.2,3.75,1.22,13.0,1.03,1.11,5.5,1.53,2.32,2.66,1.39,2.2,1.62,1.44,1.36,1.46,1.17,1.0,1.66,1.6,3.26,1.82,8.2,2.46,1.27,3.3,1.51,2.3,1.91,1.8,2.5,1.43,3.5,1.24
CHILE 1,2025-07-21,20:00:00,16,Huachipato,O'Higgins,3.25,2.1,3.25,2.55,3.3,2.55,1.4,2.75,3.0,1.36,8.0,1.08,1.06,8.0,1.33,3.1,2.05,1.75,1.8,1.91,1.47,1.31,1.46,1.86,1.38,1.54,1.64,3.18,1.91,6.4,2.35,1.24,3.34,1.47,2.42,1.83,1.87,2.34,1.5,3.08,1.28
CHILE 2,2025-07-21,21:30:00,0,Santiago Wanderers,Unión San Felipe,2.48,2.08,4.3,1.87,3.45,3.62,1.4,2.75,2.7,1.4,6.5,1.06,1.03,10.0,1.29,3.3,1.93,1.81,1.78,1.91,1.2,1.27,1.87,1.75,0.43,2.08,1.53,3.61,0.0,0.0,0.0,1.1,4.74,1.27,3.14,1.53,2.31,1.85,1.85,2.35,1.51
