Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-07-18,05:30:00,Chinese Super League,Changchun Yatai,Shanghai Port FC,4.8,6.6,1.18,1.27,1.75,2.06,1.96,2.32,1.22,1.38,3.65,5.5,7.0,8.4,1.38,1.46,5.5,6.6,3.1,3.6,1.13,1.17,1.18,1.22,1.01,110.0,1.01,1.04,7.6,9.4,1.12,1.16,3.2,4.2,1.31,1.46,1.9,2.1,1.92,2.12,1.39,1.48,3.05,3.55,1.6,1.74,2.36,2.68,29.0,50.0,11.0,19.0,11.0,15.5,12.0,17.0,34.0,50.0,13.0,18.5,9.8,13.5,11.5,16.5,50.0,90.0,22.0,36.0,17.5,25.0,17.5,30.0,130.0,230.0,55.0,100.0,50.0,80.0,55.0,85.0,42.0,65.0,3.6,4.7,85.0,510.0,1.245538048,1.245538050,1.245538043,2899297.0,51006167.0,58805.0,1.245538045,1.245538046,1.245538049,1.245538093,1.245538090,1.245538094,1.245538091,1.245538129,1.245538054,34506668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,06:30:00,Indian Calcutta Matches,Southern Samity,Peerless SC,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.0,1000.0,1.01,2.0,2.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,5.2,1.24,1.3,1.24,1000.0,1.01,6.4,1.24,110.0,1.02,6.4,1.15,110.0,1.02,8.8,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.245712831,1.245712832,1.245712833,7055131.0,11503185.0,58805.0,1.245712821,1.245712870,1.245712822,1.245712823,1.245712824,1.245712825,1.245712826,1.245712868,1.245712869,34524454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,07:30:00,South Korean K League 1,Daegu Fc,Gimcheon Sangmu,3.1,4.6,1.27,1.47,1.5,1.66,2.52,3.05,1.13,1.23,5.5,8.8,3.45,3.75,2.1,2.24,3.7,4.1,1.8,1.91,1.36,1.4,1.32,1.38,15.0,24.0,1.04,1.07,4.5,5.6,1.22,1.28,2.22,2.58,1.63,1.82,1.48,1.57,2.74,3.1,1.19,1.23,5.3,6.4,1.52,1.82,2.22,2.92,14.0,24.0,9.2,15.0,11.5,19.0,20.0,34.0,12.5,21.0,6.8,11.0,8.4,13.5,15.5,26.0,20.0,34.0,11.5,18.5,12.0,19.5,22.0,38.0,42.0,75.0,27.0,46.0,32.0,55.0,48.0,85.0,21.0,36.0,9.6,15.5,1.01,1000.0,1.245567979,1.245567981,1.245567974,13712494.0,41053763.0,58805.0,1.245567976,1.245567967,1.245567980,1.245567990,1.245567986,1.245567932,1.245567987,1.245567975,1.245567985,34509486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,07:30:00,South Korean K League 1,Suwon FC,Gwangju FC,2.98,3.7,1.37,1.5,1.38,1.5,2.98,3.65,1.09,1.16,7.2,12.0,2.84,3.2,2.52,2.9,3.3,4.0,1.52,1.66,1.46,1.55,1.33,1.44,12.0,15.5,1.07,1.09,3.65,4.1,1.33,1.38,1.88,2.02,1.98,2.14,1.34,1.4,3.5,3.95,1.13,1.16,6.4,10.5,1.66,1.88,2.14,2.5,10.5,17.0,8.2,13.0,13.0,22.0,29.0,48.0,10.0,14.5,6.0,9.4,9.2,15.0,22.0,36.0,15.0,25.0,9.8,16.0,13.0,21.0,30.0,55.0,34.0,60.0,25.0,42.0,34.0,55.0,65.0,120.0,22.0,38.0,18.0,30.0,1.01,1000.0,1.245509967,1.245509969,1.245509962,7394845.0,5348611.0,58805.0,1.245509964,1.245509965,1.245509968,1.245510012,1.245510009,1.245510013,1.245510010,1.245510048,1.245509973,34503264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,08:00:00,Chinese Super League,Wuhan Three Towns,Qingdao Youth Island,2.94,4.3,1.3,1.51,1.51,1.71,2.42,2.98,1.12,1.21,5.9,9.4,2.08,2.32,3.2,3.7,3.65,4.2,1.37,1.44,1.75,1.92,1.32,1.38,13.0,22.0,1.05,1.07,4.3,5.6,1.22,1.28,2.16,2.48,1.68,1.86,1.45,1.61,2.64,3.25,1.18,1.27,4.7,7.4,1.54,1.85,2.18,2.86,13.0,22.0,11.5,19.5,19.0,32.0,42.0,75.0,8.8,15.0,6.8,11.0,10.5,18.0,26.0,44.0,11.0,18.5,8.2,13.5,12.5,21.0,30.0,55.0,19.5,34.0,15.0,26.0,23.0,40.0,55.0,95.0,9.6,16.5,20.0,36.0,1.01,1000.0,1.245537163,1.245537165,1.245537158,23228754.0,40285964.0,58805.0,1.245537160,1.245537161,1.245537164,1.245537208,1.245537205,1.245537209,1.245537206,1.245537244,1.245537169,34506618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,08:30:00,Chinese League 1,Guangdong GZ-Power FC,Dalian Kun City FC,1.01,4.1,1.01,1.66,1.01,1.65,1.01,4.1,1.01,1000.0,1.01,1000.0,1.6,2.04,4.2,8.0,3.15,7.2,1.14,1.31,1.96,2.66,1.16,1.46,1.69,110.0,1.01,1.4,1.69,3.95,1.34,1.4,1.69,2.18,1.85,2.44,1.18,2.18,1.85,6.6,1.06,2.18,1.85,21.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.245707727,1.245707729,1.245707722,68321885.0,68280380.0,58805.0,1.245707724,1.245707725,1.245707728,1.245707772,1.245707769,1.245707773,1.245707770,1.245707808,1.245707733,34524184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,08:35:00,Chinese Super League,Tianjin Jinmen Tiger FC,Chengdu Rongcheng,3.75,4.5,1.3,1.37,1.53,1.75,2.34,2.88,1.14,1.25,5.0,7.8,5.5,6.0,1.64,1.65,4.4,4.8,2.52,2.58,1.2,1.21,1.28,1.3,13.5,36.0,1.03,1.06,4.2,6.4,1.19,1.25,2.38,2.98,1.51,1.73,1.55,1.72,2.38,2.8,1.19,1.35,3.85,6.4,1.59,1.93,2.08,2.7,17.0,29.0,8.2,13.5,8.2,13.5,11.5,19.0,18.5,32.0,8.0,13.0,7.6,12.5,11.0,19.0,36.0,65.0,16.5,28.0,14.0,24.0,21.0,36.0,100.0,170.0,50.0,85.0,46.0,80.0,60.0,110.0,48.0,80.0,5.1,8.2,1.01,1000.0,1.245538138,1.245538140,1.245538133,50443178.0,50443280.0,58805.0,1.245538135,1.245538136,1.245538139,1.245538183,1.245538180,1.245538184,1.245538181,1.245538219,1.245538144,34506666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,09:00:00,Chinese Super League,Zhejiang Greentown,Yunnan Yukun,3.4,5.2,1.24,1.42,1.59,1.91,2.1,2.7,1.16,1.28,4.6,7.2,1.84,1.93,3.7,4.3,4.1,4.8,1.31,1.36,2.06,2.22,1.27,1.32,13.5,55.0,1.03,1.05,5.8,7.4,1.15,1.21,2.6,3.0,1.5,1.62,1.66,1.8,2.26,2.52,1.27,1.34,3.9,4.8,1.5,1.64,2.3,3.25,19.0,32.0,19.5,28.0,29.0,42.0,50.0,90.0,11.0,18.0,8.2,12.5,12.5,21.0,27.0,48.0,11.5,18.5,9.4,13.5,12.5,20.0,28.0,48.0,19.5,28.0,12.5,21.0,21.0,32.0,42.0,75.0,7.0,9.6,19.0,32.0,250.0,1000.0,1.245539486,1.245539488,1.245539481,23257633.0,55896077.0,58805.0,1.245539483,1.245539484,1.245539487,1.245539531,1.245539528,1.245539532,1.245539529,1.245539567,1.245539492,34506730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,12:00:00,Finnish Veikkausliiga,KTP,FC Inter,3.3,6.2,1.19,1.44,1.57,1.95,2.06,2.78,1.14,1.35,1.01,1000.0,8.0,9.2,1.38,1.44,5.4,6.2,3.3,3.6,1.12,1.14,1.2,1.23,15.0,36.0,1.03,1.05,3.0,7.0,1.17,1.21,2.78,3.1,1.47,1.56,1.68,1.8,2.26,2.46,1.28,1.34,4.0,4.5,1.63,1.89,2.12,2.32,21.0,36.0,8.8,14.5,8.0,12.5,9.0,14.5,26.0,44.0,10.0,16.0,7.6,12.0,10.0,17.0,55.0,100.0,21.0,36.0,16.0,27.0,21.0,36.0,160.0,280.0,70.0,130.0,55.0,110.0,65.0,120.0,70.0,130.0,4.3,5.5,1.01,1000.0,1.245608892,1.245608894,1.245608887,3844374.0,139505.0,58805.0,1.245608889,1.245608890,1.245608893,1.245608937,1.245608934,1.245608938,1.245608935,1.245608973,1.245608898,34513396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-07-18,12:00:00,Kazakhstan Premier League,FC Astana,FC Turan,1.01,110.0,1.29,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,6.0,1.2,1.25,1.24,980.0,1.01,6.4,1.18,110.0,1.01,7.8,1.06,1000.0,1.01,26.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.245688312,1.245688313,1.245688314,7391219.0,39032487.0,58805.0,1.245688302,1.245688351,1.245688303,1.245688304,1.245688305,1.245688306,1.245688307,1.245688349,1.245688350,34521258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
