League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Armenian Premier League,2024-10-31,09:00:00,West Armenia,Alashkert,3.6,4.2,2.06,2.2,3.35,3.85,1.86,2.06,1.94,2.18,1.8,1.96,2.04,2.24,5.3,14.0,7.8,10.5,5.3,15.0,2.5,28.0,2.76,15.0,6.6,14.0,5.1,12.0,2.48,25.0,2.52,30.0,5.4,17.0,3.15,60.0,2.6,44.0,2.66,80.0,2.62,50.0,2.76,1000.0,2.76,1000.0,2.62,240.0,2.38,55.0,2.76,1000.0,33737147,25189384.0,9686394.0,58805.0,1.23527636,1.235276405,1.235276444,1.235276369,1.2,3.45,1.4,1.56,3.5,21.0,1.06,1.4,3.5,4.1,1.32,1.4,1.84,1.95,1.31,1.38,1.35,1.42,1.235276361,1.235276363,1.235276364,1.235276408
Croatian 2 HNL,2024-10-31,10:00:00,Kustosija,Jadran Luka Ploce,1.35,3.15,2.0,8.4,2.42,7.0,1.18,26.0,1.04,8.8,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,32.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,40.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.55,1000.0,1.55,1000.0,1.06,1000.0,33739091,7727694.0,11770745.0,58805.0,1.235312878,1.235312923,1.235312962,1.235312887,1.2,1000.0,1.01,20.0,1.18,26.0,1.04,990.0,1.18,26.0,1.04,8.0,1.13,2.0,1.46,3.85,1.16,1.66,1.235312879,1.235312881,1.235312882,1.235312926
Egyptian Premier,2024-10-31,11:00:00,El Gounah,ZED FC,3.8,4.9,2.16,2.4,2.88,3.4,1.57,1.79,2.26,2.74,1.92,2.26,1.79,2.08,4.1,10.5,3.8,750.0,4.5,13.5,2.42,32.0,4.5,14.0,3.6,140.0,4.4,12.5,2.42,32.0,2.14,34.0,5.0,19.0,2.36,25.0,2.3,1000.0,2.3,1000.0,2.3,1000.0,2.3,1000.0,2.3,1000.0,2.3,1000.0,2.62,27.0,2.3,1000.0,33735030,5202561.0,38208152.0,58805.0,1.235240983,1.235241028,1.235241067,1.235240992,2.5,3.05,1.49,1.67,2.74,13.5,1.08,1.58,2.74,3.4,1.42,1.58,1.72,1.86,1.26,1.34,1.42,1.49,1.235240984,1.235240986,1.235240987,1.235241031
Armenian Premier League,2024-10-31,11:00:00,FC Shirak,Gandzasar FC II,1.11,1.82,2.22,1000.0,2.52,32.0,1.18,300.0,1.01,8.8,1.83,1000.0,1.05,2.2,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,40.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,70.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.55,1000.0,1.06,1000.0,33737291,866231.0,7268356.0,58805.0,1.23527627,1.235276315,1.235276354,1.235276279,1.2,1000.0,1.01,20.0,1.18,110.0,1.01,55.0,1.18,1000.0,1.01,8.0,1.04,1.14,2.0,10.5,1.05,1.49,1.235276271,1.235276273,1.235276274,1.235276318
Italian Serie C,2024-10-31,11:00:00,Potenza,Taranto Sport,1.73,1.89,5.5,7.2,3.35,3.8,1.46,2.28,1.78,3.2,2.1,2.36,1.73,1.9,1.03,12.0,1.03,18.5,1.03,1000.0,1.03,1000.0,1.03,8.4,1.03,9.2,1.03,1000.0,1.03,1000.0,1.03,11.5,1.03,12.5,1.03,30.0,1.03,1000.0,1.03,1000.0,1.03,28.0,1.03,1000.0,1.03,1000.0,15.0,20.0,1.01,1000.0,1.03,1000.0,33738084,2519556.0,10465584.0,58805.0,1.235298304,1.235298349,1.235298388,1.235298313,2.38,3.35,1.42,1.72,2.92,13.5,1.08,1.52,2.92,3.3,1.44,1.52,1.17,1.23,2.12,2.38,1.36,1.43,1.235298305,1.235298307,1.235298308,1.235298352
Saudi Professional League,2024-10-31,11:50:00,Al-Shabab (KSA),Al-Wahda (KSA),1.28,1.96,3.05,1000.0,2.42,32.0,1.08,21.0,1.17,15.5,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.32,1000.0,1.55,1000.0,1.03,1000.0,33720307,5344868.0,6617059.0,58805.0,1.234986308,1.234986318,1.234986307,1.234986317,3.2,3.95,1.34,1.46,9.2,26.0,1.05,1.11,1.15,21.0,1.17,13.5,1.09,1.2,2.0,7.4,1.15,1.49,1.234986299,1.234986311,1.234986312,1.234986322
Saudi Professional League,2024-10-31,11:51:00,Al-Shabab (KSA),Al Wahda FC Mecca,1.04,600.0,1.04,870.0,1.24,950.0,1.15,1000.0,1.01,15.5,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.32,1000.0,1.32,1000.0,1.03,1000.0,33738981,5344868.0,6601808.0,58805.0,1.235311725,1.235311735,1.235311724,1.235311734,1.2,1000.0,1.01,20.0,1.16,1000.0,1.01,990.0,1.15,1000.0,1.01,13.5,1.01,36.0,1.01,36.0,1.01,5.4,1.235311716,1.235311728,1.235311729,1.235311739
Saudi Professional League,2024-10-31,12:10:00,Al-Akhdoud,Al Orubah,2.1,2.26,3.65,4.1,3.4,3.8,1.83,1.98,2.02,2.2,1.85,1.96,2.04,2.18,11.0,23.0,7.2,16.5,6.4,27.0,7.4,90.0,8.2,9.4,7.2,9.8,7.8,16.0,7.2,60.0,5.1,16.5,9.6,13.0,5.8,60.0,7.4,75.0,6.2,34.0,17.5,29.0,7.0,50.0,7.8,140.0,5.6,55.0,6.8,50.0,15.0,1000.0,33723469,21666423.0,7202801.0,58805.0,1.23503539,1.235035452,1.235035382,1.235035442,2.54,3.5,1.41,1.65,8.0,15.5,1.07,1.11,3.4,3.85,1.35,1.42,1.33,1.38,1.79,1.91,1.36,1.42,1.235035356,1.235035406,1.235035408,1.235035459
Egyptian Premier,2024-10-31,14:00:00,Future FC,ENPPI,2.0,2.62,3.85,19.0,2.26,3.4,1.35,1.71,2.42,4.1,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.55,1000.0,1.55,1000.0,1.06,1000.0,33726866,41860831.0,5259327.0,58805.0,1.235085797,1.235085842,1.235085881,1.235085806,1.05,1000.0,1.01,20.0,1.72,11.0,1.1,2.38,1.72,11.0,1.1,2.38,1.19,1.36,1.61,2.0,1.41,1.8,1.235085798,1.2350858,1.235085801,1.235085845
Italian Serie A,2024-10-31,14:30:00,Genoa,Fiorentina,5.7,5.8,1.74,1.75,4.0,4.1,1.9,1.91,2.08,2.12,2.04,2.06,1.94,1.97,12.5,13.0,7.4,7.6,9.0,9.2,16.0,16.5,16.5,17.0,8.2,8.4,9.6,9.8,18.5,19.0,40.0,42.0,20.0,21.0,23.0,24.0,38.0,40.0,120.0,150.0,65.0,80.0,75.0,90.0,120.0,140.0,100.0,120.0,12.0,12.5,350.0,1000.0,33707465,60310.0,676467.0,58805.0,1.234759260,1.234759244,1.234759259,1.234759269,3.05,3.15,1.47,1.48,13.0,13.5,1.08,1.09,3.7,3.8,1.35,1.37,2.34,2.36,1.21,1.22,1.33,1.34,1.234759262,1.234759264,1.234759265,1.234759247
