League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Japanese J League 3,2024-11-15,07:00:00,FC Osaka,Sagamihara,2.14,2.22,3.85,4.3,3.2,3.5,1.55,1.75,2.32,2.82,2.0,2.3,1.78,2.0,8.2,13.5,4.0,520.0,4.7,42.0,5.3,110.0,6.8,21.0,6.6,14.0,4.4,27.0,5.2,75.0,10.5,520.0,10.0,450.0,4.6,40.0,5.3,100.0,4.8,36.0,4.8,65.0,5.1,70.0,5.7,220.0,4.8,44.0,5.2,100.0,5.6,1000.0,33778191,9301693.0,9339232.0,58805.0,1.235948054,1.235948099,1.235948138,1.235948063,2.42,3.05,1.52,1.7,2.7,11.0,1.1,1.59,2.7,3.1,1.48,1.59,1.31,1.35,1.81,1.88,1.4,1.46,1.235948055,1.235948057,1.235948058,1.235948102
Friendly Matches,2024-11-15,08:00:00,Hartberg,First Vienna Fc 1894,1.42,2.06,3.4,11.0,3.25,610.0,1.81,4.8,1.27,2.22,1.01,20.0,1.01,20.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,55.0,1.55,1000.0,1.01,1000.0,33783416,345648.0,14131892.0,58805.0,1.236022696,1.236022741,1.23602278,1.236022705,1.2,1000.0,1.01,20.0,1.81,55.0,1.03,1.08,1.81,55.0,1.03,2.22,1.1,1.42,1.94,3.4,1.03,1.45,1.236022697,1.236022699,1.2360227,1.236022744
FIFA World Cup Qualifiers - Asia,2024-11-15,09:00:00,Indonesia,Japan,14.0,15.5,1.26,1.29,6.4,7.2,2.44,2.74,1.58,1.69,2.18,2.34,1.75,1.84,22.0,26.0,8.4,9.4,7.0,8.0,8.4,9.6,40.0,55.0,13.5,15.0,10.0,11.0,13.0,15.0,13.5,150.0,44.0,55.0,29.0,36.0,29.0,40.0,15.0,880.0,14.0,280.0,13.5,210.0,15.5,240.0,15.0,360.0,4.1,4.7,15.0,1000.0,33757665,866308.0,29636.0,58805.0,1.235634614,1.235634659,1.235634698,1.235634623,3.85,4.6,1.27,1.35,21.0,26.0,1.04,1.05,1.15,7.0,1.17,12.5,4.3,4.8,1.06,1.08,1.16,1.2,1.235634615,1.235634617,1.235634618,1.235634662
Croatian 2 HNL,2024-11-15,09:50:00,NK Dubrava Zagreb,NK Jarun,1.38,1000.0,2.04,1000.0,2.94,4.5,1.2,15.5,1.3,6.6,1.01,1000.0,1.01,1000.0,1.03,17.0,1.06,1000.0,1.06,1000.0,40.0,1000.0,1.06,1000.0,6.0,1000.0,14.0,1000.0,38.0,1000.0,1.06,1000.0,1.06,1000.0,19.0,1000.0,40.0,1000.0,1.06,1000.0,1.06,1000.0,40.0,1000.0,40.0,1000.0,1.55,1000.0,1.55,1000.0,1.06,1000.0,33777052,8212487.0,10146617.0,58805.0,1.235927097,1.235927142,1.235927181,1.235927106,1.2,1000.0,1.3,20.0,2.12,15.5,1.07,1.17,2.1,15.5,1.3,1.9,1.12,1.97,1.38,3.65,1.29,1.52,1.235927098,1.2359271,1.235927101,1.235927145
CAF African Nations Cup Qualifiers,2024-11-15,10:00:00,Botswana,Mauritania,2.78,3.1,3.15,3.65,2.62,2.88,1.36,1.46,3.15,3.8,2.36,2.64,1.6,1.73,5.8,6.6,7.4,24.0,17.0,23.0,20.0,80.0,6.2,15.5,5.7,7.2,5.4,17.5,20.0,70.0,11.0,22.0,12.5,16.0,20.0,34.0,20.0,130.0,20.0,65.0,20.0,60.0,20.0,120.0,20.0,1000.0,7.0,85.0,7.2,1000.0,7.8,1000.0,33759723,831288.0,3388438.0,58805.0,1.235670192,1.235670237,1.235670276,1.235670201,2.18,2.4,1.72,1.85,1.27,7.8,1.15,55.0,2.14,2.42,1.71,1.88,1.37,1.47,1.44,1.58,1.51,1.66,1.235670193,1.235670195,1.235670196,1.23567024
CAF African Nations Cup Qualifiers,2024-11-15,10:00:00,Uganda,South Africa,3.0,3.2,2.74,2.98,2.98,3.1,1.54,1.67,2.48,2.86,1.97,2.24,1.8,2.04,7.4,9.0,7.8,9.6,13.5,18.5,25.0,65.0,8.2,10.5,6.2,7.6,12.0,14.0,20.0,40.0,15.0,22.0,13.5,17.0,20.0,38.0,20.0,70.0,20.0,60.0,20.0,48.0,20.0,80.0,20.0,1000.0,7.0,60.0,7.2,75.0,8.0,1000.0,33759725,857233.0,33291.0,58805.0,1.235670102,1.235670147,1.235670186,1.235670111,2.3,2.68,1.59,1.77,1.02,11.0,1.1,990.0,2.62,3.0,1.5,1.61,1.49,1.63,1.4,1.52,1.42,1.57,1.235670103,1.235670105,1.235670106,1.23567015
Croatian 2 HNL,2024-11-15,10:00:00,Opatija,BSK Bijelo Brdo,1.43,3.0,4.7,1000.0,3.2,10.0,1.18,18.0,1.06,8.2,1.05,1000.0,1.12,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,40.0,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,40.0,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,40.0,1000.0,1.03,1000.0,1.03,1000.0,40.0,1000.0,40.0,1000.0,1.37,1000.0,1.55,1000.0,1.03,1000.0,33777057,4940514.0,4940518.0,58805.0,1.235926917,1.235926962,1.235927001,1.235926926,1.2,1000.0,1.01,20.0,1.18,18.0,1.06,1.18,1.18,18.0,1.06,8.0,1.07,1.28,1.5,4.5,1.18,1.46,1.235926918,1.23592692,1.235926921,1.235926965
English U21 Pro Development League,2024-11-15,10:00:00,Birmingham U21,Sheff Utd U21,4.3,1000.0,1.18,1.74,5.0,1000.0,3.0,26.0,1.15,1.5,1.05,1000.0,1.05,1000.0,1.03,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.01,80.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.02,1000.0,1.55,1000.0,1.01,75.0,1.02,1000.0,33782035,6813025.0,6812038.0,58805.0,1.236003447,1.236003492,1.236003531,1.236003456,5.0,8.2,1.14,1.25,3.0,110.0,1.01,1.5,3.0,110.0,1.04,1.5,2.34,6.6,1.11,1.3,1.06,1.25,1.236003448,1.23600345,1.236003451,1.236003495
Slovenian 2 SNL,2024-11-15,10:00:00,NK Brinje Grosuplje,Gorica,1.7,110.0,1.64,110.0,3.0,32.0,1.18,55.0,1.02,8.8,1.01,20.0,1.01,2.58,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,7.4,14.0,10.0,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.07,1000.0,33783012,13050456.0,52799.0,58805.0,1.236019188,1.236019233,1.236019272,1.236019197,1.2,1000.0,1.01,20.0,14.5,110.0,1.02,1.08,1.18,55.0,1.02,8.0,1.3,2.6,1.26,2.44,1.18,1.5,1.236019189,1.236019191,1.236019192,1.236019236
Algerian Ligue 1,2024-11-15,11:00:00,USM Khenchela,CS Constantine,1.9,2.14,4.4,6.2,2.92,3.65,1.52,1.65,2.36,2.96,2.24,2.58,1.64,1.8,3.4,17.0,4.0,15.0,24.0,46.0,40.0,1000.0,3.3,8.2,3.3,14.0,3.05,25.0,40.0,1000.0,2.68,11.5,3.95,13.5,3.2,38.0,40.0,1000.0,19.0,25.0,22.0,32.0,40.0,85.0,40.0,1000.0,3.1,27.0,3.45,1000.0,3.5,1000.0,33781816,12249065.0,7598561.0,58805.0,1.236000413,1.236000458,1.236000497,1.236000422,1.2,3.05,1.49,20.0,2.52,1000.0,1.02,1.65,2.52,2.96,1.52,1.65,1.21,1.29,1.87,2.12,1.37,1.49,1.236000414,1.236000416,1.236000417,1.236000461
