League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Mexican Liga MX,2024-11-28,00:10:00,Tijuana,Cruz Azul,3.95,4.7,2.0,2.12,3.4,3.7,1.88,1.92,2.08,2.14,1.81,1.99,2.02,2.24,11.0,15.0,7.4,9.4,10.0,13.0,19.5,27.0,12.0,16.0,6.8,8.6,9.0,11.5,18.0,25.0,6.4,34.0,14.0,18.0,15.5,21.0,6.8,44.0,7.0,100.0,7.0,60.0,7.0,65.0,7.2,130.0,7.0,65.0,14.0,17.5,7.6,1000.0,33815568,5687741.0,328204.0,58805.0,1.236416614,1.236416617,1.236416661,1.236416662,3.0,3.6,1.39,1.5,3.5,1000.0,1.01,1.4,3.5,4.2,1.31,1.4,1.89,2.0,1.27,1.33,1.39,1.42,1.236416663,1.236416624,1.236416615,1.236416616
Saudi Professional League,2024-11-28,11:45:00,Al-Feiha,Al Orubah,2.2,2.38,3.5,3.9,3.25,3.65,1.8,1.89,2.12,2.26,1.87,2.02,1.99,2.14,10.0,20.0,10.5,13.5,7.6,170.0,9.4,900.0,7.6,9.4,7.0,8.0,13.5,100.0,8.6,300.0,6.0,90.0,5.8,19.0,7.2,60.0,9.0,390.0,8.0,180.0,7.6,70.0,8.6,270.0,9.8,240.0,15.5,55.0,8.8,55.0,10.5,1000.0,33810871,13886091.0,7202801.0,58805.0,1.236329484,1.236329529,1.236329568,1.236329493,1.2,110.0,1.42,2.4,1.27,21.0,1.08,1.11,3.35,3.75,1.37,1.43,1.35,1.4,1.72,1.84,1.37,1.44,1.236329485,1.236329487,1.236329488,1.236329532
Romanian Liga II,2024-11-28,12:00:00,Ceahlaul,Arges Pitesti,2.02,590.0,2.02,860.0,2.92,3.5,1.35,2.44,1.7,7.8,1.02,1000.0,1.02,1000.0,1.03,980.0,1.09,980.0,1.09,1000.0,1.09,900.0,1.09,980.0,1.06,980.0,1.09,980.0,1.09,1000.0,1.09,1000.0,1.09,980.0,1.09,980.0,1.09,1000.0,1.09,1000.0,1.09,1000.0,1.09,1000.0,1.09,1000.0,1.55,1000.0,1.55,1000.0,1.09,1000.0,33813198,1557295.0,1557297.0,58805.0,1.236370957,1.236371002,1.236371041,1.236370966,1.2,1000.0,1.4,20.0,1.35,13.5,1.08,1.2,1.35,13.5,1.3,7.6,1.2,1.99,1.2,1.99,1.4,1.53,1.236370958,1.23637096,1.236370961,1.236371005
Armenian Premier League,2024-11-28,12:00:00,FC Shirak,FC Pyunik,1.01,1000.0,1.35,1.59,3.05,1000.0,1.34,990.0,1.01,3.95,1.05,1000.0,1.05,1000.0,1.05,980.0,1.05,980.0,1.05,1000.0,1.05,180.0,1.37,980.0,1.03,980.0,1.05,980.0,1.05,1000.0,1.37,1000.0,1.37,980.0,1.05,980.0,1.05,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.05,1000.0,1.55,1000.0,1.03,55.0,1.05,1000.0,33821422,866231.0,1526911.0,58805.0,1.236499185,1.23649923,1.236499269,1.236499194,1.2,1000.0,1.01,20.0,1.02,110.0,1.03,990.0,1.15,1000.0,1.22,1.31,2.3,110.0,1.01,1.2,1.01,1.27,1.236499186,1.236499188,1.236499189,1.236499233
Saudi Professional League,2024-11-28,12:05:00,Al-Akhdoud,Al-Kholood Club,2.0,2.16,3.8,4.6,3.4,4.2,1.86,2.02,1.98,2.16,1.75,2.02,1.98,2.34,11.0,980.0,4.9,980.0,5.6,230.0,2.96,900.0,7.6,980.0,6.6,42.0,5.1,980.0,4.3,250.0,10.0,90.0,8.4,980.0,5.2,980.0,3.1,70.0,5.4,180.0,5.3,70.0,5.9,44.0,3.2,200.0,4.9,55.0,2.66,260.0,2.96,1000.0,33813651,21666423.0,40846946.0,58805.0,1.236378059,1.236378069,1.236378058,1.236378068,2.96,110.0,1.17,1.51,3.45,21.0,1.05,1.13,3.45,4.4,1.3,1.41,1.27,1.36,1.86,2.0,1.33,1.42,1.23637805,1.236378062,1.236378063,1.236378073
UEFA Europa Conference League,2024-11-28,12:30:00,FC Astana,Guimaraes,4.1,4.3,2.06,2.1,3.55,3.7,1.66,1.75,2.34,2.52,2.06,2.2,1.84,1.95,9.0,10.5,7.0,7.8,10.0,11.5,22.0,27.0,11.0,12.0,7.2,7.6,10.0,11.5,23.0,27.0,24.0,28.0,15.5,17.5,21.0,24.0,44.0,55.0,15.0,100.0,32.0,65.0,36.0,85.0,16.0,170.0,14.5,110.0,18.5,22.0,17.0,1000.0,33808557,7391219.0,50085.0,58805.0,1.236297426,1.236297436,1.236297425,1.236297435,2.6,3.05,1.48,1.63,8.8,12.5,1.09,1.13,2.98,3.25,1.45,1.51,1.91,1.95,1.31,1.33,1.37,1.39,1.236297417,1.236297429,1.23629743,1.23629744
Saudi Professional League,2024-11-28,14:00:00,Al-Fateh (KSA),Al Riyadh SC,2.5,2.58,3.0,3.15,3.45,3.65,1.96,2.0,2.0,2.04,1.76,1.87,2.16,2.32,12.5,17.5,10.5,12.5,18.5,22.0,8.0,65.0,9.4,11.0,6.8,8.0,11.5,13.5,26.0,44.0,14.5,17.0,10.0,14.0,15.5,18.0,7.8,85.0,8.2,65.0,20.0,46.0,7.6,70.0,8.4,140.0,16.5,23.0,8.2,44.0,21.0,1000.0,33814341,7196232.0,5327845.0,58805.0,1.236394019,1.236394029,1.236394018,1.236394028,3.2,3.4,1.42,1.45,12.0,18.0,1.07,1.09,3.9,4.0,1.33,1.34,1.46,1.5,1.63,1.67,1.37,1.4,1.23639401,1.236394022,1.236394023,1.236394033
Friendly Matches,2024-11-28,14:15:00,FA 2000,Fremad Amager,2.5,14.0,1.13,1.99,2.5,34.0,1.76,4.4,1.3,2.3,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33822633,8755404.0,151021.0,58805.0,1.236519263,1.236519266,1.23651931,1.236519311,1.2,110.0,1.01,20.0,1.76,1000.0,1.01,2.3,1.76,1000.0,1.01,2.3,2.0,9.4,1.08,1.62,1.03,1.61,1.236519312,1.236519273,1.236519264,1.236519265
UEFA Europa League,2024-11-28,14:45:00,Az Alkmaar,Galatasaray,3.3,3.35,2.26,2.28,3.9,3.95,2.84,2.88,1.53,1.54,1.49,1.53,2.9,3.05,24.0,27.0,15.5,16.5,16.5,18.0,27.0,30.0,20.0,21.0,9.2,9.6,10.5,11.5,18.0,18.5,25.0,28.0,13.0,14.0,12.5,13.5,23.0,25.0,48.0,55.0,27.0,30.0,29.0,34.0,40.0,50.0,17.0,19.0,9.2,9.6,200.0,280.0,33810206,9220660.0,2436.0,58805.0,1.236318683,1.236318667,1.236318682,1.236318692,4.2,4.5,1.28,1.31,23.0,26.0,1.04,1.05,6.6,7.0,1.17,1.18,1.78,1.8,1.42,1.44,1.34,1.35,1.236318685,1.236318687,1.236318688,1.23631867
UEFA Europa League,2024-11-28,14:45:00,Besiktas,Maccabi Tel Aviv,1.79,1.81,4.9,5.0,4.0,4.1,2.42,2.46,1.68,1.7,1.67,1.71,2.4,2.5,18.5,19.5,21.0,23.0,36.0,40.0,38.0,110.0,10.5,11.5,9.0,9.4,17.5,19.5,48.0,55.0,11.5,12.0,9.6,10.0,15.5,16.5,48.0,55.0,17.5,18.5,15.0,16.0,25.0,27.0,70.0,75.0,7.8,8.6,38.0,46.0,55.0,1000.0,33810203,232068.0,197970.0,58805.0,1.236318923,1.236318907,1.236318922,1.236318932,3.8,3.95,1.34,1.36,18.0,21.0,1.05,1.06,5.2,5.4,1.23,1.24,1.25,1.26,2.22,2.26,1.32,1.33,1.236318925,1.236318927,1.236318928,1.23631891
