League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Bosnian Premier League,2024-11-20,09:00:00,Sloga Doboj,Borac Banja Luka,1.04,1000.0,1.04,2.76,1.03,950.0,1.18,110.0,1.01,8.8,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33795451,14508297.0,4837337.0,58805.0,1.236178934,1.236178979,1.236179018,1.236178943,1.01,1000.0,1.01,1000.0,1.18,110.0,1.01,8.8,1.18,110.0,1.01,8.8,1.57,36.0,1.01,1.48,1.01,1.46,1.236178935,1.236178937,1.236178938,1.236178982
Armenian Premier League,2024-11-20,10:00:00,FC Urartu,FC Shirak,1.01,1000.0,1.01,1000.0,1.01,950.0,1.18,110.0,1.01,8.8,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33795394,25800263.0,866231.0,58805.0,1.236178844,1.236178889,1.236178928,1.236178853,1.01,1000.0,1.01,1000.0,1.18,110.0,1.01,8.8,1.18,110.0,1.01,8.8,1.01,950.0,1.01,950.0,1.01,1000.0,1.236178845,1.236178847,1.236178848,1.236178892
Brazilian Serie A,2024-11-20,11:00:00,Corinthians,Cruzeiro MG,1.43,1.45,9.4,10.5,4.8,5.0,1.8,1.93,2.06,2.24,2.32,2.62,1.62,1.76,11.5,13.0,24.0,26.0,13.5,90.0,15.0,490.0,6.0,6.8,10.0,11.0,34.0,40.0,14.5,230.0,6.4,7.2,9.8,10.5,30.0,38.0,14.5,220.0,10.5,11.5,16.0,18.0,44.0,60.0,15.0,300.0,7.8,9.0,15.0,410.0,15.5,1000.0,33761530,198136.0,10901767.0,58805.0,1.23569161,1.235691594,1.235691609,1.235691619,3.0,3.1,1.48,1.5,8.6,13.5,1.08,1.11,3.35,3.75,1.36,1.43,1.1,1.12,3.2,3.35,1.25,1.27,1.235691612,1.235691614,1.235691615,1.235691597
Armenian Premier League,2024-11-20,11:00:00,FC Noah,FC Ararat Yerevan,1.01,1000.0,1.01,1000.0,1.01,950.0,1.18,110.0,1.01,8.8,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33795395,25068897.0,7180004.0,58805.0,1.236178754,1.236178799,1.236178838,1.236178763,1.01,1000.0,1.01,1000.0,1.18,110.0,1.01,8.8,1.18,110.0,1.01,8.8,1.01,990.0,1.01,950.0,1.01,1000.0,1.236178755,1.236178757,1.236178758,1.236178802
Algerian Ligue 1,2024-11-20,16:00:00,MC Alger,Belouizdad,1.87,2.02,5.7,7.0,2.94,3.4,1.4,1.47,3.1,3.65,2.52,3.05,1.48,1.65,5.8,7.6,9.6,16.0,5.4,390.0,5.9,1000.0,4.6,5.9,6.4,8.6,5.1,980.0,5.8,190.0,7.6,10.5,9.6,16.0,5.4,980.0,5.8,1000.0,4.8,180.0,5.5,38.0,5.7,110.0,5.9,1000.0,5.0,32.0,5.9,1000.0,6.0,1000.0,33796742,5177434.0,9221275.0,58805.0,1.236214374,1.236214377,1.236214421,1.236214422,2.32,2.44,1.7,1.76,4.1,1000.0,1.16,1.2,2.26,2.5,1.67,1.79,1.16,1.21,1.98,2.16,1.43,1.52,1.236214423,1.236214384,1.236214375,1.236214376
Spanish Segunda RFEF - Group 4,2024-11-20,16:00:00,Orihuela CF,Aguilas,2.2,2.52,4.2,4.9,2.62,3.1,1.35,1.45,3.25,3.9,2.36,2.78,1.56,1.73,3.3,6.4,4.1,980.0,5.5,270.0,6.2,900.0,3.35,980.0,5.9,42.0,5.1,980.0,6.0,110.0,4.8,110.0,4.7,980.0,5.6,980.0,6.2,1000.0,5.6,44.0,5.7,50.0,6.0,120.0,6.4,1000.0,5.8,60.0,3.5,1000.0,6.4,1000.0,33796135,9320423.0,1254139.0,58805.0,1.236182515,1.236182560,1.236182599,1.236182524,2.22,2.36,1.74,1.81,4.7,1000.0,1.17,1.23,2.1,2.48,1.69,1.9,1.25,1.32,1.65,1.83,1.47,1.62,1.236182516,1.236182518,1.236182519,1.236182563
Spanish Segunda RFEF - Group 3,2024-11-20,16:00:00,Valencia-Mestalla,Torrent CF,1.7,4.0,2.06,6.8,2.66,4.4,1.34,2.0,2.0,3.95,2.12,2.5,1.67,1.89,1.08,980.0,1.08,980.0,1.08,1000.0,1.08,1000.0,1.08,980.0,1.01,980.0,1.08,980.0,1.08,1000.0,1.08,1000.0,1.08,980.0,1.08,980.0,1.08,1000.0,1.08,1000.0,1.08,1000.0,1.08,1000.0,1.08,1000.0,1.08,1000.0,1.55,1000.0,1.08,1000.0,33796838,11494961.0,36458961.0,58805.0,1.236187786,1.236187831,1.236187870,1.236187795,2.52,2.7,1.59,1.66,1.27,11.5,1.1,1.19,1.34,11.0,1.48,3.95,1.17,1.95,1.33,2.44,1.35,1.58,1.236187787,1.236187789,1.236187790,1.236187834
Bolivian Liga de Futbol Profesional,2024-11-20,16:00:00,CD Gualberto Villarroel,Aurora,1.85,2.38,2.68,6.4,3.3,21.0,1.8,3.2,1.45,2.24,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33795001,61511713.0,893608.0,58805.0,1.236173831,1.236173876,1.236173915,1.23617384,1.01,1000.0,1.01,1000.0,2.34,110.0,1.01,1.75,2.34,110.0,1.01,1.75,1.18,1.59,1.72,2.18,1.09,1.43,1.236173832,1.236173834,1.236173835,1.236173879
Spanish Segunda Division,2024-11-20,16:00:00,Eldense,Huesca,2.26,2.28,4.5,4.6,2.94,2.98,1.43,1.45,3.2,3.35,2.46,2.62,1.62,1.69,6.2,6.8,9.6,10.5,25.0,32.0,17.5,140.0,5.6,6.2,6.6,7.0,18.0,21.0,70.0,95.0,10.5,11.5,11.5,13.0,28.0,32.0,40.0,230.0,27.0,32.0,30.0,38.0,16.5,90.0,250.0,310.0,34.0,42.0,18.0,190.0,20.0,1000.0,33793453,2250350.0,2250353.0,58805.0,1.236149584,1.236149629,1.236149668,1.236149593,2.24,2.34,1.75,1.81,6.2,6.8,1.17,1.19,2.36,2.4,1.72,1.74,1.27,1.29,1.78,1.8,1.5,1.52,1.236149585,1.236149587,1.236149588,1.236149632
Spanish Primera Division RFEF Group 2,2024-11-20,16:30:00,Hercules,Marbella,2.32,2.62,3.5,4.3,2.82,3.3,1.51,1.6,2.66,3.0,2.14,2.42,1.71,1.87,2.54,980.0,2.84,980.0,3.6,240.0,2.74,900.0,2.58,980.0,2.9,980.0,3.0,980.0,3.3,1000.0,3.65,120.0,2.92,980.0,2.52,980.0,2.68,1000.0,3.25,42.0,3.25,42.0,3.3,1000.0,3.5,1000.0,2.24,44.0,2.22,1000.0,2.74,1000.0,33795246,248015.0,2250362.0,58805.0,1.236174521,1.236174566,1.236174605,1.236174530,2.54,2.68,1.6,1.65,2.6,1000.0,1.12,1.15,2.56,2.86,1.54,1.63,1.32,1.4,1.63,1.75,1.44,1.55,1.236174522,1.236174524,1.236174525,1.236174569
