Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,Media_Ptos_A,CV_Ptos_H,CV_Ptos_A,Media_GM_H,Media_GM_A,CV_GM_H,CV_GM_A,Media_GS_H,Media_GS_A,CV_GS_H,CV_GS_A,Media_SG_H,Media_SG_A,CV_SG_H,CV_SG_A,Media_SG_H_01,Media_SG_A_01,CV_SG_H_01,CV_SG_A_01,Media_SG_H_02,Media_SG_A_02,CV_SG_H_02,CV_SG_A_02,Media_VG_H,Media_VG_A,CV_VG_H,CV_VG_A,Media_CG_H_00,Media_CG_A_00,CV_CG_H_00,CV_CG_A_00,Media_CG_H_01,Media_CG_A_01,CV_CG_H_01,CV_CG_A_01,Media_CG_H_02,Media_CG_A_02,CV_CG_H_02,CV_CG_A_02
jNQN0abb,ARGENTINA 1,ROUND 3,2024-05-28,00:00,Atl. Tucuman,Platense,2.88,1.83,5.0,1.67,2.1,4.33,1.2,15.0,1.03,2.05,2.9,4.33,1.13,6.0,1.62,2.2,2.88,1.4,6.5,1.11,15.0,1.03,2.38,1.53,1.2,1.4,1.73,5.5,8.0,19.0,51.0,5.0,6.0,17.0,41.0,8.0,10.0,21.0,51.0,19.0,23.0,41.0,101.0,0.0,0,0,1,1,[82],[53],1.09,1.01,0.48780487804878053,0.3448275862068966,0.23094688221709006,0.372488056831577,0.7068965517241379,0.4734411085450346,1.4146341463414636,0.6697459584295612,2.1121951219512196,1.493103448275862,2.2800000000000002,0.8500000000000001,1.4300000000000002,48.74298829568714,23.025492008528037,35.56476799303516,0.5265588914549654,0.2931034482758621,0.3302540415704388,2.0,1.4,0.7071067811865476,1.083267920578793,2.2,0.8,0.5926547641093316,1.0458250331675927,1.2,1.2,0.9128709291752767,1.0865337342004415,1.0,-0.4,1.8708286933869707,-3.791437722025775,2.032,-1.5720000000000007,1.9427866106355143,-4.260658300068888,3.9220000000000006,-0.7799999999999999,1.7793219161848246,-4.062454167040299,0.5615012937268331,0.40224089635854343,0.5408586874857149,1.1645319784943633,0.26863906339087734,0.5267857142857142,0.43970400255322245,0.834916622891512,4.532,3.88,0.5254172282725423,1.2666155760673408,1.3345380128588062,0.5148208786978994,0.5088826664238403,0.804188148952111
2uy0atGj,BOLIVIA 1,CLAUSURA ,2024-05-28,00:00,Royal Pari,Independiente,2.1,2.5,4.5,1.25,3.75,2.2,1.62,5.0,1.17,1.62,4.33,4.5,1.02,19.0,1.14,5.5,1.48,2.6,2.2,1.62,3.75,1.25,1.53,2.38,1.18,1.2,2.25,19.0,19.0,29.0,51.0,11.0,8.5,15.0,34.0,10.0,8.5,13.0,29.0,13.0,12.0,19.0,41.0,126.0,0,1,2,2,"[56, 90]","[41, 66]",1.42,1.26,0.6172839506172839,0.23094688221709006,0.2222222222222222,0.46390366626083906,0.3741339491916859,0.36000000000000004,2.6728395061728394,0.9622222222222222,2.7777777777777777,1.0392609699769053,2.88,2.71,0.16999999999999993,55.22216863363612,53.572400654689844,4.858462919034285,0.64,0.625866050808314,0.037777777777777764,0.4,1.6,1.3693063937629135,0.8385254915624211,0.4,1.8,1.3693063937629113,0.8240220541217405,1.2,2.0,0.6972166887783964,1.224744871391589,-0.8,-0.2,-1.0458250331675985,-14.317821063276357,-1.9799999999999998,-3.3899999999999997,-1.092824730336747,-4.320154420552456,-2.2419999999999987,2.258,-1.0121370725849244,3.7549070282548365,0.11843137254901963,0.9005638797819143,1.4846110591430894,1.0547692626705474,0.7917211328976035,0.33732229123533486,0.3731317869815518,1.150020891411344,0.8799999999999993,7.31,1.427030234177329,0.9617897065521985,0.42234491859855294,1.0695036364601582,0.6942052548098088,0.6888288707633128
Ig25kHe6,BRAZIL 2,ROUND 7,2024-05-28,00:00,Botafogo SP,Novorizontino,3.6,1.83,3.75,1.62,2.2,4.0,1.22,13.0,1.04,2.8,2.75,3.0,1.13,6.0,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.2,1.62,1.36,1.4,1.4,5.5,6.5,13.0,29.0,6.5,5.5,12.0,29.0,12.0,12.0,19.0,41.0,29.0,29.0,41.0,81.0,1250.0,0,0,0,1,[],[90],0.67,0.34,0.35714285714285715,0.36363636363636365,0.3333333333333333,0.04641668966779985,1.018181818181818,0.9333333333333332,0.9821428571428572,0.9166666666666666,1.0714285714285714,1.0909090909090908,0.20000000000000018,0.04999999999999982,0.25,5.710593137499648,-1.4320961841646414,7.125016348901798,0.06666666666666672,0.01818181818181812,0.08333333333333333,0.8,1.4,0.5590169943749477,1.0832679205787932,0.6,1.4,1.4907119849998605,0.8144110179279558,0.8,1.4,1.0458250331675945,0.63887656499994,-0.2,0.0,-2.236067977499788,1.0,-0.3240000000000002,-1.0779999999999998,-2.236067977499807,-4.700236586602851,-1.0400000000000005,1.1099999999999997,-2.2360679774997863,4.177111330797961,0.1920018307683505,0.4800727866904337,1.3770025679306617,0.8735801012398384,0.7064425770308123,0.4498848055507647,0.5696963380564687,0.8165776876402776,1.5199999999999996,3.696,1.381892195064856,0.8471566191070589,0.5208730285248697,0.8912529850812019,0.8464505254429299,0.6631450085662419
f9vMMtf5,ECUADOR 1,FIRST STAGE ,2024-05-28,00:00,Libertad,Dep. Cuenca,3.6,2.3,2.75,1.33,3.25,2.5,1.5,6.0,1.13,3.1,3.5,2.05,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.67,1.25,1.33,13.0,9.5,12.0,19.0,12.0,7.0,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,29.0,41.0,151.0,0,0,0,0,[],[],0.55,0.21,0.3225806451612903,0.2857142857142857,0.48780487804878053,0.25972996460879744,0.8857142857142858,1.5121951219512197,1.129032258064516,1.707317073170732,0.6612903225806451,0.5857142857142856,1.0500000000000003,0.3999999999999999,1.4500000000000002,-27.699472808055003,11.309932474020211,-35.942111871382345,0.5121951219512196,0.11428571428571425,0.7073170731707319,0.8,0.2,1.629800601300662,2.236067977499787,0.8,1.0,1.0458250331675942,1.224744871391589,1.8,2.4,0.7243558228002944,0.4750730937913075,-1.0,-1.4,-1.5811388300841898,-1.083267920578793,-3.9400000000000004,-8.075999999999999,-1.381192296183002,-1.4139171660168308,-1.9560000000000008,-2.46,-1.758121162431113,-0.9024024016592919,0.40595403752899006,0.5633333333333334,1.3201312862786752,1.4710420956482573,0.5698967509709197,0.5609566903684551,0.7206104749435025,0.7547029669600228,3.35,4.976000000000001,1.4153944684956146,1.654487988699458,0.5573477313630766,0.6193061840120664,0.7145196026692474,0.9979423307294131
UBEGnFuP,BRAZIL 2,ROUND 7,2024-05-28,00:30,Avai,Goias,3.4,1.91,3.75,1.57,2.25,3.75,1.25,13.0,1.04,2.6,2.9,3.0,1.11,6.5,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.1,1.67,1.36,1.4,1.5,6.0,7.5,13.0,34.0,6.5,5.5,12.0,29.0,11.0,11.0,17.0,41.0,26.0,26.0,41.0,67.0,301.0,0,0,2,0,"[72, 88]",[],0.99,0.37,0.3846153846153846,0.3448275862068966,0.3333333333333333,0.07347056468703995,0.896551724137931,0.8666666666666667,1.1153846153846154,0.9666666666666667,1.1538461538461537,1.0344827586206897,0.3999999999999999,0.2999999999999998,0.10000000000000009,11.309932474020211,8.530765609948128,2.86240522611175,0.1333333333333333,0.10344827586206891,0.03333333333333336,1.6,1.0,0.838525491562421,1.224744871391589,0.8,1.0,1.045825033167594,0.7071067811865478,0.8,1.0,1.0458250331675951,0.7071067811865464,0.0,0.0,1.0,1.0,-0.7399999999999999,-1.9,-6.492360797252003,-2.9912152080805976,0.3840000000000002,0.5339999999999998,7.076283256217371,5.4785379523005275,0.2678571428571429,0.4405892641186758,1.1030572305063286,0.6395832236470602,0.6100331041507513,0.3990965556182947,0.609452703812014,0.8643728480051815,2.0300000000000002,3.55,1.1167716930030944,0.6751754824905222,0.5879737839687778,0.6288412071020767,0.7389257575101827,0.6357142340642133
dnEulzY5,CHILE 2,ROUND 14,2024-05-28,00:30,San Marcos de Arica,San Luis,2.67,2.1,3.85,1.42,2.8,2.82,1.42,6.2,1.1,2.07,3.45,3.35,1.06,7.9,1.29,3.35,1.88,1.88,3.05,1.34,5.4,1.13,1.7,2.02,1.34,1.3,1.78,7.9,10.0,19.5,50.0,7.7,6.9,12.5,32.0,11.0,9.0,14.5,37.0,21.0,17.5,28.0,65.0,500.0,1,0,1,0,[39],[],0,0,0.48309178743961356,0.2898550724637681,0.29850746268656714,0.2602599786232849,0.6,0.617910447761194,1.666666666666667,1.0298507462686568,1.6183574879227054,0.9710144927536232,1.2800000000000002,1.3800000000000003,0.10000000000000009,32.61924307119283,34.60567555163857,-2.86240522611175,0.38208955223880603,0.4000000000000001,0.029850746268656744,0.8,1.8,1.629800601300662,0.9128709291752769,1.2,2.0,1.086533734200441,0.9354143466934852,1.8,1.8,1.1385500851066221,0.8240220541217403,-0.6,0.2,-3.0276503540974917,13.874436925511606,-1.368,1.2040000000000002,-2.8343415713145044,6.633079335485493,-1.7499999999999996,0.02399999999999993,-3.4308325877107397,289.6797801020991,0.3281544419397722,0.9439734882579167,1.0218370645287558,0.9552590901139202,0.5750445632798573,0.4556846691020152,0.6954312967637791,1.0910984654347204,2.364,6.8,1.042055142417225,0.970936323499465,0.8356193044609862,1.1634512296446646,0.8067974630117206,0.7874192007165901
lWXZmrRe,SOUTH KOREA 1,ROUND 15,2024-05-28,10:30,Gimcheon Sangmu,Seoul,3.0,2.05,3.75,1.44,2.63,3.25,1.33,9.0,1.07,2.3,3.2,3.2,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.83,1.83,1.36,1.36,1.57,8.5,9.0,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0,0,0,0,0,[],[],0,0,0.4347826086956522,0.3125,0.3125,0.17917766974850466,0.7187499999999999,0.7187499999999999,1.3913043478260871,1.0,1.3913043478260871,1.0,0.9000000000000004,0.9000000000000004,0.0,24.22774531795418,24.22774531795418,0.0,0.2812500000000001,0.2812500000000001,0.0,2.6,1.6,0.34401045807689057,0.8385254915624211,1.4,1.4,0.391230398217977,0.6388765649999393,0.6,1.2,1.4907119849998596,1.0865337342004415,0.8,0.2,0.5590169943749508,7.416198487095662,2.1559999999999997,0.8700000000000001,0.6068680096937519,4.3948798564130875,2.3,0.12999999999999973,0.6308094838498647,32.19715522734473,0.5111178476695719,0.6036684628474192,0.45151383312115806,0.7089932142347366,0.32062502458740205,0.3823877571703659,0.4394639090922593,0.9569889082043398,3.656,4.319999999999999,0.4433207538550549,0.7212050648337397,0.8992014011825897,0.8746237820150864,0.3036987831299382,0.4963152500323962
67rVlOBk,SOUTH KOREA 1,ROUND 15,2024-05-28,10:30,Gwangju FC,Pohang,2.88,2.2,3.6,1.4,2.75,2.75,1.4,8.0,1.08,2.2,3.4,3.1,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,1.36,1.3,1.67,11.0,10.0,17.0,34.0,8.5,6.5,11.0,23.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0,0,1,0,1,[],[6],0,0,0.45454545454545453,0.29411764705882354,0.3225806451612903,0.21534475856546195,0.6470588235294118,0.7096774193548387,1.5454545454545452,1.096774193548387,1.409090909090909,0.911764705882353,0.8999999999999999,1.1999999999999997,0.2999999999999998,24.22774531795417,30.963756532073518,-8.530765609948128,0.29032258064516125,0.35294117647058815,0.09677419354838704,1.2,2.4,1.3693063937629149,0.5590169943749475,1.4,2.4,0.6388765649999393,0.6972166887783964,2.0,1.2,0.49999999999999994,0.6972166887783967,-0.6,1.2,-2.7888667551135855,1.0865337342004404,-1.1800000000000004,3.382,-2.900546759223478,1.081170156371761,-2.2899999999999996,3.186,-2.572178435684044,1.0565169435592057,0.453105413105413,0.9089062897886429,0.7383677892313392,0.7412398793607774,0.441377848436672,0.31530789273959636,0.776293132713498,1.2290086336015837,3.13,6.732000000000001,0.6988338641714982,0.7685227279470876,0.9386058456646692,1.3883303971959242,0.4577383559312568,0.5927964052114635
CYQsPON7,SAUDI ARABIA 2,ROUND 34,2024-05-28,10:30,Al Ain,Al Najma,2.5,2.2,3.75,0.0,0.0,2.32,1.47,0.0,0.0,1.95,3.55,3.4,0.0,0.0,1.2,3.65,1.6,2.07,2.4,1.44,0.0,0.0,1.53,2.18,1.28,1.26,1.8,13.0,13.0,21.0,50.0,9.25,7.1,11.5,27.0,10.75,8.5,12.0,28.0,18.0,14.0,21.0,45.0,250.0,1,2,2,2,"[43, 82]","[5, 38]",0,0,0.5128205128205129,0.28169014084507044,0.29411764705882354,0.2978587897036306,0.5492957746478874,0.5735294117647058,1.8205128205128205,1.0441176470588236,1.7435897435897436,0.9577464788732395,1.45,1.5999999999999999,0.1499999999999999,35.94211187138234,38.65980825409009,-4.289153328819016,0.4264705882352941,0.4507042253521127,0.044117647058823505,2.6,1.2,0.3440104580768909,1.3693063937629155,2.0,1.6,0.49999999999999994,0.34232659844072866,1.0,2.2,0.7071067811865476,1.036523113726489,1.0,-0.6,0.7071067811865472,-3.456073558887953,2.3400000000000003,-3.414,0.7797535251210072,-2.5524888802049013,3.3,-0.8300000000000001,0.6972989999396275,-4.532539087761669,0.7147046602965148,0.8784977499090821,0.49374519641764403,0.47851711510980915,0.2698105746363587,0.2179010922928093,0.7593237662812147,0.6410205140496287,5.029999999999999,6.324000000000001,0.4625525262617882,0.5548489071302118,1.2105095127481884,0.9446283770873934,0.4176388083747886,0.2539554271852006
KxXcVaps,SAUDI ARABIA 2,ROUND 34,2024-05-28,12:20,Al Jandal,Jeddah,3.0,2.22,3.0,1.38,2.57,2.4,1.44,0.0,0.0,2.45,3.6,2.47,0.0,0.0,1.22,3.45,1.65,1.98,2.55,1.39,0.0,0.0,1.57,2.1,1.52,1.25,1.52,13.0,10.0,13.5,26.0,10.0,7.1,9.5,18.5,13.5,9.5,13.0,25.0,26.0,18.5,25.0,50.0,350.0,1,4,1,4,[39],"[17, 35, 45, 54]",0,0,0.4081632653061224,0.2777777777777778,0.4048582995951417,0.23178002451876528,0.6805555555555556,0.9919028340080972,1.4693877551020407,1.45748987854251,1.0081632653061225,0.6861111111111111,0.020000000000000018,1.15,1.13,0.5729386976834864,29.89890183861456,-29.46644827512009,0.008097165991902841,0.3194444444444444,0.45748987854251005,1.4,0.8,1.083267920578793,1.629800601300662,1.4,1.6,0.6388765649999399,0.34232659844072894,1.6,2.2,1.1353688827865593,0.3803000120609434,-0.2,-0.6,-11.937336386313321,-1.90029237516523,-0.2019999999999996,-2.35,-40.21550429385737,-2.0292117476708698,-0.8319999999999999,-1.2019999999999997,-6.462432017041964,-1.8342718594260354,0.6779729951226108,0.8835231583090193,0.786053750792724,0.32907313680659916,0.2888817770018342,0.16735065291542847,0.4691098153970307,0.45339508383937177,4.798,6.75,0.8025751917414655,0.3305231335899716,0.8617569058169344,0.9216268907737559,0.500150795989294,0.3059358480611018
