Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,Media_Ptos_A,CV_Ptos_H,CV_Ptos_A,Media_GM_H,Media_GM_A,CV_GM_H,CV_GM_A,Media_GS_H,Media_GS_A,CV_GS_H,CV_GS_A,Media_SG_H,Media_SG_A,CV_SG_H,CV_SG_A,Media_SG_H_01,Media_SG_A_01,CV_SG_H_01,CV_SG_A_01,Media_SG_H_02,Media_SG_A_02,CV_SG_H_02,CV_SG_A_02,Media_VG_H,Media_VG_A,CV_VG_H,CV_VG_A,Media_CG_H_00,Media_CG_A_00,CV_CG_H_00,CV_CG_A_00,Media_CG_H_01,Media_CG_A_01,CV_CG_H_01,CV_CG_A_01,Media_CG_H_02,Media_CG_A_02,CV_CG_H_02,CV_CG_A_02
4Q4snGr4,ARGENTINA 1,APERTURA ,2025-02-05,00:00,Atl. Tucuman,Dep. Riestra,2.63,1.95,5.5,1.57,2.25,3.75,1.25,13.0,1.04,1.9,3.2,4.75,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.2,1.62,1.18,1.36,1.91,6.5,9.5,21.0,51.0,5.5,6.5,17.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,101.0,0,1,0,3,[],"[39, 70, 79]",1.24,1.41,0.5263157894736842,0.3125,0.21052631578947367,0.43456639037207095,0.5937499999999999,0.39999999999999997,1.6842105263157896,0.6736842105263158,2.5,1.484375,2.85,1.3000000000000003,1.5499999999999998,54.940573033113026,33.02386755579665,37.77568430595466,0.6,0.40625000000000006,0.32631578947368417,2.6,1.2,0.3440104580768909,0.9128709291752767,1.6,0.8,0.9478594305064437,1.0458250331675947,0.4,0.6,2.2360679774997885,1.4907119849998598,1.2,0.2,0.6972166887783962,5.477225575051661,2.2960000000000003,1.234,0.7670737345694281,4.4641375800383924,5.720000000000001,0.3119999999999997,0.6003405882890773,6.226302873196148,0.36608187134502923,0.45208396714329185,1.1353855638906185,1.0641255801660086,0.5136003844096331,0.5052369954910371,0.6663213233064776,0.899470939295231,3.1760000000000006,3.9659999999999997,1.0725010543443636,1.094379411189717,1.0777983678437106,0.5005862431961015,0.675959793132262,0.838101883739607
hdx9vRCL,COLOMBIA 2,APERTURA ,2025-02-05,00:30,Quindio,Huila,3.4,1.83,3.55,1.57,2.12,0.0,0.0,0.0,0.0,2.62,2.9,2.75,1.12,5.8,1.5,2.25,2.42,1.44,4.2,1.15,0.0,0.0,2.02,1.62,1.42,1.35,1.47,6.3,6.5,12.0,32.0,6.4,5.8,11.0,30.0,11.75,10.5,18.0,50.0,30.0,27.0,45.0,120.0,101.0,1,0,1,0,[19],[],0,0,0.38167938931297707,0.3448275862068966,0.36363636363636365,0.050829140403829964,0.903448275862069,0.9527272727272728,1.1068702290076335,1.0545454545454545,1.049618320610687,0.9482758620689655,0.1299999999999999,0.2799999999999998,0.1499999999999999,3.7189939731580397,7.969610394321354,-4.289153328819016,0.04727272727272724,0.09655172413793096,0.054545454545454515,1.8,0.8,0.9128709291752769,1.6298006013006612,1.8,0.4,0.9938079899999065,1.3693063937629162,1.4,1.0,0.8144110179279558,0.7071067811865475,0.4,-0.6,7.202430145443966,-1.90029237516523,0.4200000000000001,-2.5100000000000002,15.6544314649174,-1.5185503425748688,4.118,-0.8860000000000003,3.0694801994805245,-3.3085343774664895,0.5160624521455441,0.14507645259938837,1.0488088791174532,1.4470826951485523,0.49058408155630373,0.7540616246498599,0.9515426348642924,0.4546872116360486,4.452,1.1,1.0444024166332753,1.4316377952748762,1.1212279472336943,0.3616358055705396,0.8462872037038955,0.8404966062068996
WK8ShH1U,SAUDI ARABIA 2,ROUND 20,2025-02-05,09:45,Al Arabi,Al Jandal,2.22,2.15,4.85,1.38,2.57,2.5,1.47,0.0,0.0,1.65,3.7,4.7,0.0,0.0,1.25,3.55,1.79,1.92,2.9,1.36,0.0,0.0,1.8,1.8,1.17,1.23,2.18,10.5,13.0,27.0,80.0,6.7,7.2,15.5,45.0,7.6,8.25,16.0,50.0,12.5,13.5,27.0,75.0,600.0,0,1,0,2,[],"[10, 90]",0,0,0.6060606060606061,0.27027027027027023,0.2127659574468085,0.4641287106109318,0.4459459459459459,0.351063829787234,2.2424242424242427,0.7872340425531915,2.8484848484848486,1.2702702702702702,3.0500000000000003,2.0500000000000003,1.0,56.745633425287956,45.70731936854426,26.56505117707799,0.648936170212766,0.5540540540540541,0.2127659574468085,1.8,0.8,0.6085806194501845,1.629800601300662,2.0,1.0,0.3535533905932736,1.0,1.2,1.4,0.6972166887783963,0.8144110179279558,0.8,-0.4,1.369306393762915,-2.2360679774997885,1.9280000000000004,-2.2,1.4360683534928451,-1.7356257356397071,2.6,-0.602,1.473383177644458,-2.8120818888536414,0.5452306890978835,0.5434630382690591,0.8321325256437229,1.0070356044285997,0.3353059891276452,0.49262371615312794,0.554511502275921,0.9445318951247139,4.052,4.340000000000001,0.70745846620774,1.0247111380249376,1.2839171002387562,0.6137981629433382,0.2381655201242741,0.824781037643158
zZYxDKnn,SAUDI ARABIA 2,ROUND 20,2025-02-05,09:45,Al Batin,Al Najma,3.75,2.12,2.62,1.43,2.65,2.7,1.41,0.0,0.0,3.25,3.4,2.05,0.0,0.0,1.3,3.2,1.94,1.77,3.25,1.29,0.0,0.0,1.8,1.8,1.72,1.27,1.29,9.25,7.0,9.25,18.5,9.25,6.5,8.75,17.5,16.5,11.75,15.5,30.0,45.0,30.0,40.0,80.0,700.0,0,1,1,2,[90],"[41, 46]",0,0,0.3076923076923077,0.29411764705882354,0.48780487804878053,0.2551491135680818,0.9558823529411765,1.5853658536585367,1.0461538461538462,1.6585365853658538,0.6307692307692307,0.6029411764705882,1.2000000000000002,0.1499999999999999,1.35,-30.96375653207353,4.289153328819016,-34.01934998982646,0.5853658536585368,0.044117647058823505,0.6585365853658538,2.4,0.8,0.5590169943749476,1.629800601300662,1.2,1.0,0.9128709291752768,1.224744871391589,0.8,1.4,1.6298006013006618,0.8144110179279557,0.4,-0.4,4.873397172404481,-5.184110338331929,0.9199999999999996,-0.02800000000000047,5.998183207925635,-253.2534978705552,1.3580000000000003,-1.714,3.726065563749819,-2.7326906445149612,0.4616599718412549,0.4293012953548739,1.1892707402027491,1.6106990560486474,0.508819938387648,0.6349006216618509,0.6354312759974349,0.6184962930904337,3.242,3.2000000000000006,1.1834342656616248,1.5949367517828081,0.8107130724283351,0.7121328951968376,0.6529764664472674,0.8245016595387865
Of5KfwXH,SAUDI ARABIA 2,ROUND 20,2025-02-05,09:45,Al Zulfi,Jeddah,2.72,1.91,4.4,1.62,2.18,0.0,0.0,0.0,0.0,2.02,3.1,3.7,1.1,5.6,1.53,2.35,2.6,1.44,4.3,1.18,0.0,0.0,2.2,1.53,1.24,1.31,1.75,6.3,7.7,17.5,55.0,5.2,6.3,14.5,45.0,7.9,9.5,22.0,70.0,17.5,21.0,50.0,150.0,900.0,0,1,0,2,[],"[16, 80]",0,0,0.49504950495049505,0.3225806451612903,0.27027027027027023,0.2895754646774526,0.6516129032258065,0.5459459459459459,1.5346534653465347,0.8378378378378378,1.8316831683168318,1.1935483870967742,1.6800000000000002,1.08,0.6000000000000001,40.030259271889705,28.369046293278583,16.699244233993625,0.4540540540540541,0.34838709677419355,0.16216216216216217,2.4,0.4,0.5590169943749475,1.3693063937629153,2.0,0.4,0.35355339059327384,2.2360679774997907,1.0,1.6,1.224744871391589,0.7126096406869611,1.0,-1.2,1.414213562373095,-1.086533734200441,3.524,-5.909999999999999,1.4785024962105147,-1.2367350105322046,2.4859999999999998,-2.036,1.2815000641116847,-1.024208717486748,0.9403400229652608,0.24242424242424243,0.4532270252874469,2.236067977499787,0.16346368092691616,0.8204081632653061,0.5401594906661934,0.4894875174626406,7.728,1.9600000000000002,0.4996050815345298,2.2360679774997876,1.148880347593583,0.3193454453835602,0.32331422678559607,1.372374507242805
lAAqHUzG,ROMANIA 1,ROUND 25,2025-02-05,13:00,CFR Cluj,FC Hermannstadt,2.25,2.2,5.5,1.4,2.75,3.0,1.36,8.0,1.08,1.6,3.4,5.75,1.06,10.0,1.3,3.4,2.03,1.83,3.4,1.3,7.0,1.1,1.91,1.8,1.14,1.3,2.3,9.0,15.0,29.0,67.0,6.5,7.0,19.0,41.0,7.0,8.5,17.0,51.0,12.0,13.0,29.0,51.0,351.0,1,0,1,0,[43],[],1.06,0.24,0.625,0.29411764705882354,0.17391304347826086,0.580762446211143,0.4705882352941177,0.2782608695652174,2.125,0.591304347826087,3.59375,1.6911764705882353,4.15,1.7999999999999998,2.35,64.2692943984688,41.98721249581666,49.60009566626328,0.7217391304347827,0.5294117647058824,0.40869565217391307,2.2,2.0,0.4979295977319691,0.7071067811865477,2.4,1.6,0.37267799624996484,0.342326598440729,1.6,1.2,0.5590169943749476,0.9128709291752761,0.8,0.4,1.0458250331675913,3.791437722025775,1.2439999999999998,-0.1,1.057029634858791,-69.23149572268386,4.3999999999999995,1.4479999999999993,1.0144870054847968,2.1727566418872,0.525971685971686,0.7644899073470501,0.4572591331290674,0.11319777934904535,0.27838472364349176,0.16453319679126138,0.4461290456194424,0.09197258886775325,4.154,6.12,0.3876664463001981,0.0941494136659381,1.4904361104981758,0.9335808158388804,0.31219393242665383,0.3484567303829282
f9xHbMKl,ROMANIA 1,ROUND 25,2025-02-05,15:30,Univ. Craiova,U. Cluj,2.88,1.95,4.75,1.57,2.25,3.75,1.25,11.0,1.05,2.05,2.88,4.33,1.11,6.5,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.1,1.67,1.2,1.4,1.73,6.5,9.5,21.0,41.0,6.0,6.0,15.0,41.0,8.5,9.5,17.0,51.0,17.0,19.0,41.0,67.0,1000.0,1,0,1,0,[10],[],2.54,2.01,0.48780487804878053,0.3472222222222222,0.23094688221709006,0.3738544866082858,0.7118055555555555,0.4734411085450346,1.404878048780488,0.6651270207852193,2.1121951219512196,1.5034722222222223,2.2800000000000002,0.8300000000000001,1.4500000000000002,48.74298829568714,22.53845004082809,35.942111871382345,0.5265588914549654,0.2881944444444445,0.33487297921478065,2.0,1.2,0.7071067811865475,0.9128709291752768,2.0,1.0,0.7905694150420945,0.9999999999999999,1.2,1.0,0.3726779962499647,0.9999999999999997,0.8,0.0,2.404423007708918,1.0,0.8620000000000001,-0.020000000000000018,3.696806427847904,-77.79379795330738,6.85,0.05999999999999961,1.7121417829107357,40.68169121361621,0.3263157894736842,0.27982527982527977,0.6664823713353017,0.9805484752494884,0.4617597029361735,0.5854005167958656,0.7339585326327397,0.6619511701262422,2.9279999999999995,2.1099999999999994,0.7177756056042842,0.9853945647723211,1.3115392821275171,0.7279125940905515,0.6434303642028059,0.7033686566229411
zXuxHraE,SWITZERLAND 1,ROUND 22,2025-02-05,16:30,St. Gallen,Lugano,2.88,2.3,3.4,1.33,3.25,2.5,1.5,6.5,1.11,2.35,3.4,2.88,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.4,1.3,1.57,13.0,12.0,17.0,29.0,10.0,6.5,11.0,21.0,13.0,9.5,12.0,26.0,23.0,17.0,23.0,41.0,126.0,0,1,2,1,"[76, 90]",[27],1.14,0.58,0.425531914893617,0.29411764705882354,0.3472222222222222,0.18250565577564842,0.6911764705882354,0.8159722222222223,1.4468085106382977,1.1805555555555556,1.225531914893617,0.8470588235294118,0.5299999999999998,1.0499999999999998,0.52,14.842227057911096,27.699472808054992,-14.574216198038739,0.1840277777777777,0.30882352941176466,0.18055555555555558,1.2,1.8,0.9128709291752765,0.9128709291752771,1.4,2.0,0.814411017927956,0.7905694150420948,1.8,1.8,0.8240220541217407,0.46481112585226386,-0.4,0.2,-3.7914377220257744,11.401754250991377,-1.4399999999999997,-0.2659999999999991,-3.3830921506810903,-28.82340413101119,-0.7600000000000001,1.3200000000000003,-4.316712032332407,4.069423093742668,0.48990969560812303,0.7204863483855082,0.8948483062251306,0.8338186190467228,0.421408529741863,0.358540430762653,0.7966491642528547,1.038618157097119,3.4560000000000004,5.171999999999999,0.8445248214214385,0.8120170869397777,0.9401575276575276,1.1865840949174282,0.5835369505538119,0.7006484284576499
2odIdEDa,SWITZERLAND 1,ROUND 22,2025-02-05,16:30,Young Boys,Yverdon,1.91,2.5,6.5,1.3,3.4,2.38,1.53,6.0,1.13,1.4,5.0,6.5,1.03,17.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.83,1.83,1.11,1.17,2.75,15.0,19.0,34.0,81.0,8.0,9.5,21.0,51.0,7.0,8.5,19.0,41.0,9.5,11.0,23.0,51.0,251.0,2,0,6,1,"[5, 9, 66, 72, 76, 90]",[64],4.55,0.96,0.7142857142857143,0.2,0.15384615384615385,0.6095508103293562,0.27999999999999997,0.21538461538461537,3.5714285714285716,0.7692307692307693,4.642857142857143,1.3,5.1,3.6,1.5,68.58703052512824,60.94539590092286,36.86989764584402,0.7846153846153846,0.72,0.23076923076923078,1.4,1.0,1.083267920578793,1.224744871391589,1.2,0.8,1.0865337342004415,1.6298006013006616,1.8,1.2,1.3263707095903692,0.6972166887783963,-0.6,-0.4,-4.503085362035435,-2.8504385627478457,-5.3279999999999985,-2.59,-2.6251927264135837,-2.7819463891668845,0.07999999999999945,-0.6020000000000001,72.32278989018674,-2.7270466183149313,0.4159592529711375,0.5383474391414361,0.92379349369439,1.6559150153181714,0.5152177512833251,0.6507936507936508,0.8600312665506478,0.7379812327027937,3.178,4.2,0.930808962761269,1.629800601300662,0.8355061783446965,0.4904761904761904,0.7792242455712947,1.3372002242097976
EevgjXzh,ENGLAND 2,ROUND 31,2025-02-05,16:45,Coventry,Leeds,4.75,2.2,2.4,1.36,3.0,2.75,1.4,7.0,1.1,4.2,3.7,1.8,1.05,11.0,1.29,3.75,1.9,1.95,3.2,1.36,6.0,1.13,1.8,1.91,1.95,1.29,1.22,11.0,7.5,8.5,15.0,12.0,7.0,8.5,15.0,21.0,13.0,15.0,26.0,41.0,34.0,41.0,51.0,251.0,0,2,0,2,[],"[17, 26]",0.59,2.70,0.23809523809523808,0.27027027027027023,0.5555555555555556,0.3916169054272696,1.135135135135135,2.3333333333333335,0.8809523809523809,2.055555555555556,0.42857142857142855,0.48648648648648646,2.4000000000000004,0.5,1.9000000000000001,-50.19442890773481,-14.036243467926479,-43.53119928561418,1.3333333333333335,0.13513513513513511,1.0555555555555556,2.6,1.8,0.3440104580768909,0.6085806194501849,1.8,1.4,0.8240220541217402,0.8144110179279554,0.4,0.8,1.3693063937629115,1.629800601300664,1.4,0.6,1.083267920578793,1.4907119849998616,2.2120000000000006,0.9120000000000008,0.8492564629138745,1.4673002912352242,8.85,3.65,1.4778088687766553,1.561583752749494,0.33976608187134494,0.23599733599733605,0.5862853115109252,0.7800033033007703,0.436358729538327,0.5644005470438591,0.7428126341755564,0.5367520460162174,2.902,2.126,0.6522241924146132,0.7953624490437171,1.1883561469842494,1.0024453084728469,0.6700682991548894,0.6110059205525114
