Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,Media_Ptos_A,CV_Ptos_H,CV_Ptos_A,Media_GM_H,Media_GM_A,CV_GM_H,CV_GM_A,Media_GS_H,Media_GS_A,CV_GS_H,CV_GS_A,Media_SG_H,Media_SG_A,CV_SG_H,CV_SG_A,Media_SG_H_01,Media_SG_A_01,CV_SG_H_01,CV_SG_A_01,Media_SG_H_02,Media_SG_A_02,CV_SG_H_02,CV_SG_A_02,Media_VG_H,Media_VG_A,CV_VG_H,CV_VG_A,Media_CG_H_00,Media_CG_A_00,CV_CG_H_00,CV_CG_A_00,Media_CG_H_01,Media_CG_A_01,CV_CG_H_01,CV_CG_A_01,Media_CG_H_02,Media_CG_A_02,CV_CG_H_02,CV_CG_A_02
fB9eBDzG,BRAZIL 2,ROUND 16,2024-10-17,00:30,Sport Recife,Operario,2.2,2.05,7.5,1.53,2.38,3.75,1.25,11.0,1.05,1.53,3.8,7.0,1.11,6.5,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.63,1.44,1.1,1.25,2.38,6.5,12.0,34.0,81.0,4.75,8.0,23.0,67.0,5.5,9.5,29.0,81.0,10.0,17.0,41.0,126.0,0.0,1,1,1,2,[22],"[4, 83]",0,0,0.6535947712418301,0.2631578947368421,0.14285714285714285,0.6686483768343189,0.40263157894736845,0.21857142857142858,2.4836601307189543,0.5428571428571428,4.57516339869281,1.842105263157895,5.47,2.2699999999999996,3.2,69.91603552826952,48.61810122830261,57.9946167919165,0.7814285714285714,0.5973684210526315,0.4571428571428572,2.0,0.8,0.7071067811865472,1.629800601300662,1.6,0.6,0.7126096406869612,0.9128709291752772,1.0,1.0,0.7071067811865477,1.0,0.6,-0.4,1.90029237516523,-2.2360679774997894,0.8939999999999999,-3.15,2.1745524569116426,-1.5809396314906325,4.0,-0.568,1.5885331283923563,-2.930251352950792,0.27496681096681097,0.3251907328340449,0.6770424663599369,0.9310719555925413,0.48407656679526206,0.5285470085470085,0.6660657384179991,0.8178039577502605,2.564000000000001,2.95,0.6782269248599166,0.9743920238511735,1.0984668843034817,0.4063412404588875,0.5451709451218884,0.6831830823044542
t47Y0r7B,BRAZIL 1,ROUND 30,2024-10-17,00:45,Fortaleza,Atletico-MG,2.4,2.05,6.0,1.5,2.5,3.5,1.29,11.0,1.05,1.7,3.5,5.75,1.1,7.0,1.44,2.75,2.35,1.57,4.5,1.2,10.0,1.06,2.2,1.62,1.14,1.29,2.1,7.0,11.0,26.0,51.0,5.5,6.5,19.0,51.0,7.0,9.0,21.0,51.0,13.0,17.0,34.0,81.0,501.0,1,0,1,1,[15],[48],0.71,1.37,0.5882352941176471,0.2857142857142857,0.17391304347826086,0.5559349010329596,0.4857142857142857,0.2956521739130435,2.058823529411765,0.6086956521739131,3.3823529411764706,1.6428571428571428,4.05,1.8,2.25,63.718588978679826,41.98721249581666,48.366460663429805,0.7043478260869565,0.5142857142857143,0.391304347826087,2.0,0.8,0.7071067811865476,1.6298006013006612,1.8,1.0,0.9128709291752767,1.2247448713915894,1.0,1.8,1.2247448713915887,0.6085806194501843,0.8,-0.8,2.4044230077089193,-1.8540496217739166,1.3180000000000005,-3.060000000000001,3.803304802076946,-1.9591292034162986,4.410000000000001,-1.8419999999999999,1.6736015040425918,-1.688493036570172,0.4919652071354858,0.44595875514009675,1.1190961696402884,1.303885792224495,0.4450773570630761,0.5577533577533578,0.8034288053509264,0.7769347411990127,3.944,3.78,1.0097942517746978,1.3015026104850962,1.136624483793814,0.6495421245421246,0.7353318709428053,0.9440396310371113
ns8U1Oi5,BRAZIL 1,ROUND 30,2024-10-17,00:45,Sao Paulo,Vasco,2.5,2.1,5.0,1.44,2.63,3.25,1.33,10.0,1.06,1.8,3.6,4.33,1.07,9.0,1.4,3.0,2.15,1.67,4.0,1.25,8.0,1.08,2.0,1.75,1.2,1.29,1.95,9.0,10.0,21.0,51.0,6.0,7.0,15.0,41.0,7.5,9.0,19.0,41.0,15.0,17.0,34.0,67.0,451.0,1,0,3,0,"[9, 46, 67]",[],1.58,1.04,0.5555555555555556,0.2777777777777778,0.23094688221709006,0.4014896806107242,0.5,0.41570438799076215,2.0,0.8314087759815243,2.4055555555555554,1.2027777777777777,2.5300000000000002,1.8,0.73,51.67314168051262,41.98721249581666,20.052082146098538,0.584295612009238,0.5,0.16859122401847573,2.4,1.2,0.5590169943749478,0.9128709291752773,1.6,1.0,0.5590169943749472,0.7071067811865477,1.0,1.0,1.2247448713915887,0.7071067811865486,0.6,0.0,2.5276251480171847,1.0,1.0640000000000003,-0.13999999999999996,3.8354651709563,-18.98979317680835,2.796,0.07000000000000037,1.7090212375371066,21.509371474417552,0.4436785539325955,0.507475298355468,0.7127199501692086,0.6885385419058322,0.3481464198974047,0.3695837633298934,0.43045774693023425,0.9663722032555663,3.6519999999999997,4.100000000000001,0.6659446922952179,0.6737184057040568,1.02936187216799,0.6223400203042279,0.43495476250483106,0.5742899685621914
rydtguO0,USA 2,-,2024-10-17,01:00,El Paso,Orange County SC,2.77,2.12,3.6,1.42,2.67,2.82,1.38,6.2,1.09,2.15,3.3,3.0,1.07,6.9,1.35,2.95,2.05,1.72,3.45,1.26,6.1,1.09,1.85,1.85,1.38,1.29,1.65,6.9,8.75,15.0,37.0,7.1,6.5,11.0,28.0,10.0,9.0,15.5,40.0,20.0,18.5,32.0,80.0,700.0,0,1,0,2,[],"[16, 69]",0,0,0.46511627906976744,0.30303030303030304,0.3333333333333333,0.21178142210855955,0.6515151515151515,0.7166666666666667,1.5348837209302326,1.0999999999999999,1.3953488372093024,0.9090909090909092,0.8500000000000001,1.15,0.2999999999999998,23.025492008528037,29.89890183861456,-8.530765609948128,0.2833333333333334,0.34848484848484845,0.09999999999999994,1.8,0.6,0.6085806194501847,0.9128709291752765,1.2,0.2,0.697216688778396,2.236067977499795,0.8,2.0,1.0458250331675945,1.2747548783981961,0.4,-1.8,1.3693063937629086,-1.4907119849998598,0.8859999999999999,-13.8,1.522857386491074,-1.6950946686624284,1.7699999999999996,-2.5020000000000002,1.665900427138009,-1.4372393075115713,0.3843787330157488,0.12345679012345682,0.6424478599727839,2.2360679774997894,0.4425201810074757,0.8434782608695652,0.7125952190576867,0.4149404494329504,2.7120000000000006,0.9199999999999999,0.5984900623054914,2.2360679774997965,0.8295282763200753,0.2099352617888087,0.5559568999181757,1.0762862683744765
A3LYJInT,ROMANIA 2,ROUND 10,2024-10-17,14:00,Steaua Bucuresti,Concordia,2.25,1.98,5.8,1.51,2.4,0.0,0.0,0.0,0.0,1.62,3.4,5.4,0.0,0.0,1.43,2.65,2.3,1.55,4.2,1.19,0.0,0.0,2.26,1.57,1.13,1.24,1.9,6.0,8.6,24.0,101.0,4.1,5.4,15.0,60.0,5.0,7.0,19.0,80.0,9.4,13.0,35.0,101.0,101.0,1,1,2,1,"[45, 61]",[39],0,0,0.6172839506172839,0.29411764705882354,0.18518518518518517,0.5444529899342877,0.47647058823529415,0.3,2.0987654320987654,0.6296296296296295,3.3333333333333335,1.5882352941176472,3.7800000000000002,1.7799999999999998,2.0000000000000004,62.1166593795518,41.66908261954995,45.00000000000001,0.7,0.5235294117647058,0.3703703703703704,1.4,1.0,0.63887656499994,1.224744871391589,0.6,1.2,1.4907119849998591,0.6972166887783964,0.4,1.4,2.2360679774997902,1.0832679205787932,0.2,-0.2,2.2360679774997916,-7.416198487095662,0.27999999999999997,-1.5819999999999994,2.23606797749979,-2.672464406663084,1.3999999999999986,0.5799999999999995,2.2360679774998147,8.739185605170379,0.127336860670194,0.48953316187358736,1.6806553269774107,0.7256053968640593,0.7952131637995512,0.38110816386678464,0.40598424061593436,0.9242765946319678,1.044,4.0280000000000005,1.5958210866573919,0.7693692154127052,0.5556843457592563,0.7598238925825133,0.8670772762568421,0.5869970930856575
tbKWYmjB,ENGLAND 3,ROUND 12,2024-10-17,16:00,Shrewsbury,Exeter,3.5,2.1,3.1,1.4,2.75,3.0,1.36,8.0,1.08,2.8,3.6,2.38,1.05,11.0,1.3,3.4,1.98,1.88,3.4,1.3,7.0,1.1,1.8,1.95,1.53,1.29,1.4,10.0,8.0,12.0,23.0,9.0,6.5,9.5,19.0,13.0,10.0,15.0,29.0,29.0,23.0,29.0,51.0,251.0,0,1,0,2,[],"[9, 64]",0,0,0.35714285714285715,0.2777777777777778,0.42016806722689076,0.21177160897269184,0.7777777777777777,1.1764705882352942,1.2857142857142858,1.512605042016807,0.85,0.6611111111111111,0.41999999999999993,0.8000000000000003,1.2200000000000002,-11.859779120947977,21.80140948635182,-31.38319105635904,0.1764705882352941,0.2222222222222223,0.5126050420168068,0.8,1.4,1.629800601300662,1.0832679205787932,1.0,1.0,1.2247448713915876,0.7071067811865477,1.6,0.8,0.947859430506444,1.3693063937629146,-0.6,0.2,-3.83695481107378,6.5192024052026385,-2.219999999999999,1.8700000000000003,-3.4777283669939782,3.7292324848906087,-1.2200000000000002,0.10999999999999979,-3.885302102381098,21.162398433023032,0.48792102206736354,0.5775996289304274,1.2245749180811452,0.8809991481628837,0.5334396597554492,0.38846700951964114,0.8109211215522645,0.9251813336031651,3.4,4.8100000000000005,1.1905408616475937,1.0202584877783294,0.6403406534985484,0.6313375771580105,0.9678605733663067,0.5238288968809031
OA7YV9KP,URUGUAY 1,CLAUSURA ,2024-10-17,16:30,Cerro Largo,Maldonado,2.75,1.91,5.5,1.62,2.2,4.0,1.22,13.0,1.04,1.9,3.25,4.33,1.13,6.0,1.57,2.25,2.7,1.44,5.5,1.14,13.0,1.04,2.5,1.5,1.2,1.33,1.91,6.0,8.0,21.0,51.0,5.0,6.5,17.0,41.0,7.5,10.0,23.0,51.0,15.0,21.0,41.0,101.0,301.0,0,0,1,0,[87],[],0,0,0.5263157894736842,0.3076923076923077,0.23094688221709006,0.38528399786777895,0.5846153846153845,0.4387990762124711,1.7105263157894737,0.7505773672055427,2.278947368421053,1.3323076923076924,2.43,1.35,1.08,50.544073343958246,34.01934998982646,28.369046293278583,0.561200923787529,0.4153846153846154,0.24942263279445728,1.2,0.6,1.3693063937629155,2.23606797749979,1.0,0.4,1.224744871391589,1.369306393762914,1.0,1.4,0.7071067811865474,0.8144110179279554,0.0,-1.0,1.0,-1.2247448713915898,-1.0499999999999996,-7.279999999999999,-5.069807476207064,-1.3259106010322566,0.18600000000000047,-1.5580000000000005,24.488335499944963,-1.39265156470064,0.3221899224806202,0.21066956995100705,1.0856528422827878,1.3905434529056313,0.5873922569595053,0.697902097902098,0.672058214939267,0.5961460718611045,2.3800000000000003,1.750000000000001,1.1321755836222005,1.4427864197660092,0.6884465704762166,0.3182229535170712,0.9403420096567902,0.885647471733949
p8Qb6iac,PERU 1,CLAUSURA ,2024-10-17,18:00,Union Comercio,Comerciantes Unidos,3.1,2.1,3.5,1.4,2.75,3.0,1.36,8.0,1.08,2.4,3.0,3.0,1.06,9.5,1.29,3.5,2.0,1.85,3.4,1.3,6.5,1.11,1.73,2.0,1.36,1.36,1.53,9.5,10.0,15.0,29.0,8.5,6.0,12.0,23.0,12.0,10.0,12.0,34.0,23.0,19.0,29.0,41.0,201.0,1,1,3,2,"[27, 55, 65]","[45, 50]",0,0,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.12371791482634839,0.7999999999999999,0.7999999999999999,1.25,1.0,1.25,1.0,0.6000000000000001,0.6000000000000001,0.0,16.699244233993625,16.699244233993625,0.0,0.20000000000000004,0.20000000000000004,0.0,0.2,0.2,2.236067977499786,2.236067977499787,1.0,0.6,1.2247448713915883,1.490711984999861,2.0,2.2,0.3535533905932731,0.3803000120609436,-1.0,-1.6,-0.7071067811865479,-0.8385254915624213,-2.624,-22.3,-0.7954474760452687,-1.1344050695191243,-2.76,-1.966,-0.6819876247798767,-0.8188237242630064,0.3991737163092662,0.44562456707457854,1.2042765060573408,1.4467931973810497,0.5697025026424966,0.6341818181818182,0.7107978616261056,0.7898870789604213,2.726,4.7,1.2136391299885723,1.3739475992308883,0.6989096403113313,0.35318614718614716,0.8556931256090325,1.30345201957235
rel5Qmrm,URUGUAY 1,CLAUSURA ,2024-10-17,19:00,Fenix,CA Cerro,2.88,1.91,4.5,1.57,2.25,3.75,1.25,13.0,1.04,2.1,3.1,3.75,1.1,7.0,1.5,2.5,2.6,1.48,5.5,1.14,13.0,1.04,2.2,1.62,1.25,1.36,1.7,6.5,8.0,17.0,41.0,5.5,6.0,15.0,41.0,8.5,10.0,21.0,51.0,19.0,21.0,41.0,81.0,1000.0,0,2,1,3,[47],"[4, 20, 87]",0,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,0.2786024053584734,0.6774193548387097,0.56,1.4761904761904763,0.8266666666666667,1.7857142857142856,1.2096774193548387,1.65,1.0,0.6499999999999999,39.52263127117112,26.56505117707799,18.00416160591338,0.44,0.3225806451612903,0.1733333333333333,1.6,1.4,0.8385254915624214,1.0832679205787932,0.8,0.8,0.5590169943749462,0.5590169943749471,0.6,1.0,1.4907119849998598,1.2247448713915885,0.2,-0.2,4.18330013267038,-6.5192024052026465,0.26000000000000006,-0.7099999999999997,8.729794930387962,-6.472057039071946,0.7999999999999997,-0.4700000000000003,2.860015297161893,-5.907656677920088,0.29190924018510234,0.3658223266618048,0.5904801531269303,0.5667032888661055,0.5267839395746372,0.4452221452221452,0.515211571286409,0.7021810856513252,2.01,2.6500000000000004,0.5994457147825509,0.5781718281526258,0.6054087765100078,0.552914102914103,0.36845506610794365,0.4073927373570325
UarCrl7j,PERU 1,CLAUSURA ,2024-10-17,20:15,Cusco,Los Chankas,1.91,2.63,5.5,1.25,3.75,2.1,1.67,5.0,1.17,1.44,4.5,6.25,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.62,2.2,1.13,1.18,2.63,19.0,21.0,41.0,67.0,10.0,9.0,19.0,41.0,8.5,8.5,15.0,41.0,11.0,11.0,21.0,41.0,151.0,0,0,2,1,"[64, 86]",[78],0,0,0.6944444444444444,0.2222222222222222,0.16,0.5991509247370985,0.32,0.2304,3.125,0.72,4.340277777777778,1.3888888888888888,4.8100000000000005,3.06,1.75,67.42243848455092,56.831579178740526,41.18592516570965,0.7696000000000001,0.68,0.28,2.2,0.4,0.4979295977319691,1.3693063937629169,1.8,0.6,0.46481112585226353,0.9128709291752776,1.0,1.6,0.0,0.7126096406869614,0.8,-1.0,1.0458250331675945,-1.0,1.136,-6.9,1.0823814224853017,-1.3167685586666475,6.05,-1.5539999999999998,1.0504324048420586,-1.0136064593445862,0.3268398268398268,0.3615905444013933,0.2939382916711598,0.9179133768329479,0.3781964221753524,0.5308080808080807,0.2697463582986812,0.8081964835701047,2.846,2.8,0.33615694681480135,0.933025034115223,1.2084601960234316,0.40227272727272745,0.3945237719800598,0.7091228397132113
