Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
61s0nsen,MEXICO 1,APERTURA,2025-07-27,00:05,Necaxa,Club America,3.5,2.25,2.88,1.31,3.15,2.55,1.45,6.19,1.09,3.0,3.6,2.25,1.02,12.0,1.23,4.0,1.78,2.05,2.8,1.42,5.41,1.14,1.67,2.1,1.62,1.29,1.36,12.0,9.0,12.0,21.0,11.0,7.0,9.0,17.0,15.0,11.0,13.0,23.0,29.0,23.0,29.0,41.0,151.0,0.3333333333333333,0.2777777777777778,0.4444444444444444,0.22928388573675737,0.8333333333333333,1.3333333333333333,1.2,1.6,0.75,0.625,0.75,0.6000000000000001,1.35,-20.556045219583464,16.699244233993625,-34.01934998982646,0.3333333333333333,0.16666666666666669,0.6000000000000001,1.4,1.083267920578793,1.6,0.712609640686961,1.6,1.2960275845829827,0.0,1.0,-0.5100000000000001,-6.548990254718766,1.4140000000000004,4.740044867261679,0.4939667743298308,0.8386542316809853,0.4188608776844071,0.8108934929044057,3.4800000000000004,0.8014228206480082,1.030739900522947,0.5731201186102663,0.2,2.236067977499768,0.2,2.236067977499793,1.2,0.6972166887783967,-1.0,-0.7071067811865488,-2.6099999999999994,-0.6891760788009781,-2.830000000000001,-0.7286352745601126,0.06896551724137936,2.23606797749975,0.8833333333333334,0.29532973287733005,0.4799999999999989,2.2360679774998182,0.2962861846866408,0.7809241317388216
xC8VKj4k,CZECH 2,ROUND 2,2025-07-27,05:15,Zizkov,Pribram,2.2,2.3,5.0,1.29,3.15,2.58,1.42,6.28,1.07,1.62,3.7,4.33,1.01,11.0,1.22,3.67,1.74,1.93,2.95,1.33,5.81,1.09,1.73,2.0,1.18,1.25,2.1,15.0,15.0,26.0,51.0,8.0,8.0,15.0,34.0,8.5,8.5,15.0,41.0,13.0,13.0,23.0,41.0,201.0,0.6172839506172839,0.27027027027027023,0.23094688221709006,0.4408848448609818,0.43783783783783786,0.3741339491916859,2.2839506172839505,0.8545034642032333,2.6728395061728394,1.1702702702702703,2.71,2.08,0.6299999999999999,53.572400654689844,46.12330271407543,17.4844273232207,0.625866050808314,0.5621621621621622,0.14549653579676672,1.4,1.083267920578793,2.4,1.0458250331675945,1.6,0.34232659844072855,0.8,2.7099354235848496,1.706,2.6081891944991265,2.0100000000000002,3.3474306487542203,0.7675954592363261,1.193590775307699,0.47602806135656567,0.7943450403366858,4.709999999999999,1.1299765178577723,1.4672208750723081,0.8475285300501898,0.6,2.2360679774997894,1.4,0.8144110179279557,3.0,0.7817359599705717,-1.6,-1.2183492931011213,-4.613999999999999,-1.3107695148109062,-3.4299999999999997,-1.2396928620293535,0.7331748021037525,0.8128765913041158,0.3776041995232333,0.9739562853432636,4.9559999999999995,0.8544531878428442,0.8460670570265739,0.6743290071803607
pz5RvCeL,CZECH 2,ROUND 2,2025-07-27,05:15,Slavia Prague B,Artis Brno,3.4,2.2,3.2,1.38,2.72,2.72,1.38,7.7,1.04,2.6,3.2,2.4,1.01,11.0,1.27,3.32,1.87,1.79,3.32,1.27,6.75,1.06,1.73,2.0,1.5,1.33,1.44,10.0,8.5,12.0,23.0,9.0,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,201.0,0.3846153846153846,0.3125,0.4166666666666667,0.15231702435118047,0.8125,1.0833333333333335,1.2307692307692308,1.3333333333333335,0.923076923076923,0.7499999999999999,0.20000000000000018,0.6000000000000001,0.8000000000000003,-5.710593137499648,16.699244233993625,-21.80140948635182,0.08333333333333341,0.18750000000000003,0.3333333333333335,1.0,1.224744871391589,0.6,0.9128709291752801,0.8,0.559016994374948,-0.2,-4.183300132670376,-0.14999999999999963,-16.90824913729656,-0.9599999999999996,-2.492773844730446,0.2181993445151341,1.0832537464657892,0.6812030075187969,0.46545137389197666,1.4600000000000002,1.0779242195099767,0.5384509661249899,0.5218101177948766,1.4,1.083267920578793,1.8,1.2044157438154888,1.6,0.9478594305064437,0.2,6.519202405202648,0.030000000000000072,187.42257660757429,0.5820000000000001,3.8975874725207347,0.9394036894036895,1.1124520631403547,0.4660287081339713,1.0504032911796681,6.68,1.0829987365649791,1.016070479228374,1.0894224361436784
ATSD4UqQ,SOUTH KOREA 2,ROUND 22,2025-07-27,07:00,Seongnam,Jeonnam,3.6,2.1,3.0,1.4,2.73,2.95,1.35,7.77,1.05,3.0,3.3,2.3,1.04,9.83,1.33,3.25,2.06,1.77,3.77,1.26,7.92,1.07,1.8,1.91,1.57,1.33,1.36,9.5,8.0,11.0,21.0,9.0,6.5,9.5,19.0,15.0,11.0,15.0,29.0,29.0,23.0,34.0,51.0,251.0,0.3333333333333333,0.30303030303030304,0.4347826086956522,0.1790093525388448,0.9090909090909092,1.3043478260869565,1.0999999999999999,1.434782608695652,0.7666666666666666,0.6969696969696969,0.7000000000000002,0.2999999999999998,1.0,-19.29004621918874,8.530765609948128,-26.56505117707799,0.3043478260869566,0.09090909090909086,0.4347826086956522,0.4,1.3693063937629109,0.4,1.369306393762915,1.2,0.9128709291752759,-0.8,-1.0458250331675962,-2.66,-0.9816278284105889,-1.6520000000000006,-1.1192443202610827,0.2128201499929248,1.3695969298810207,0.7096096096096096,0.5603676611007643,1.4600000000000002,1.3695205051262804,0.3659159159159158,0.6854969409740809,1.2,0.9128709291752765,1.0,0.9999999999999999,1.2,0.912870929175277,-0.2,-5.477225575051659,-1.350000000000001,-3.488173237917362,-0.12000000000000037,-17.143187827498306,0.3648018648018647,1.0111707523248297,0.5572100313479623,0.7356132659379538,2.5100000000000002,1.0099031864298555,0.6752323598966068,0.7979038298182984
fLpRtRiJ,SOUTH KOREA 2,ROUND 22,2025-07-27,07:00,Suwon Bluewings,Seoul E-Land,2.3,2.4,4.33,1.28,3.35,2.35,1.52,5.86,1.1,1.75,4.0,3.9,1.01,15.0,1.2,4.35,1.69,2.18,2.65,1.46,4.98,1.16,1.62,2.2,1.25,1.22,2.0,15.0,13.0,21.0,41.0,9.0,8.0,13.0,29.0,9.5,8.5,15.0,29.0,15.0,13.0,21.0,41.0,151.0,0.5714285714285714,0.25,0.25641025641025644,0.39517751224183095,0.4375,0.44871794871794873,2.2857142857142856,1.0256410256410258,2.2285714285714286,0.975,2.15,2.25,0.10000000000000009,47.0700306530411,48.366460663429805,-2.86240522611175,0.5512820512820513,0.5625,0.025641025641025664,1.6,0.8385254915624214,1.6,0.8385254915624211,1.0,0.7071067811865475,0.6,2.527625148017183,0.7699999999999996,3.808429102846077,3.129999999999999,1.8371162653078261,0.4106344344696747,0.8756568293583937,0.4928571428571429,0.48107974720143976,2.88,0.8225576455464475,1.0892857142857142,0.6170721324628002,0.4,1.3693063937629157,1.4,0.391230398217976,2.4,0.47507309379130763,-1.0,-1.000000000000001,-2.07,-1.0519871364633557,-3.3899999999999997,-1.0068681053779487,0.4394953194953194,0.2758171821717829,0.3585929335620242,0.33155964743683547,3.0200000000000005,0.29630674024073866,0.9314644884612292,0.3257345814066944
bRS99YDG,SOUTH KOREA 1,ROUND 24,2025-07-27,07:00,Daejeon,Seoul,3.75,2.1,2.88,1.44,2.57,2.95,1.35,8.7,1.04,3.25,3.3,2.25,1.04,9.83,1.33,3.25,2.08,1.75,3.77,1.26,7.92,1.07,1.83,1.83,1.62,1.33,1.33,9.0,7.5,10.0,21.0,9.5,6.0,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,301.0,0.3076923076923077,0.30303030303030304,0.4444444444444444,0.20192449595360068,0.9848484848484849,1.4444444444444444,1.0153846153846153,1.4666666666666666,0.6923076923076923,0.6818181818181819,1.0,0.04999999999999982,1.0499999999999998,-26.56505117707799,1.4320961841646414,-27.699472808054992,0.4444444444444444,0.015151515151515098,0.46666666666666656,1.2,0.9128709291752767,0.8,1.045825033167595,1.0,1.2247448713915892,-0.2,-5.477225575051666,-1.114,-3.2335895518029245,-0.0400000000000003,-74.25883785785976,0.2572508980903764,0.9412211893784391,0.5975877516861123,0.6259438280388808,1.9219999999999995,0.9621058169621,0.5972356370482832,0.7614546345231448,2.2,0.4979295977319691,1.2,0.9128709291752762,0.4,1.3693063937629142,0.8,1.0458250331675945,1.714,1.0801315383245054,2.95,1.0390259067114642,0.3655629773276832,0.8987187309590439,0.5041375834190205,0.6334457273411142,2.694,0.9016438798920782,0.8288834499195173,0.6610259019800929
6iWH7CrT,SOUTH KOREA 1,ROUND 24,2025-07-27,07:00,Daegu,Pohang,4.33,2.25,2.4,1.35,2.95,2.57,1.44,6.81,1.07,3.9,3.7,1.85,1.02,13.0,1.26,3.77,1.81,2.0,3.02,1.37,5.97,1.12,1.73,2.0,1.91,1.29,1.25,12.0,8.0,9.0,15.0,12.0,7.0,8.5,15.0,21.0,13.0,15.0,23.0,41.0,29.0,34.0,41.0,201.0,0.25641025641025644,0.27027027027027023,0.5405405405405405,0.35881443033197824,1.054054054054054,2.108108108108108,0.9487179487179488,2.0,0.4743589743589744,0.5,2.05,0.19999999999999973,1.85,-45.707319368544255,-5.710593137499635,-42.76882539196875,1.108108108108108,0.05405405405405398,1.0,0.6,0.9128709291752779,0.4,1.3693063937629113,1.4,1.0832679205787936,-1.0,-1.7320508075688774,-5.25,-1.7320508075688774,-1.614,-1.717136369262681,0.20685059309609496,1.372970100398537,0.7033322335862751,0.5782335411251116,1.566,1.3820688087898687,0.31540238052940134,0.9096458602568557,1.4,1.083267920578793,1.4,0.814411017927956,1.4,1.0832679205787934,0.0,1.0,-0.96,-6.589972259046322,1.0299999999999998,5.751515637907506,0.42258691563165485,0.7497110074615455,0.4393311858494441,0.7901374358430495,3.2960000000000003,0.7547437571144854,0.9068952339181788,0.6540395012602751
nesJrmN6,SOUTH KOREA 2,ROUND 22,2025-07-27,07:00,Incheon,Ansan Greeners,1.83,2.3,9.5,1.4,2.73,2.95,1.35,7.77,1.05,1.33,4.75,8.5,1.04,9.83,1.37,3.02,2.13,1.72,3.77,1.26,7.92,1.07,2.5,1.5,1.08,1.18,3.25,9.5,15.0,41.0,101.0,5.5,9.5,26.0,67.0,5.5,9.5,29.0,67.0,8.0,13.0,41.0,101.0,61.0,0.7518796992481203,0.21052631578947367,0.11764705882352941,0.7379147051498642,0.28,0.15647058823529414,3.571428571428571,0.5588235294117647,6.390977443609022,1.7894736842105263,7.17,3.42,3.75,74.41408572700749,59.68110379924267,61.92751306414704,0.8435294117647059,0.72,0.4411764705882353,3.0,0.0,2.0,0.353553390593274,0.2,2.236067977499787,1.8,0.46481112585226325,2.8260000000000005,0.48827527796070047,10.05,0.5177476911740382,0.37182957393483707,0.3888977015344199,0.3633624041578902,0.4503352198189166,3.156,0.38525536963189116,1.3198701568439866,0.26436032200867576,1.4,0.6388765649999399,1.0,0.9999999999999999,0.6,1.4907119849998598,0.4,2.236067977499788,2.3,2.236067977499787,0.6199999999999999,2.2360679774998005,0.5796592005144143,1.0590253189203207,0.50115198810851,0.9245925327021789,4.75,1.1090161845108142,0.6417389043608253,0.7176209762453517
vPC8Bfq4,SOUTH KOREA 1,ROUND 24,2025-07-27,07:00,Gangwon,Ulsan HD,3.75,2.1,2.88,1.4,2.73,2.95,1.35,7.77,1.05,3.25,3.4,2.2,1.04,9.83,1.3,3.4,2.06,1.77,3.51,1.29,6.94,1.09,1.8,1.91,1.67,1.3,1.33,9.5,7.5,10.0,21.0,9.5,6.5,9.0,19.0,17.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0,0.3076923076923077,0.29411764705882354,0.45454545454545453,0.22163892933257653,0.9558823529411765,1.477272727272727,1.0461538461538462,1.5454545454545452,0.676923076923077,0.6470588235294118,1.0499999999999998,0.1499999999999999,1.1999999999999997,-27.699472808054992,4.289153328819016,-30.963756532073518,0.4772727272727271,0.044117647058823505,0.5454545454545453,1.0,1.224744871391588,1.4,0.8144110179279557,1.8,0.7243558228002942,-0.4,-5.755432216610667,-2.152,-2.925545529472404,0.030000000000000072,250.05999280172682,0.4639885222381636,0.6470571020266478,0.3972461990260585,0.8772860822453844,3.5780000000000003,0.6462965115580594,0.8821278019404485,0.7104763230702272,0.2,2.2360679774997836,0.8,1.0458250331675956,2.0,0.7071067811865475,-1.2,-0.697216688778397,-6.780000000000001,-0.8230828568664337,-2.286000000000001,-0.8573124750322518,0.41386001386001386,1.3392306338772229,0.571091342519914,0.7214183199354715,3.6300000000000003,1.4861231285175935,0.5301427408570265,0.8123409585249806
drptWFVh,JAPAN 1,ROUND 23,2025-07-27,07:00,Urawa Reds,Avispa Fukuoka,2.88,1.95,4.5,1.52,2.35,3.45,1.27,11.0,1.01,2.1,3.25,3.7,1.07,7.92,1.46,2.65,2.44,1.56,4.98,1.16,11.0,1.03,2.1,1.67,1.29,1.33,1.7,7.0,8.0,17.0,41.0,6.0,6.5,13.0,34.0,8.5,9.5,19.0,41.0,19.0,21.0,41.0,67.0,501.0,0.47619047619047616,0.3076923076923077,0.27027027027027023,0.27352251479528317,0.6461538461538462,0.5675675675675675,1.5476190476190474,0.8783783783783783,1.7619047619047619,1.1384615384615384,1.6,1.15,0.4500000000000002,38.659808254090095,29.89890183861456,12.680383491819825,0.43243243243243246,0.3538461538461538,0.12162162162162167,1.4,1.083267920578793,1.0,1.414213562373094,1.6,0.9478594305064438,-0.6,-3.456073558887955,-3.419999999999999,-2.5997218916693448,-0.559999999999999,-8.37631348213644,0.2660028449502133,1.408712873824768,0.67984496124031,0.6457485330463532,2.06,1.400045782481289,0.7085203318373452,1.0434380380080366,0.8,1.6298006013006618,0.4,1.3693063937629135,1.0,0.9999999999999996,-0.6,-1.900292375165229,-2.0799999999999996,-1.7941776931715956,-1.38,-1.9855931960662632,0.18099547511312222,1.3894443333777604,0.7121351766513058,0.5550986604726973,1.4599999999999997,1.394975300613806,0.35958814184620624,0.7142473724216141
