Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
dlVKVTHt,2025-12-23,01:00,INDIA SANTOSH TROPHY,-,Bihar,Delhi,25.0,8.25,1.03,0.0,0.0,0.0,0.0,1.6,2.2,49.0,25.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,1.45,0.0,0.0,0.0
IHb2r71n,2025-12-23,01:30,INDIA SANTOSH TROPHY,-,Haryana,Uttarakhand,4.5,2.4,2.1,1.25,3.6,2.4,1.5,5.5,1.11,4.2,3.8,1.57,1.01,13.0,1.14,4.8,1.57,2.25,2.55,1.45,4.8,1.14,1.57,2.2,2.1,1.22,1.17
pvyOla9D,2025-12-23,02:30,AUSTRALIA 1 WOM,Round 10,Melbourne City W,Melbourne Victory W,2.25,2.3,4.33,1.29,3.3,2.4,1.5,6.5,1.08,1.7,3.75,4.0,1.01,13.0,1.17,4.5,1.65,2.1,2.75,1.4,5.2,1.13,1.6,2.2,1.2,1.22,2.0
ni79hYj5,2025-12-23,05:15,AUSTRALIA 1,Round 8,Melbourne City,Macarthur FC,2.2,2.38,5.5,1.33,3.25,2.63,1.44,6.5,1.11,1.57,4.1,5.25,1.04,12.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.8,1.95,1.17,1.22,2.25
KrburROG,2025-12-23,05:30,BANGLADESH CUP,-,Brothers U.,PWD Sports Club,2.25,2.38,4.2,1.25,3.6,2.4,1.5,5.5,1.11,1.67,3.5,3.9,1.01,13.0,1.17,4.5,1.6,2.2,2.55,1.45,4.8,1.14,1.57,2.2,1.2,1.22,2.0
ptOfusLr,2025-12-23,05:30,INDONESIA 1,Round 15,Arema FC,Madura United,2.4,2.2,4.2,1.33,3.0,2.75,1.4,6.5,1.08,1.85,3.4,3.8,1.04,11.0,1.25,3.8,1.87,1.9,3.25,1.33,6.5,1.1,1.67,2.1,1.2,1.25,1.83
j36Oo9Pi,2025-12-23,05:30,BANGLADESH CUP,-,Bashundara Kings,Mohammedan,2.4,2.1,4.33,1.36,2.88,2.88,1.36,7.5,1.05,1.75,3.25,3.9,1.03,9.0,1.29,3.3,1.95,1.75,3.6,1.25,7.5,1.06,1.83,1.83,1.2,1.25,1.91
hfmgHU2m,2025-12-23,06:00,INDIA SANTOSH TROPHY,-,Jharkhand,Railways,15.0,5.5,1.14,1.03,9.0,1.33,3.0,2.2,1.6,46.0,19.0,1.01,0.0,0.0,0.0,0.0,1.05,8.0,1.2,4.0,1.45,2.54,1.8,1.87,0.0,0.0,0.0
vXnBtoWb,2025-12-23,06:00,INDIA SANTOSH TROPHY,-,Chandigarh,Uttar Pradesh,2.85,1.95,3.7,1.44,2.3,3.1,1.32,0.0,0.0,2.2,3.05,3.05,0.0,0.0,1.36,2.9,2.02,1.62,3.75,1.22,0.0,0.0,1.83,1.83,1.31,1.31,1.55
URE9W4ke,2025-12-23,06:00,MYANMAR 1,Round 9,Rakhine United,Yarmanya United,2.07,2.72,3.55,0.0,0.0,1.65,1.91,0.0,0.0,1.7,4.25,3.5,0.0,0.0,0.0,0.0,1.26,3.2,1.57,2.12,2.15,1.55,1.33,3.05,1.25,1.19,1.93
Qg8IUrK7,2025-12-23,06:30,MYANMAR 1,Round 9,Yadanarbon,Ispe FC,2.18,2.7,3.3,1.22,3.8,1.67,1.87,0.0,0.0,1.82,4.2,3.15,0.0,0.0,1.14,4.3,1.44,2.47,1.72,1.9,3.35,1.23,1.44,2.57,1.29,1.19,1.8
AD4cbVEb,2025-12-23,07:30,INDIA SANTOSH TROPHY,-,Arunachal,Meghalaya,5.5,2.4,1.91,1.29,3.3,2.55,1.45,6.5,1.08,5.5,4.0,1.4,1.01,11.0,1.2,4.0,1.65,2.1,2.88,1.36,4.9,1.14,1.8,1.87,2.6,1.2,1.1
OW4Tvg25,2025-12-23,09:00,TURKEY CUP,Round 1,Kocaelispor,Erzurumspor,2.25,2.25,5.0,1.36,3.0,2.75,1.4,7.0,1.1,1.67,3.6,4.5,1.05,11.0,1.3,3.4,1.98,1.83,3.4,1.3,7.0,1.1,1.83,1.83,1.17,1.25,2.0
YDdGAgDs,2025-12-23,09:00,KENYA 1,Round 15,Bidco United,Leopards,4.5,1.75,2.95,1.62,1.95,0.0,0.0,0.0,0.0,3.6,2.72,2.15,0.0,0.0,1.6,2.05,2.95,1.33,0.0,0.0,0.0,0.0,1.97,1.74,1.57,1.37,1.24
h6R2wLke,2025-12-23,09:00,INDONESIA 1,Round 15,Persijap Jepara,PSIM Yogyakarta,2.88,2.0,3.6,1.4,2.75,3.0,1.33,8.0,1.06,2.25,3.1,3.1,1.06,8.5,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,1.8,1.91,1.3,1.3,1.57
dMfs5zVp,2025-12-23,09:15,MALAYSIA 1,Round 13,DPMM,Penang,3.25,2.4,2.63,1.22,3.75,2.25,1.57,5.0,1.14,2.8,3.6,2.1,1.01,17.0,1.11,5.5,1.5,2.4,2.25,1.57,4.0,1.2,1.44,2.6,1.62,1.22,1.36
