Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
ILdVfd86,2025-12-22,02:30,INDIA SANTOSH TROPHY,-,Lakshadweep,Goa FT,6.5,2.88,1.67,1.17,4.5,2.0,1.73,4.5,1.17,8.0,5.0,1.25,0.0,0.0,1.08,6.5,1.36,2.88,1.95,1.75,3.3,1.29,1.6,2.2,3.5,1.13,1.06
fBqGnPS8,2025-12-22,05:30,INDONESIA 1,Round 15,PSBS Biak Numfor,Bali United,5.5,2.5,1.83,1.25,3.5,2.38,1.53,5.5,1.13,6.0,4.33,1.4,1.01,15.0,1.17,5.0,1.57,2.38,2.55,1.5,4.5,1.2,1.67,2.1,2.63,1.17,1.08
OIawgzwJ,2025-12-22,06:30,INDIA SANTOSH TROPHY,-,Services,Karnataka,2.1,2.4,4.5,1.22,3.8,2.25,1.57,5.5,1.11,1.57,4.0,4.6,1.01,13.0,1.13,5.2,1.5,2.4,2.4,1.5,4.0,1.2,1.57,2.25,1.17,1.2,2.25
niVO6BC6,2025-12-22,07:00,KENYA 1,Round 15,Mara Sugar,Muranga,3.05,1.78,4.2,1.62,1.95,0.0,0.0,0.0,0.0,2.22,2.8,3.3,1.12,4.8,1.65,2.0,2.85,1.3,5.2,1.08,7.6,1.01,2.47,1.48,1.27,1.36,1.53
QDtTZKFq,2025-12-22,07:00,ITALY U19,Round 17,Torino U20,Lecce U20,2.88,2.3,3.1,1.29,3.25,2.5,1.5,6.0,1.11,2.3,3.3,2.7,1.01,15.0,1.2,4.5,1.65,2.2,2.7,1.44,5.0,1.17,1.53,2.38,1.4,1.25,1.5
MZSchCcD,2025-12-22,08:00,KENYA 1,Round 15,Sofapaka,Kariobangi Sharks,3.5,1.75,3.7,1.65,1.91,0.0,0.0,0.0,0.0,2.67,2.67,2.77,1.12,4.6,1.62,2.02,2.8,1.31,5.0,1.08,7.6,1.01,2.3,1.5,1.36,1.38,1.38
jwkp4CtQ,2025-12-22,08:00,CAMBODIA 1,Round 13,Moi Kompong Dewa,Kirivong Sok Sen Chey,2.4,2.3,3.75,1.29,3.3,2.4,1.5,6.5,1.08,1.9,3.5,3.6,1.01,11.0,1.17,4.5,1.65,2.1,2.75,1.4,5.2,1.13,1.57,2.25,1.25,1.25,1.83
xtfXiyEt,2025-12-22,09:00,GREECE 2,Round 15,Asteras Tripolis B,Karditsa,3.75,1.83,3.25,1.57,2.25,4.0,1.2,11.0,1.01,3.0,2.75,2.45,1.08,6.5,1.57,2.25,2.88,1.36,6.5,1.08,13.0,1.01,2.25,1.57,1.5,1.4,1.33
A108c3jg,2025-12-22,09:00,ITALY U19,Round 17,Cesena U20,Monza U20,2.7,2.3,3.3,1.25,3.5,2.38,1.53,5.5,1.13,2.15,3.4,2.88,1.01,15.0,1.2,4.5,1.6,2.25,2.63,1.47,5.0,1.17,1.53,2.38,1.33,1.25,1.57
hUijNWdm,2025-12-22,09:00,KENYA 1,Round 15,Kakamega Homeboyz,Police FC,3.45,1.75,3.7,1.62,1.95,0.0,0.0,0.0,0.0,2.62,2.72,2.77,1.12,4.8,1.6,2.07,2.8,1.31,5.2,1.08,7.6,1.01,2.4,1.51,1.36,1.37,1.39
bNWkuMzP,2025-12-22,09:00,ITALY U19,Round 17,Atalanta U20,Juventus U20,2.3,2.4,4.0,1.25,3.5,2.25,1.57,5.5,1.13,1.8,3.7,3.7,1.01,15.0,1.17,5.0,1.57,2.38,2.55,1.5,4.5,1.2,1.53,2.38,1.22,1.22,1.83
08nOp3cL,2025-12-22,09:00,INDONESIA 1,Round 15,Semen Padang,Persija Jakarta,5.0,2.4,2.0,1.29,3.25,2.38,1.53,5.5,1.13,5.5,4.1,1.5,1.01,15.0,1.2,4.5,1.62,2.25,2.63,1.47,5.0,1.17,1.67,2.1,2.4,1.17,1.1
dzp5F5wP,2025-12-22,09:30,EGYPT CUP,1/16-finals,Al Masry,Dekernes,1.36,3.3,13.0,1.2,4.0,2.1,1.65,4.8,1.14,1.06,8.5,23.0,1.01,19.0,1.11,5.5,1.4,2.75,2.1,1.65,3.6,1.25,2.88,1.36,1.01,1.05,7.5
hUaBIgiD,2025-12-22,09:45,OMAN 1,Round 5,Al-Shabab,Al Nasr,3.0,1.91,3.75,1.5,2.5,3.5,1.25,9.5,1.04,2.2,2.88,3.25,1.07,7.0,1.45,2.55,2.55,1.45,5.5,1.11,11.0,1.01,2.1,1.65,1.29,1.33,1.57
