Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
zZ28k1WQ,2025-12-25,01:30,INDIA SANTOSH TROPHY,-,Chandigarh,Haryana,2.77,2.05,3.55,1.4,2.4,0.0,0.0,0.0,0.0,2.15,3.3,2.95,0.0,0.0,1.33,3.0,1.95,1.67,0.0,0.0,0.0,0.0,1.83,1.83,1.33,1.28,1.57
2L40iN1E,2025-12-25,06:00,INDIA SANTOSH TROPHY,-,Uttarakhand,Uttar Pradesh,2.3,2.1,4.5,1.36,2.88,2.88,1.36,8.0,1.05,1.7,3.5,4.4,1.03,9.0,1.29,3.3,1.95,1.75,3.6,1.25,7.5,1.06,1.85,1.85,1.17,1.25,2.0
fqHzo44l,2025-12-25,06:00,MYANMAR 1,Round 9,Mahar United,Dagon Port,2.22,2.45,3.7,0.0,0.0,1.98,1.6,0.0,0.0,1.75,4.0,3.5,0.0,0.0,1.11,5.3,1.4,2.6,1.95,1.67,3.2,1.26,1.45,2.57,1.25,1.21,1.87
Gb5qqrZ0,2025-12-25,06:30,MYANMAR 1,Round 9,Hantharwady Utd,Dagon,2.95,2.2,2.95,0.0,0.0,2.35,1.42,0.0,0.0,2.42,3.5,2.42,0.0,0.0,1.19,3.7,1.67,1.95,2.65,1.38,5.1,1.12,1.6,2.2,1.45,1.25,1.45
hxYCsJGb,2025-12-25,07:00,ETHIOPIA 1,Round 11,Ethio Electric,Shire Endaselassie,2.8,1.78,4.75,1.6,1.98,3.52,1.2,0.0,0.0,1.98,2.82,4.0,1.11,5.0,1.57,2.1,2.66,1.36,0.0,0.0,0.0,0.0,2.42,1.5,1.21,1.35,1.67
riQig8wP,2025-12-25,08:00,SYRIA 1,Round 2,Khan Shaykhun,Damascus Al-Ahli,3.2,1.91,3.4,1.5,2.18,3.0,1.24,7.4,1.04,2.5,3.0,2.65,1.07,6.6,1.4,2.47,2.22,1.52,3.9,1.16,6.4,1.04,2.05,1.7,1.39,1.32,1.42
fs6nRcWH,2025-12-25,09:00,ETHIOPIA 1,Round 11,Sheger Ketema,Hawassa,4.33,1.83,2.75,1.55,2.2,0.0,0.0,0.0,0.0,3.75,2.83,2.12,1.07,6.5,1.55,2.2,2.25,1.55,3.9,1.17,0.0,0.0,1.97,1.75,1.54,1.35,1.23
W4YaDsOq,2025-12-25,09:00,IRAN 1,Round 15,Aluminium Arak,Malavan,3.2,1.72,4.4,1.72,1.88,3.95,1.13,12.0,1.01,2.32,2.72,3.45,1.17,3.95,1.75,1.85,3.1,1.27,5.8,1.05,7.8,1.01,2.52,1.4,1.27,1.38,1.57
KfID4FW9,2025-12-25,09:15,LEBANON 1,Round 11,Bourj FC,Al Ahed,5.6,2.07,2.12,1.39,2.45,2.71,1.4,0.0,0.0,5.6,3.5,1.55,0.0,0.0,1.25,3.25,1.83,1.78,3.2,1.3,0.0,0.0,1.95,1.75,2.15,1.24,1.13
GMBM2g1M,2025-12-25,09:15,LEBANON 1,Round 11,Al-Mabarrah,Safa,4.75,2.02,2.35,1.42,2.35,0.0,0.0,0.0,0.0,4.3,3.35,1.72,0.0,0.0,1.33,3.0,1.95,1.67,3.4,1.23,0.0,0.0,1.95,1.75,1.9,1.26,1.18
lpiOwTIl,2025-12-25,09:30,SAUDI ARABIA 2,Round 13,Al Jabalain,Al-Ula,4.0,2.0,2.63,1.4,2.75,3.0,1.33,8.0,1.06,3.3,3.1,2.05,1.06,8.5,1.36,3.1,2.1,1.65,4.1,1.22,8.0,1.07,1.91,1.83,1.67,1.3,1.25
W2LMW12t,2025-12-25,10:00,ETHIOPIA 1,Round 11,Ethiopia Bunna,Dire Dawa,2.6,1.83,4.75,1.55,2.2,0.0,0.0,0.0,0.0,1.95,2.9,4.2,1.09,5.15,1.55,2.2,2.7,1.37,0.0,0.0,0.0,0.0,2.45,1.49,1.2,1.3,1.66
SWR8BLhd,2025-12-25,11:00,IRAN 1,Round 15,Esteghlal Khuzestan,Zob Ahan,3.95,1.75,3.35,1.67,1.95,3.5,1.14,10.0,1.01,3.05,2.8,2.47,1.15,4.2,1.67,1.95,2.87,1.31,5.4,1.07,7.6,1.01,2.35,1.47,1.52,1.37,1.32
AawCBEGi,2025-12-25,11:50,SAUDI ARABIA 1,Round 11,Al Fayha,Al Hazem,2.4,2.1,4.33,1.4,2.75,3.0,1.36,7.0,1.08,1.8,3.4,4.0,1.03,9.5,1.3,3.4,2.0,1.8,3.5,1.29,6.5,1.1,1.83,1.83,1.17,1.25,1.83
6LZ4qunn,2025-12-25,12:00,ETHIOPIA 1,Round 11,St. George,Ethiopia Nigd Bank,2.8,1.78,4.5,1.6,2.1,0.0,0.0,0.0,0.0,2.12,2.9,3.66,1.11,4.7,1.6,2.1,2.92,1.31,6.0,1.09,0.0,0.0,2.4,1.51,1.25,1.32,1.55
EVjH8MVF,2025-12-25,12:00,EGYPT LEAGUE CUP,Round 3,Al Masry,Haras El Hodood,2.88,1.91,4.2,1.5,2.5,3.5,1.25,9.5,1.04,2.1,3.0,3.4,1.08,7.5,1.5,2.55,2.63,1.47,5.5,1.14,11.0,1.04,2.1,1.67,1.25,1.3,1.62
AcpQ600S,2025-12-25,12:00,EGYPT LEAGUE CUP,Round 3,El Gouna,National Bank Egypt,4.0,1.83,3.1,1.57,2.25,3.75,1.22,10.0,1.03,3.1,2.75,2.38,1.1,6.5,1.57,2.38,2.88,1.4,6.0,1.13,13.0,1.02,2.25,1.57,1.5,1.36,1.3
rqpXy7m1,2025-12-25,12:05,SAUDI ARABIA 2,Round 13,Al Jandal,Al Adalah,3.3,2.0,3.2,1.4,2.75,3.0,1.33,8.0,1.06,2.63,3.1,2.63,1.06,9.0,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,1.8,1.91,1.44,1.3,1.44
GdruzoID,2025-12-25,12:25,SAUDI ARABIA 2,Round 13,Al Wehda,Al Jubail,2.1,2.2,5.5,1.33,3.0,2.75,1.4,6.5,1.08,1.55,3.8,5.5,1.04,11.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,2.0,1.73,1.1,1.2,2.3
CGaFo5zp,2025-12-25,14:00,ISRAEL CUP,1/16-finals,Sakhnin,Maccabi Jaffa,1.73,2.5,8.0,1.29,3.3,2.55,1.45,6.5,1.08,1.25,5.0,9.5,1.01,11.0,1.2,4.0,1.65,2.1,2.88,1.36,5.5,1.11,2.1,1.65,1.05,1.14,3.5
tCX8vlTG,2025-12-25,14:00,ISRAEL CUP,1/16-finals,Bnei Yehuda,M. Kiryat Ata-Bialik,2.63,2.1,3.75,1.33,3.0,2.88,1.36,7.5,1.06,2.0,3.25,3.3,1.02,10.0,1.29,3.3,1.91,1.8,3.3,1.29,7.0,1.07,1.73,2.0,1.29,1.3,1.73
