Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
279fPy1U,2025-12-24,10:00,ETHIOPIA 1,Round 11,Bahir Dar Kenema,Fasil Kenema,3.1,1.75,4.3,1.65,1.91,0.0,0.0,0.0,0.0,2.27,2.67,3.4,1.12,4.6,1.65,2.0,2.95,1.3,6.25,1.08,0.0,0.0,2.45,1.49,1.26,1.38,1.52
niHts07L,2025-12-24,10:00,MALAYSIA 1,Round 13,Melaka FC,Imigresen,2.88,2.4,2.8,1.2,4.0,2.1,1.67,4.5,1.17,2.5,3.8,2.3,1.01,15.0,1.13,6.0,1.44,2.7,2.15,1.67,3.8,1.25,1.4,2.75,1.53,1.2,1.44
K4at79fB,2025-12-24,12:00,EGYPT LEAGUE CUP,Round 3,Pharco,Enppi,4.33,1.67,3.5,1.73,2.0,5.0,1.14,12.0,1.02,3.3,2.4,2.63,1.2,4.5,1.9,1.87,4.1,1.22,8.5,1.06,0.0,0.0,2.88,1.36,1.4,1.44,1.25
pngxwXWH,2025-12-24,12:00,TURKEY CUP,Round 1,Keciorengucu,Beyoglu Yeni Carsi,1.44,3.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.44,3.7,7.5,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,1.44,3.7,0.0,0.0,0.0
buK3OAbE,2025-12-24,12:00,AFRICA AFRICA CUP OF NATIONS,Round 1,Algeria,Sudan,1.91,2.25,8.5,1.44,2.63,3.0,1.36,9.0,1.07,1.42,4.2,9.5,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,2.5,1.5,1.07,1.22,2.75
Q1EVUuXh,2025-12-24,12:00,ETHIOPIA 1,Round 11,Hadiya Hossana,Welayta Dicha,4.2,1.83,3.1,1.6,2.06,0.0,0.0,0.0,0.0,3.35,2.63,2.32,1.14,4.8,1.65,2.07,3.1,1.3,6.1,1.08,0.0,0.0,2.3,1.47,1.45,1.35,1.22
vgCEl1vp,2025-12-24,12:00,EGYPT LEAGUE CUP,Round 3,Kahrabaa Ismailia,Al Ittihad,3.25,1.83,4.0,1.57,2.25,4.0,1.2,10.0,1.03,2.3,2.75,3.3,1.1,6.5,1.62,2.25,2.88,1.4,6.5,1.1,15.0,1.01,2.25,1.57,1.25,1.36,1.5
djhc1ZgA,2025-12-24,12:30,ALBANIA 1,Round 18,AF Elbasani,KF Tirana,2.1,2.1,6.0,1.44,2.6,3.3,1.29,9.0,1.03,1.5,3.6,6.5,1.05,8.0,1.36,2.88,2.25,1.57,4.5,1.17,9.0,1.03,2.25,1.57,1.1,1.29,2.4
4Ge5aDOM,2025-12-24,12:30,ALBANIA 1,Round 18,Vllaznia,Flamurtari,2.6,2.1,4.0,1.36,2.88,3.0,1.33,8.0,1.05,1.91,3.25,3.6,1.03,9.0,1.3,3.2,2.1,1.65,3.8,1.22,7.5,1.06,1.85,1.85,1.25,1.3,1.8
AwGPawlA,2025-12-24,13:00,ASIA AFC CHAMPIONS LEAGUE 2,Round 6,Al Ahli Doha (Qat),Andijan (Uzb),2.4,2.1,4.5,1.4,2.75,3.2,1.3,8.0,1.06,1.75,3.3,4.5,1.06,8.5,1.36,3.1,2.2,1.65,4.2,1.22,8.5,1.06,2.1,1.73,1.14,1.25,1.91
