Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
OdWhxlLE,MEXICO 2,CLAUSURA ,2024-01-26,00:05,Celaya,Correcaminos,2.15,2.18,5.4,1.4,2.7,2.75,1.4,5.9,1.1,1.6,3.8,5.3,1.06,7.4,1.29,3.3,1.87,1.87,3.05,1.33,5.2,1.13,1.88,1.82,1.16,1.24,2.32,7.4,13.5,30.0,100.0,6.6,7.3,17.0,55.0,7.3,8.0,17.0,60.0,11.5,13.0,27.0,90.0,700.0,2,0,2,0,"[25, 30]",[],0,0
48yOyByq,ARGENTINA COPA,ROUND 1,2024-01-26,00:15,Atl. Tucuman,Rosario Central,2.88,1.91,4.75,1.62,2.2,4.0,1.22,13.0,1.04,2.05,3.0,4.2,1.13,6.0,1.53,2.38,2.7,1.44,5.5,1.14,13.0,1.04,2.25,1.57,1.22,1.36,1.73,6.0,8.5,19.0,41.0,5.5,6.0,15.0,41.0,8.5,10.0,21.0,51.0,19.0,21.0,41.0,81.0,501.0,0,1,1,1,[78],[23],1.16,1.01
tjAVfjrL,ARGENTINA COPA,ROUND 1,2024-01-26,00:15,Central Cordoba,Newells Old Boys,4.33,1.8,3.5,1.73,2.08,4.5,1.18,17.0,1.03,3.5,2.8,2.45,1.17,5.0,1.67,2.1,3.4,1.33,7.0,1.1,19.0,1.02,2.5,1.5,1.53,1.4,1.29,5.0,5.5,10.0,26.0,6.5,6.0,11.0,29.0,15.0,15.0,23.0,51.0,41.0,41.0,51.0,101.0,451.0,0,0,0,1,[],[90],0.67,0.84
ENznakCq,COLOMBIA 1,APERTURA ,2024-01-26,01:20,Aguilas,Once Caldas,2.38,2.2,5.0,1.4,2.75,3.0,1.36,9.0,1.07,1.73,3.75,5.0,1.06,9.5,1.33,3.25,2.05,1.75,3.5,1.29,7.0,1.1,1.91,1.8,1.17,1.25,2.05,9.5,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0,1,0,1,0,[22],[],0.27,0.20
z5i8fKGQ,AUSTRALIA 1,ROUND 14,2024-01-26,05:45,Melbourne Victory,Sydney FC,2.75,2.3,3.6,1.3,3.4,2.5,1.5,6.0,1.13,2.1,4.0,3.1,1.03,15.0,1.22,4.33,1.65,2.2,2.75,1.44,5.0,1.17,1.57,2.25,1.36,1.22,1.7,15.0,12.0,17.0,34.0,10.0,8.0,11.0,21.0,12.0,9.0,13.0,26.0,19.0,15.0,21.0,41.0,151.0,1,1,1,1,[17],[10],1.61,1.13
Ywrm1tQ7,ENGLAND U21,ROUND 12,2024-01-26,09:00,Crystal Palace U21,Brighton U21,2.45,2.6,3.05,0.0,0.0,1.8,1.87,0.0,0.0,2.07,4.15,2.75,0.0,0.0,0.0,0.0,1.25,3.2,1.62,2.02,2.32,1.47,1.27,3.1,1.37,1.21,1.72,30.0,22.0,24.0,40.0,20.0,10.75,11.75,19.0,19.0,10.25,10.75,17.5,26.0,14.0,15.0,23.0,80.0,0,1,2,1,"[57, 82]",[27],0,0
j1yKrIk9,CROATIA 1,ROUND 20,2024-01-26,13:00,Varazdin,Slaven Belupo,2.88,2.1,3.75,1.4,2.75,3.0,1.36,8.0,1.08,2.1,3.3,3.25,1.05,11.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,1.8,1.91,1.33,1.33,1.7,10.0,10.0,17.0,34.0,8.0,6.5,12.0,26.0,10.0,9.0,15.0,34.0,19.0,17.0,29.0,51.0,251.0,1,1,1,2,[45],"[21, 87]",2.09,1.26
WUcb71Tq,CYPRUS 1,ROUND 21,2024-01-26,14:00,Karmiotissa,AEK Larnaca,5.9,2.35,1.95,1.35,3.1,2.52,1.5,5.4,1.13,6.6,4.4,1.44,1.04,9.0,1.22,3.95,1.7,2.12,2.62,1.45,4.5,1.18,1.85,1.85,2.85,1.2,1.13,9.0,6.9,7.4,10.25,17.0,9.0,8.75,12.0,45.0,22.0,19.5,27.0,150.0,75.0,65.0,90.0,700.0,1,1,1,3,[45],"[33, 55, 90]",0,0
tlHRP9qB,CYPRUS 1,ROUND 21,2024-01-26,14:00,Nea Salamis,APOEL,6.1,2.3,2.02,1.39,3.0,2.72,1.47,6.1,1.12,6.7,4.3,1.5,1.05,9.75,1.27,3.85,1.82,2.05,3.0,1.42,5.3,1.16,1.91,1.83,2.67,1.23,1.13,9.75,6.5,7.3,10.75,15.5,8.5,8.75,13.0,45.0,21.0,19.5,29.0,150.0,75.0,70.0,100.0,800.0,0,2,0,4,[],"[33, 36, 55, 77]",0,0
4SPbjVy9,TURKEY 2,ROUND 20,2024-01-26,14:00,Adanaspor AS,Keciorengucu,3.6,2.05,3.2,1.44,2.63,3.25,1.33,10.0,1.06,2.88,3.1,2.4,1.07,9.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,1.83,1.83,1.53,1.36,1.4,8.5,7.5,11.0,23.0,8.5,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0,1,1,1,2,[10],"[8, 75]",1.14,0.64
