Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
UTZgoXy0,2026-02-10,04:00,WORLD CLUB FRIENDLY,-,Zenit (Rus),CSKA Moscow (Rus),2.2,2.33,3.75,1.31,3.15,2.1,1.6,5.15,1.1,1.8,3.33,3.75,1.01,12.0,1.14,4.5,1.55,2.2,2.29,1.5,3.96,1.17,1.51,2.39,1.22,1.25,1.72
GbeNJ0mo,2026-02-10,07:00,Asia - AFC Champions League,League phase,Vissel Kobe (Jpn),Seoul (Kor),2.1,2.3,5.0,1.3,3.2,2.63,1.44,6.0,1.1,1.62,3.8,4.75,1.03,12.0,1.22,4.1,1.8,2.0,2.88,1.4,6.0,1.13,1.73,2.0,1.13,1.2,2.1
KEUIANAU,2026-02-10,07:00,Asia - AFC Champions League,League phase,Sanfrecce Hiroshima (Jpn),Johor DT (Mys),2.2,2.25,4.5,1.33,3.0,2.75,1.4,6.5,1.08,1.62,3.7,4.75,1.04,11.0,1.25,3.8,1.87,1.9,3.25,1.33,6.5,1.1,1.73,2.0,1.14,1.22,2.1
EqfPm7fU,2026-02-10,07:30,AZERBAIJAN 1,Round 19,Shamakhi,Qarabag,6.5,2.4,1.83,1.29,3.25,2.5,1.5,6.0,1.11,7.0,4.33,1.36,1.02,13.0,1.2,4.33,1.73,2.1,2.88,1.4,5.5,1.14,1.91,1.8,2.8,1.17,1.06
hxbDUxJ0,2026-02-10,09:15,Asia - AFC Champions League,League phase,Shanghai Shenhua (Chn),Machida (Jpn),3.4,2.3,2.63,1.29,3.25,2.5,1.5,6.0,1.11,2.9,3.4,2.15,1.02,13.0,1.2,4.33,1.73,2.1,2.88,1.4,5.5,1.14,1.57,2.25,1.62,1.25,1.33
dW7S01ad,2026-02-10,09:15,Asia - AFC Champions League,League phase,Chengdu Rongcheng (Chn),Buriram (Tha),2.88,2.2,3.3,1.33,3.0,2.75,1.4,6.5,1.08,2.25,3.4,2.8,1.04,11.0,1.25,3.8,1.87,1.9,3.25,1.33,6.5,1.1,1.67,2.1,1.36,1.25,1.57
GpY1qB6C,2026-02-10,10:00,WORLD CLUB FRIENDLY,-,Dynamo Moscow (Rus),Krasnodar (Rus),3.33,2.28,2.42,1.31,3.15,2.2,1.55,4.95,1.11,3.0,3.25,2.08,1.01,12.0,1.14,4.4,1.55,2.2,2.29,1.5,3.9,1.18,1.48,2.47,1.58,1.25,1.3
p428ike5,2026-02-10,12:00,AZERBAIJAN 1,Round 19,Neftci Baku,Gabala,2.2,2.1,5.5,1.4,2.75,3.0,1.33,7.5,1.06,1.6,3.6,5.5,1.06,9.0,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,2.1,1.67,1.11,1.22,2.2
zT9mtQOr,2026-02-10,13:00,Asia - AFC Champions League,League phase,Tractor (Irn),Al-Sadd (Qat),4.0,2.1,2.63,1.36,2.88,2.88,1.36,7.5,1.06,3.4,3.2,2.0,1.05,9.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.07,1.8,1.91,1.67,1.29,1.25
6X52DoNt,2026-02-10,13:00,BULGARIA CUP,Quarter-finals,CSKA Sofia,CSKA 1948 Sofia,2.63,2.0,4.2,1.4,2.75,3.2,1.3,8.0,1.05,1.91,3.1,3.75,1.05,8.0,1.36,2.88,2.2,1.6,4.0,1.2,8.0,1.05,1.91,1.8,1.22,1.3,1.8
zB6NuhJ5,2026-02-10,14:00,ITALY 3,Group C,Sorrento,Giugliano,2.7,2.15,3.5,0.0,0.0,1.26,3.05,1.84,1.72,2.14,3.33,3.0,0.0,0.0,1.26,3.05,1.84,1.72,3.05,1.26,0.0,0.0,1.67,1.95,1.3,1.27,1.53
hl8fxJCD,2026-02-10,14:00,ITALY 3,Group C,Trapani,Benevento,6.0,2.25,2.0,1.36,2.88,2.88,1.36,7.0,1.07,6.5,3.9,1.47,1.05,10.0,1.3,3.4,2.0,1.8,3.5,1.29,7.5,1.08,2.1,1.67,2.5,1.2,1.08
t89VwWmI,2026-02-10,14:00,ITALY 3,Group C,Altamura,Latina,3.1,1.91,3.75,1.5,2.5,3.25,1.29,9.5,1.04,2.3,2.9,3.1,1.07,8.0,1.47,2.63,2.55,1.5,5.0,1.17,11.0,1.04,2.1,1.67,1.3,1.33,1.53
2NcvxAIU,2026-02-10,14:00,ITALY 3,Group C,Cavese,Monopoli,3.3,2.0,3.25,1.44,2.63,3.2,1.3,8.5,1.05,2.63,3.0,2.63,1.06,8.5,1.4,2.88,2.3,1.6,4.33,1.2,8.5,1.06,1.91,1.8,1.4,1.33,1.4
8YXfzJgl,2026-02-10,15:00,ITALY 2,Round 24,Sampdoria,Palermo,3.75,2.0,3.2,1.5,2.5,3.4,1.3,10.0,1.06,3.1,3.0,2.4,1.08,8.0,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.95,1.8,1.53,1.36,1.36
bV4GFfIb,2026-02-10,15:00,ROMANIA CUP,Round 3,CFR Cluj,FC Rapid Bucuresti,2.7,2.1,3.6,1.36,2.88,2.88,1.36,8.0,1.05,2.1,3.1,3.25,1.03,9.0,1.29,3.3,1.95,1.75,3.6,1.25,7.5,1.06,1.75,1.95,1.3,1.3,1.67
EwLHLDak,2026-02-10,15:15,Asia - AFC Champions League,League phase,Al Ittihad (Sau),Al-Gharafa (Qat),1.62,2.8,7.0,1.2,4.0,2.1,1.67,4.5,1.17,1.22,5.5,9.5,1.02,10.0,1.1,6.5,1.4,2.88,2.1,1.73,3.4,1.3,1.67,2.1,1.04,1.1,3.75
Y710nNFN,2026-02-10,16:00,ENGLAND EFL TROPHY,Play Offs,Port Vale,Stockport County,3.0,2.2,3.1,1.36,3.0,2.75,1.4,6.5,1.1,2.45,3.3,2.55,1.05,8.5,1.29,3.5,1.95,1.85,3.4,1.3,6.0,1.11,1.73,2.0,1.44,1.25,1.44
QT2Fwh0t,2026-02-10,16:00,ITALY 2,Round 24,Entella,Cesena,3.4,2.05,3.4,1.44,2.63,3.25,1.33,10.0,1.06,2.75,2.82,2.75,1.08,8.0,1.36,3.0,2.25,1.62,4.0,1.22,9.0,1.07,1.95,1.8,1.4,1.4,1.4
0ln4WzgD,2026-02-10,16:00,ITALY 2,Round 24,Venezia,Modena,2.5,2.2,4.5,1.4,2.75,2.75,1.4,8.0,1.08,1.81,3.6,4.1,1.06,9.5,1.3,3.4,2.0,1.8,3.4,1.3,7.0,1.1,1.8,1.95,1.22,1.29,1.91
lliOuuWQ,2026-02-10,16:00,ITALY 2,Round 24,Reggiana,Mantova,3.1,2.1,3.5,1.4,2.75,3.0,1.36,9.0,1.07,2.4,3.0,3.1,1.07,9.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.8,1.95,1.36,1.36,1.53
SAbhlqoB,2026-02-10,16:00,ENGLAND EFL TROPHY,Play Offs,Huddersfield,Doncaster,2.25,2.38,4.33,1.3,3.4,2.38,1.53,5.0,1.14,1.75,3.8,3.9,1.01,15.0,1.2,4.33,1.65,2.2,2.5,1.5,4.5,1.17,1.62,2.2,1.25,1.25,2.0
0SATJc97,2026-02-10,16:00,ITALY 2,Round 24,Padova,Carrarese,3.25,2.1,3.4,1.44,2.63,3.0,1.36,9.0,1.07,2.65,2.85,2.82,1.07,9.0,1.33,3.25,2.08,1.73,3.5,1.29,8.0,1.08,1.75,2.0,1.4,1.4,1.44
Wr5qj5Gb,2026-02-10,16:00,ENGLAND EFL TROPHY,Play Offs,AFC Wimbledon,Northampton,2.75,2.1,3.75,1.4,2.75,3.0,1.36,7.0,1.08,2.15,3.25,3.25,1.06,8.0,1.3,3.4,2.05,1.75,3.5,1.29,6.5,1.1,1.83,1.83,1.33,1.33,1.67
tOmGs11E,2026-02-10,16:00,ITALY 2,Round 24,Pescara,Catanzaro,3.4,2.25,3.0,1.36,3.0,2.63,1.44,7.0,1.1,2.75,3.5,2.35,1.05,11.0,1.25,3.75,1.83,1.98,3.0,1.36,6.0,1.13,1.67,2.1,1.53,1.29,1.4
dpRRonU1,2026-02-10,16:30,ENGLAND 1,Round 26,Chelsea,Leeds,2.05,2.5,5.5,1.29,3.5,2.38,1.53,5.5,1.14,1.53,4.33,6.0,1.03,15.0,1.2,4.5,1.62,2.3,2.63,1.5,4.5,1.2,1.7,2.05,1.13,1.2,2.38
lEWdfiYb,2026-02-10,16:30,ITALY 3,Group C,Cosenza,Siracusa,2.0,2.33,5.1,0.0,0.0,1.2,3.45,1.68,1.9,1.53,4.0,5.0,0.0,0.0,1.2,3.45,1.68,1.9,2.65,1.34,4.5,1.11,1.73,1.87,1.12,1.2,2.08
