Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
ptruU9xp,2026-03-05,14:00,ITALY 3,Group C,Giugliano,Monopoli,3.3,2.0,3.1,1.4,2.75,3.0,1.33,8.0,1.06,2.63,3.1,2.4,1.06,9.0,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,1.8,1.91,1.44,1.3,1.4
WljSkia3,2026-03-05,14:00,ITALY 3,Group C,Casarano,Siracusa,2.75,2.25,3.3,1.29,3.25,2.5,1.5,6.0,1.11,2.15,3.5,2.8,1.02,13.0,1.2,4.33,1.67,2.15,2.88,1.4,5.5,1.14,1.57,2.25,1.36,1.25,1.57
EutZXIwI,2026-03-05,14:00,ITALY 3,Group C,Picerno,Atalanta U23,3.1,2.2,3.1,1.3,3.2,2.63,1.44,6.0,1.1,2.45,3.4,2.5,1.04,11.0,1.22,4.1,1.8,2.0,3.1,1.36,6.5,1.1,1.62,2.2,1.44,1.25,1.44
UZAoUylm,2026-03-05,14:30,TURKEY CUP,Round 4,Antalyaspor,Samsunspor,4.5,2.25,2.4,1.36,3.0,2.75,1.4,7.0,1.1,4.0,3.3,1.83,1.06,10.0,1.25,3.75,1.9,1.9,3.25,1.33,6.5,1.11,1.8,1.91,1.8,1.3,1.2
jkafSFIa,2026-03-05,14:30,TURKEY CUP,Round 4,Eyupspor,Konyaspor,4.5,2.25,2.4,1.36,3.0,2.63,1.44,7.0,1.1,4.0,3.5,1.8,1.05,11.0,1.25,3.75,1.85,1.95,3.25,1.33,6.0,1.13,1.8,1.91,1.95,1.29,1.22
6VbbqHoT,2026-03-05,14:45,Russia - Russian Cup,Play Offs,Dynamo Moscow,Spartak Moscow,3.05,2.22,3.2,1.35,3.0,2.62,1.45,6.2,1.1,2.28,2.85,2.16,1.04,9.9,1.25,3.7,1.5,1.71,2.95,1.37,5.5,1.13,1.64,2.12,1.52,1.35,1.52
jL17tfU6,2026-03-05,15:00,NORWAY CUP,1/8-finals,Molde,Bodo/Glimt,3.4,2.6,2.5,1.22,4.0,2.0,1.73,4.33,1.2,3.2,3.5,2.1,1.02,19.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,1.4,2.75,1.7,1.29,1.36
r7WxnMlI,2026-03-05,15:00,BAHRAIN 1,Round 16,Al Riffa,Al-Muharraq,3.0,2.0,3.5,1.4,2.75,3.0,1.33,7.5,1.06,2.38,3.1,2.75,1.06,8.5,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,1.8,1.91,1.36,1.3,1.5
zsTUmrK5,2026-03-05,15:00,BAHRAIN 1,Round 16,Al-Shabbab,Al-Ahli Manama,3.75,2.1,2.63,1.36,2.88,2.88,1.36,7.5,1.06,3.3,3.25,2.0,1.05,9.0,1.33,3.25,2.0,1.8,3.5,1.29,7.5,1.08,1.73,2.0,1.67,1.25,1.25
YySB0xFa,2026-03-05,15:00,ROMANIA CUP,Play Offs,Dinamo Bucuresti,Metalul Buzau,1.62,2.5,10.0,1.3,3.2,2.75,1.4,7.0,1.07,1.18,5.0,14.0,1.01,11.0,1.25,3.6,1.85,1.85,3.2,1.3,5.5,1.13,2.75,1.4,1.03,1.13,4.2
