Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
OAadzo6E,ECUADOR 1,FIRST STAGE ,2024-03-21,00:00,Aucas,EL Nacional,2.5,2.25,4.33,1.36,3.0,2.63,1.44,7.0,1.1,1.83,3.6,3.8,1.04,13.0,1.25,3.75,1.83,1.98,3.0,1.36,6.0,1.13,1.73,2.0,1.25,1.29,1.91,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.0,8.5,15.0,34.0,15.0,15.0,23.0,51.0,201.0,2,2,3,4,"[4, 45, 85]","[8, 29, 61, 81]",2.35,0.96
hWCJcG4k,MEXICO 2,CLAUSURA ,2024-03-21,00:05,Dorados de Sinaloa,Leones Negros,5.8,2.18,2.07,1.42,2.67,2.8,1.38,6.1,1.09,5.9,3.95,1.52,1.06,7.3,1.31,3.15,1.93,1.82,3.15,1.31,5.5,1.11,2.02,1.7,2.52,1.22,1.14,7.3,6.1,6.6,10.25,14.0,7.7,8.25,13.0,35.0,19.0,20.0,30.0,120.0,65.0,70.0,110.0,900.0,0,1,1,2,[53],"[37, 60]",0,0
O4GbDhSD,ARGENTINA COPA,ROUND 11,2024-03-21,00:15,Belgrano,Lanus,4.0,1.95,3.2,1.53,2.38,3.75,1.25,11.0,1.05,3.0,3.3,2.38,1.08,8.0,1.44,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.1,1.67,1.53,1.33,1.36,7.0,6.0,10.0,21.0,7.5,6.5,10.0,23.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,501.0,0,0,0,1,[],[77],0.94,1.10
OUZvCUvH,VENEZUELA 1,APERTURA ,2024-03-21,00:30,Dep. Tachira,Monagas,2.62,2.02,4.1,1.44,2.4,0.0,0.0,0.0,0.0,1.98,3.3,3.6,0.0,0.0,1.34,2.77,1.98,1.65,3.25,1.24,0.0,0.0,1.82,1.78,1.25,1.29,1.78,8.75,9.75,19.0,50.0,6.5,6.4,12.5,35.0,8.75,8.75,15.5,45.0,17.5,17.0,32.0,80.0,700.0,0,0,1,0,[65],[],0,0
WfZrBlfN,VENEZUELA 1,APERTURA ,2024-03-21,00:30,Zamora,Puerto Cabello,3.85,1.95,2.85,1.47,2.32,0.0,0.0,0.0,0.0,3.25,3.15,2.15,0.0,0.0,1.4,2.55,2.15,1.55,3.6,1.2,0.0,0.0,1.91,1.7,1.65,1.3,1.33,7.7,6.3,9.25,20.0,8.25,6.2,9.25,20.0,15.5,11.75,17.0,37.0,45.0,32.0,45.0,100.0,900.0,0,0,0,0,[],[],0,0
zVzZgqjO,ARGENTINA 2,ROUND 8,2024-03-21,15:30,Talleres (R.E),San Martin S.J.,3.75,1.83,3.6,1.62,2.2,4.0,1.22,13.0,1.04,2.88,2.88,2.8,1.14,5.5,1.57,2.25,2.88,1.4,6.0,1.13,15.0,1.03,2.2,1.62,1.4,1.4,1.4,5.5,6.5,12.0,29.0,6.5,5.5,12.0,29.0,12.0,12.0,19.0,41.0,29.0,29.0,41.0,81.0,0.0,0,0,0,0,[],[],0,0
S8gtxipi,ARGENTINA COPA,1/32-FINALS,2024-03-21,17:45,Defensa y Justicia,Atl. Rafaela,1.98,2.12,7.3,1.45,2.57,2.9,1.36,6.3,1.09,1.45,3.9,7.5,1.07,6.9,1.33,3.05,1.98,1.78,3.25,1.29,5.7,1.11,2.15,1.62,1.1,1.22,2.75,6.9,15.5,45.0,200.0,5.7,7.8,24.0,110.0,6.1,8.25,22.0,100.0,9.25,12.5,32.0,120.0,0.0,1,2,1,2,[35],"[8, 18]",0,0
z7z2vX5b,ECUADOR 2,ROUND 2,2024-03-21,19:00,Guayaquil City,San Antonio,2.35,2.02,5.1,1.47,2.32,0.0,0.0,0.0,0.0,1.7,3.45,4.65,0.0,0.0,1.4,2.55,2.15,1.55,3.65,1.2,0.0,0.0,2.07,1.6,1.17,1.26,2.1,7.8,10.25,24.0,80.0,5.4,6.9,16.5,55.0,6.9,8.75,21.0,70.0,12.5,16.0,37.0,120.0,0.0,3,0,4,0,"[18, 28, 44, 49]",[],0,0
UTZ5wiL4,ECUADOR 2,ROUND 2,2024-03-21,20:00,Gualaceo,Vinotinto,2.67,2.05,3.9,1.44,2.42,0.0,0.0,0.0,0.0,2.02,3.4,3.35,0.0,0.0,1.34,2.75,2.0,1.65,3.3,1.24,0.0,0.0,1.85,1.75,1.29,1.27,1.75,8.75,9.0,16.5,45.0,6.7,6.5,12.0,32.0,9.0,8.75,16.5,45.0,17.5,17.5,32.0,90.0,800.0,0,0,0,1,[],[72],0,0
tnSlY8qG,ARGENTINA COPA,1/32-FINALS,2024-03-21,20:00,Racing Club,San Martin Burzaco,1.6,2.57,9.75,1.26,3.5,2.25,1.5,5.35,1.12,1.19,5.8,12.5,1.02,19.0,1.19,3.75,1.55,2.15,2.32,1.47,3.7,1.19,2.27,1.5,1.04,1.1,3.2,13.5,30.0,100.0,500.0,6.9,12.5,45.0,200.0,5.5,10.0,35.0,175.0,6.4,11.5,40.0,200.0,0.0,0,0,3,0,"[57, 67, 83]",[],0,0
