Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
OAukwB1L,BOLIVIA 1,CLAUSURA ,2024-11-21,00:00,Universitario de Vinto,Oriente Petrolero,2.88,2.1,4.0,1.44,2.63,3.25,1.33,9.0,1.07,2.15,3.4,3.25,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,1.33,1.3,1.67,9.0,9.0,17.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,15.0,41.0,19.0,19.0,29.0,51.0,301.0,0,0,4,1,"[48, 55, 82, 86]",[67],0,0
bev0F86L,ARGENTINA 1,ROUND 23,2024-11-21,00:30,Boca Juniors,Union de Santa Fe,2.75,1.91,5.0,1.57,2.25,3.75,1.25,13.0,1.04,1.95,3.25,4.33,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,13.0,1.04,2.2,1.62,1.2,1.33,1.8,6.5,9.0,21.0,51.0,5.5,6.5,15.0,41.0,8.0,9.5,21.0,51.0,17.0,19.0,41.0,81.0,501.0,1,0,1,0,[4],[],0,0
l8uhrXe8,BRAZIL 1,ROUND 34,2024-11-21,00:30,Atletico-MG,Botafogo RJ,4.75,1.95,2.88,1.53,2.38,3.75,1.25,11.0,1.05,3.9,3.2,2.05,1.1,7.0,1.5,2.63,2.4,1.53,5.0,1.17,11.0,1.05,2.05,1.7,1.73,1.36,1.25,7.0,6.0,8.5,17.0,9.0,6.0,9.5,19.0,19.0,15.0,19.0,34.0,41.0,41.0,41.0,67.0,501.0,0,0,0,0,[],[],0.09,2.11
E1chGh3C,COLOMBIA 1,CLAUSURA ,2024-11-21,01:30,Atl. Nacional,Santa Fe,2.75,1.95,5.0,1.53,2.38,3.75,1.25,11.0,1.05,1.95,3.0,4.5,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.1,1.67,1.18,1.36,1.8,6.5,10.0,21.0,51.0,5.5,6.0,17.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,1250.0,3,0,5,0,"[26, 32, 45, 69, 89]",[],1.82,0.74
MJlPfN4K,SOUTH KOREA 2,PLAY OFFS ,2024-11-21,10:00,Jeonnam,Busan,3.75,2.2,2.88,1.4,2.75,2.75,1.4,8.0,1.08,3.2,3.2,2.2,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.73,2.0,1.67,1.36,1.36,10.0,8.5,11.0,21.0,11.0,6.0,9.5,17.0,17.0,12.0,13.0,26.0,34.0,26.0,34.0,41.0,201.0,0,0,0,0,[],[],0,0
0CO2UQM9,ROMANIA 2,ROUND 14,2024-11-21,12:00,FC Arges,FC Voluntari,3.1,1.98,3.6,1.47,2.5,2.92,1.35,6.4,1.08,2.47,3.05,2.87,1.07,6.8,1.33,3.05,2.0,1.75,3.25,1.29,5.7,1.11,1.72,2.02,1.42,1.34,1.53,6.8,8.5,14.5,35.0,8.5,5.9,10.25,26.0,13.0,9.25,13.0,32.0,28.0,20.0,27.0,60.0,450.0,0,0,1,0,[55],[],0,0
I33MmJIN,ROMANIA 1,ROUND 4,2024-11-21,15:00,FC Botosani,FCSB,5.5,2.2,2.3,1.44,2.63,3.0,1.36,9.0,1.07,4.75,3.5,1.62,1.06,10.0,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,2.0,1.73,2.1,1.25,1.17,9.5,6.5,7.5,12.0,12.0,7.0,8.5,15.0,26.0,17.0,19.0,29.0,51.0,41.0,41.0,67.0,351.0,0,0,1,0,[90],[],0.64,1.88
O420YFuB,ITALY 3,GROUP B,2024-11-21,16:45,Pescara,AC Milan U23,1.93,2.18,7.5,1.4,2.75,2.75,1.4,5.6,1.11,1.45,3.5,7.9,1.07,6.7,1.3,3.3,1.93,1.81,3.3,1.3,5.6,1.11,2.05,1.7,1.09,1.24,2.7,6.7,17.5,55.0,250.0,5.7,7.2,25.0,120.0,6.3,7.9,19.5,100.0,10.0,12.5,30.0,110.0,900.0,3,0,4,1,"[8, 32, 35, 64]",[53],0,0
0CEysv2s,SWEDEN 2,RELEGATION ,2024-11-21,17:30,Lunds,Ostersund,3.4,2.1,3.1,1.4,2.75,3.0,1.36,8.0,1.08,2.75,3.2,2.4,1.06,10.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.73,2.0,1.53,1.36,1.4,10.0,8.5,12.0,23.0,9.5,6.5,10.0,21.0,15.0,11.0,13.0,29.0,29.0,21.0,29.0,41.0,201.0,0,2,0,2,[],"[19, 25]",0,0
b1wxbpIb,SWEDEN 1,RELEGATION ,2024-11-21,18:00,Landskrona,Varnamo,5.0,1.91,2.75,1.57,2.25,3.75,1.25,13.0,1.04,4.33,3.0,1.9,1.1,7.0,1.5,2.5,2.6,1.48,5.0,1.17,13.0,1.04,2.2,1.62,1.91,1.36,1.2,6.5,5.5,7.5,17.0,9.5,6.0,9.5,19.0,21.0,17.0,21.0,41.0,51.0,41.0,51.0,81.0,501.0,0,1,2,2,"[50, 69]","[13, 86]",0,0
