Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
pStOJndM,MEXICO 1,APERTURA,2025-09-29,00:05,Club Tijuana,Cruz Azul,3.5,2.38,2.63,1.3,3.4,2.38,1.53,6.0,1.13,3.1,3.5,2.05,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.57,2.25,1.7,1.29,1.36,15.0,10.0,12.0,21.0,13.0,7.0,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,41.0,126.0
OneLWRiD,TURKEY 2,ROUND 8,2025-09-29,08:30,Keciorengucu,Pendikspor,2.88,2.2,3.6,1.36,3.0,2.75,1.4,7.0,1.1,2.25,3.5,3.0,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.73,2.0,1.36,1.29,1.62,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,11.0,9.5,15.0,29.0,21.0,19.0,26.0,41.0,201.0
jJWcThoL,TURKEY 2,ROUND 8,2025-09-29,11:00,Vanspor FK,Amedspor,4.33,2.3,2.4,1.33,3.25,2.63,1.44,6.5,1.11,3.75,3.9,1.83,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.73,2.0,1.91,1.25,1.25,12.0,8.0,9.0,15.0,12.0,7.5,8.5,15.0,21.0,13.0,15.0,23.0,41.0,29.0,34.0,51.0,201.0
UDZzvUgK,EGYPT 1,ROUND 9,2025-09-29,11:00,El Ismaily,National Bank Egypt,6.2,2.0,2.22,1.52,2.37,3.15,1.31,7.0,1.07,5.9,3.3,1.65,1.11,5.6,1.5,2.42,2.42,1.5,4.35,1.18,7.5,1.06,2.32,1.53,2.22,1.29,1.14,5.6,4.8,6.3,11.75,11.0,6.7,8.75,16.5,32.0,21.0,23.0,45.0,150.0,90.0,100.0,175.0,101.0
lbG7Y7Hs,EGYPT 1,ROUND 9,2025-09-29,11:00,El Gouna,Ceramica Cleopatra,4.5,1.88,2.8,1.6,2.22,3.5,1.26,7.7,1.05,3.85,2.92,2.1,1.13,5.1,1.57,2.25,2.67,1.42,4.9,1.14,8.25,1.04,2.25,1.57,1.72,1.36,1.27,5.1,5.2,8.25,19.5,7.7,5.9,9.5,22.0,18.0,14.0,21.0,50.0,60.0,50.0,70.0,150.0,101.0
p4fujZff,GREECE 1,ROUND 5,2025-09-29,12:00,Atromitos,AEL Larissa,2.63,2.05,4.5,1.44,2.63,3.25,1.33,10.0,1.06,1.96,3.6,3.6,1.07,8.5,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,2.0,1.75,1.29,1.29,1.8,8.5,9.0,17.0,41.0,6.5,6.5,13.0,34.0,8.5,9.0,19.0,41.0,17.0,19.0,34.0,67.0,401.0
xzoOftR0,ROMANIA 1,ROUND 11,2025-09-29,12:00,Metaloglobus Bucharest,FC Botosani,4.33,2.1,2.75,1.4,2.75,3.0,1.36,8.0,1.08,3.5,3.4,2.0,1.06,9.5,1.33,3.25,2.05,1.75,3.75,1.25,8.0,1.08,1.83,1.83,1.8,1.3,1.29,9.5,7.0,9.5,17.0,10.0,6.5,9.0,17.0,17.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,301.0
xrX6tnI8,UKRAINE 1,ROUND 7,2025-09-29,12:00,Veres-Rivne,Polissya Zhytomyr,4.1,1.98,2.7,1.45,2.37,2.7,1.23,6.6,1.03,3.55,3.05,2.07,1.07,6.2,1.4,2.5,2.18,1.53,3.65,1.19,6.2,1.04,1.91,1.7,1.72,1.32,1.25,7.3,5.8,8.5,17.5,8.25,5.7,8.5,17.5,16.5,11.75,15.5,32.0,45.0,35.0,45.0,80.0,800.0
SYQwnhI0,FINLAND 1,CHAMPIONSHIP GROUP,2025-09-29,13:00,HJK,Ilves,2.75,2.6,3.1,1.22,4.0,2.05,1.75,4.33,1.2,2.25,3.7,2.75,1.01,23.0,1.11,6.5,1.4,2.88,1.91,1.8,3.4,1.3,1.36,3.0,1.4,1.29,1.62,23.0,17.0,19.0,29.0,15.0,8.0,11.0,19.0,17.0,10.0,10.0,21.0,23.0,15.0,19.0,26.0,67.0
69PfoUfM,POLAND 1,ROUND 10,2025-09-29,13:00,Zaglebie,Arka Gdynia,2.63,2.2,4.0,1.36,3.0,2.75,1.4,7.0,1.1,2.0,3.4,3.4,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.75,2.0,1.3,1.3,1.8,11.0,11.0,19.0,41.0,8.0,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,41.0,201.0
pnkJmlPc,ITALY 1,ROUND 5,2025-09-29,13:30,Parma,Torino,3.0,2.05,4.0,1.44,2.63,3.25,1.33,9.0,1.07,2.3,3.1,3.4,1.08,8.0,1.4,3.0,2.2,1.67,4.0,1.25,8.0,1.08,1.91,1.91,1.3,1.36,1.57,8.0,9.5,17.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,34.0,51.0,301.0
0buJd24s,SWEDEN 2,ROUND 25,2025-09-29,14:00,Utsikten,Brage,3.1,2.3,3.1,1.3,3.4,2.5,1.5,6.0,1.13,2.6,3.4,2.6,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.57,2.25,1.5,1.3,1.5,13.0,11.0,15.0,26.0,11.0,6.5,10.0,19.0,15.0,10.0,12.0,23.0,26.0,19.0,23.0,41.0,126.0
r535D6p1,NORWAY 1,ROUND 23,2025-09-29,14:00,Haugesund,Sandefjord,5.0,2.63,2.0,1.22,4.0,2.1,1.67,4.5,1.18,4.75,4.5,1.57,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.53,2.38,2.3,1.18,1.18,21.0,11.0,10.0,13.0,19.0,9.5,8.5,11.0,29.0,15.0,15.0,19.0,51.0,34.0,29.0,41.0,126.0
OjPaQLL5,NORWAY 2,ROUND 24,2025-09-29,14:00,Odd,Aalesund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KII8OajI,NORWAY 2,ROUND 24,2025-09-29,14:00,Raufoss,Ranheim,3.25,2.38,2.88,1.29,3.5,2.38,1.53,5.5,1.14,2.8,3.5,2.3,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.5,2.5,1.57,1.29,1.4,15.0,11.0,13.0,23.0,13.0,7.0,9.5,17.0,17.0,11.0,11.0,21.0,29.0,21.0,23.0,34.0,101.0
lKB0vLlD,SWEDEN 2,ROUND 25,2025-09-29,14:00,Helsingborg,Trelleborg,2.6,2.25,4.0,1.36,3.0,2.63,1.44,7.0,1.1,1.95,3.6,3.6,1.05,11.0,1.25,3.75,1.88,1.93,3.25,1.33,6.5,1.11,1.7,2.05,1.29,1.29,1.8,12.0,11.0,19.0,41.0,8.0,7.0,12.0,29.0,10.0,8.5,15.0,34.0,17.0,15.0,23.0,41.0,201.0
