Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
zqYl3bO6,2026-01-03,03:00,AUSTRALIA 1 WOM,Round 11,WS Wanderers W,Canberra W,4.5,2.2,2.3,1.33,3.0,2.75,1.4,7.5,1.06,4.2,3.4,1.75,1.02,10.0,1.25,3.6,1.85,1.85,3.3,1.29,7.0,1.07,1.8,1.91,1.91,1.25,1.2
6F2HLWKi,2026-01-03,03:00,AUSTRALIA 1,Round 11,Brisbane Roar,Wellington Phoenix,2.25,2.3,5.0,1.36,3.0,2.63,1.44,7.0,1.1,1.66,3.9,4.75,1.05,11.0,1.25,4.0,1.85,2.0,3.2,1.36,5.5,1.14,1.8,1.95,1.18,1.25,2.1
tS7ca2CE,2026-01-03,05:30,INDONESIA 1,Round 16,Persija Jakarta,Persijap Jepara,1.62,2.7,8.5,1.25,3.5,2.25,1.57,5.5,1.13,1.2,5.5,10.5,1.01,15.0,1.17,5.0,1.57,2.38,2.55,1.5,4.5,1.2,2.1,1.67,1.03,1.11,3.75
GpQLetmg,2026-01-03,05:30,BANGLADESH 1,Round 9,Fakirerpool YMC,Bashundara Kings,14.0,3.6,1.3,1.14,5.0,1.83,1.83,3.75,1.22,23.0,9.5,1.06,0.0,0.0,1.07,8.0,1.3,3.4,1.87,1.9,0.0,0.0,2.5,1.5,7.5,1.04,1.01
CCJUgKH5,2026-01-03,05:30,BANGLADESH 1,Round 9,Bangladesh Police,Rahmatgonj MFS,3.57,2.07,2.73,0.0,0.0,1.32,2.75,2.05,1.57,3.0,2.95,2.12,0.0,0.0,1.32,2.75,2.05,1.57,3.55,1.19,0.0,0.0,1.8,1.8,1.52,1.26,1.25
fDWeDwvH,2026-01-03,05:30,ASIA GUANGDONG,Hong Kong Cup,Guangdong XI,Hong Kong,4.5,2.4,2.1,1.22,3.8,2.25,1.57,5.2,1.13,4.2,3.9,1.57,1.01,17.0,1.13,5.2,1.5,2.4,2.25,1.57,4.0,1.2,1.53,2.3,2.2,1.2,1.17
lYKByaK7,2026-01-03,05:30,INDONESIA 1,Round 16,Borneo,PSM Makassar,2.25,2.25,4.5,1.3,3.2,2.63,1.44,6.0,1.1,1.7,3.6,4.2,1.04,11.0,1.25,3.8,1.8,2.0,3.1,1.36,6.0,1.13,1.67,2.1,1.17,1.22,2.0
UTRDc2It,2026-01-03,05:30,BANGLADESH 1,Round 9,Fortis,PWD Sports Club,2.1,2.2,5.0,1.36,2.88,2.88,1.36,7.0,1.07,1.6,3.7,5.0,1.05,10.0,1.3,3.4,2.0,1.8,3.5,1.29,6.5,1.1,2.0,1.73,1.13,1.22,2.2
2moK475l,2026-01-03,05:35,AUSTRALIA 1,Round 11,Melbourne City,Sydney FC,2.75,2.2,3.75,1.36,3.0,2.75,1.4,7.0,1.1,2.1,3.5,3.3,1.05,11.0,1.29,3.75,1.91,1.91,3.2,1.36,6.0,1.13,1.7,2.05,1.33,1.29,1.67
GjJ7GNGD,2026-01-03,05:45,AUSTRALIA 1 WOM,Round 11,Brisbane Roar W,Wellington Phoenix W,3.4,2.3,2.6,1.25,3.6,2.4,1.5,5.5,1.11,2.9,3.6,2.05,1.01,13.0,1.14,4.8,1.6,2.25,2.55,1.45,4.8,1.14,1.5,2.4,1.67,1.25,1.33
vkdLZHae,2026-01-03,06:15,MALAYSIA 1,Round 14,Melaka FC,Sabah,3.8,2.18,2.47,1.23,2.8,2.32,1.44,4.3,1.08,3.45,3.45,1.9,1.02,11.0,1.18,3.65,1.65,2.0,2.48,1.4,4.1,1.14,1.6,2.2,1.72,1.26,1.26
lv0ZBLR6,2026-01-03,07:00,ETHIOPIA 1,Round 13,Adama City,Fasil Kenema,3.8,1.76,3.25,1.66,2.0,0.0,0.0,0.0,0.0,3.0,2.8,2.5,0.0,0.0,1.66,2.0,3.15,1.29,0.0,0.0,0.0,0.0,3.0,2.8,1.42,1.33,1.33
t2tXiKyS,2026-01-03,07:00,ITALY U19,Round 18,Juventus U20,Parma U20,2.88,2.4,2.88,1.22,3.75,2.25,1.57,5.0,1.14,2.5,3.5,2.5,1.01,15.0,1.17,5.0,1.53,2.45,2.45,1.53,4.33,1.2,1.44,2.63,1.44,1.25,1.44
r9yc1xgJ,2026-01-03,07:00,AUSTRALIA 1 WOM,Round 11,Perth W,Newcastle W,2.75,2.1,3.5,1.33,3.0,2.75,1.4,7.0,1.07,2.1,3.25,3.1,1.01,11.0,1.22,3.8,1.85,1.85,3.2,1.3,6.5,1.08,1.65,2.1,1.3,1.3,1.67
na1FQnr3,2026-01-03,08:00,SPAIN 3,Group 1,Lugo,Merida AD,2.6,2.0,4.5,1.5,2.5,3.5,1.29,8.0,1.06,1.91,3.1,3.75,1.08,7.0,1.44,2.63,2.35,1.57,4.33,1.2,8.0,1.06,2.1,1.67,1.2,1.29,1.73
A3mYhnYO,2026-01-03,08:00,CAMBODIA 1,Round 15,Moi Kompong Dewa,NagaWorld,3.5,2.2,2.75,1.3,3.2,2.6,1.44,7.0,1.07,2.88,3.5,2.1,1.01,11.0,1.22,3.8,1.75,1.95,3.0,1.33,5.5,1.11,1.6,2.2,1.62,1.29,1.36
bRjImTQ1,2026-01-03,08:00,PORTUGAL 2,Round 17,Feirense,Leiria,3.4,2.05,3.4,1.44,2.63,3.25,1.33,9.0,1.07,2.63,3.25,2.63,1.07,8.5,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,1.44,1.33,1.44
v9GOSz2T,2026-01-03,08:00,CAMBODIA 1,Round 15,Dangkor,Angkor Tiger,6.0,2.88,1.67,1.14,4.8,1.91,1.8,4.0,1.2,7.5,5.0,1.29,0.0,0.0,1.07,7.0,1.33,3.0,1.85,1.85,3.0,1.33,1.57,2.25,3.3,1.13,1.07
C8wD2fTk,2026-01-03,08:30,ITALY 1,Round 18,Como,Udinese,2.3,2.2,5.5,1.4,2.75,3.0,1.36,8.0,1.08,1.73,3.9,4.75,1.06,9.5,1.33,3.4,2.0,1.8,3.75,1.29,7.0,1.1,1.95,1.8,1.18,1.25,2.05
Qw83gjDT,2026-01-03,08:45,BRAZIL COPINHA,Round 1,America SP U20,CSA U20,3.6,2.3,2.4,1.25,3.6,2.25,1.57,5.5,1.11,3.25,3.4,2.0,1.01,13.0,1.14,4.8,1.57,2.25,2.55,1.45,4.8,1.14,1.5,2.4,1.73,1.29,1.3
Mk1JpqT7,2026-01-03,09:00,ETHIOPIA 1,Round 13,St. George,Welayta Dicha,2.75,1.88,4.7,1.56,2.12,0.0,0.0,0.0,0.0,2.0,2.8,4.0,1.12,5.1,1.61,2.15,2.95,1.34,5.8,1.09,0.0,0.0,2.32,1.47,1.16,1.3,1.62
YkIc8uM8,2026-01-03,09:00,ITALY U19,Round 18,AC Milan U20,AS Roma U20,3.4,2.0,3.2,1.44,2.63,3.2,1.3,8.5,1.05,2.75,3.0,2.5,1.07,8.0,1.4,2.88,2.3,1.6,4.33,1.2,9.0,1.06,1.91,1.8,1.44,1.33,1.36
Muv01oAt,2026-01-03,09:00,WORLD CLUB FRIENDLY,-,Eindhoven FC (Ned),Hasselt (Bel),1.8,2.75,4.75,0.0,0.0,1.83,1.83,0.0,0.0,1.4,4.75,5.33,0.0,0.0,0.0,0.0,1.3,3.2,1.8,1.9,2.71,1.4,1.45,2.54,1.12,1.14,2.28
b3nOtfdm,2026-01-03,09:00,INDONESIA 1,Round 16,Madura United,Persebaya,3.3,2.1,3.1,1.36,2.88,2.88,1.36,7.0,1.07,2.63,3.1,2.45,1.05,9.0,1.3,3.4,2.0,1.8,3.5,1.29,7.5,1.08,1.67,2.1,1.44,1.3,1.4
lGsTSwNi,2026-01-03,09:15,MALAYSIA 1,Round 14,DPMM,PDRM FC,1.83,2.5,5.5,1.22,3.75,2.2,1.62,5.0,1.14,1.36,4.4,6.0,1.01,17.0,1.14,5.5,1.5,2.55,2.3,1.6,4.1,1.22,1.57,2.25,1.08,1.14,2.63
McmNXAFE,2026-01-03,09:30,CYPRUS 2,Round 14,Halkanoras,ASIL Lysi,3.13,2.02,3.18,0.0,0.0,0.0,0.0,0.0,0.0,2.44,3.2,2.52,0.0,0.0,0.0,0.0,2.15,1.62,0.0,0.0,0.0,0.0,2.44,3.2,1.46,1.3,1.48
OjVzCThe,2026-01-03,09:30,CYPRUS 2,Round 14,M.E.A.P. Nisou,Zakakiou,2.07,2.17,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.55,3.6,5.2,0.0,0.0,0.0,0.0,2.0,1.7,0.0,0.0,0.0,0.0,1.55,3.6,1.12,1.24,2.27
GlW4sc3S,2026-01-03,09:30,ENGLAND 1,Round 20,Aston Villa,Nottingham,2.38,2.25,4.5,1.36,3.0,2.63,1.44,7.0,1.1,1.8,3.7,4.5,1.05,11.0,1.25,4.0,1.85,2.0,3.2,1.36,5.5,1.14,1.75,2.0,1.18,1.29,1.95
ELBhaj9k,2026-01-03,09:30,CYPRUS 2,Round 14,Achyronas-Onisilos,Omonia 29th May,8.2,2.44,1.64,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.9,1.23,0.0,0.0,0.0,0.0,1.67,2.07,0.0,0.0,0.0,0.0,10.0,4.9,3.7,1.14,1.01
zRdmLXV8,2026-01-03,09:30,CYPRUS 2,Round 14,Apea Akrotiriou,Ethnikos Latsion,2.52,2.14,3.76,1.39,2.48,0.0,0.0,0.0,0.0,1.96,3.4,3.25,0.0,0.0,1.34,2.95,1.9,1.8,3.8,1.21,0.0,0.0,1.89,1.75,1.29,1.27,1.75
Am51cUw2,2026-01-03,09:30,CYPRUS 2,Round 14,Ayia Napa,Nea Salamis,7.3,2.07,1.93,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.7,1.42,0.0,0.0,0.0,0.0,2.12,1.64,0.0,0.0,0.0,0.0,7.0,3.7,2.65,1.23,1.06
SOySDkOr,2026-01-03,09:30,CYPRUS 2,Round 14,Digenis Akritas,PAEEK,2.96,2.01,3.39,1.49,2.24,0.0,0.0,0.0,0.0,2.3,3.2,2.75,1.08,6.1,1.44,2.55,2.12,1.64,4.6,1.15,0.0,0.0,1.99,1.68,1.39,1.3,1.54
dKRrRqLc,2026-01-03,09:30,SCOTLAND 1,Round 21,Celtic,Rangers,2.5,2.4,3.75,1.29,3.5,2.38,1.53,5.5,1.14,1.96,3.75,3.4,1.02,17.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.57,2.25,1.3,1.25,1.8
dtodJB0L,2026-01-03,09:30,CYPRUS 2,Round 14,Iraklis Yerolakkou,Kitiou,4.22,2.11,2.44,0.0,0.0,2.6,1.36,0.0,0.0,3.0,3.2,2.09,0.0,0.0,1.27,3.35,2.21,1.59,3.25,1.28,6.0,1.09,1.77,1.87,1.65,1.3,1.33
CQtsKNtP,2026-01-03,09:55,UAE 1,Round 11,Al Bataeh,Dibba Al Fujairah,2.7,2.2,3.5,1.33,3.0,2.75,1.4,6.0,1.1,2.05,3.3,3.1,1.04,11.0,1.25,3.8,1.87,1.9,3.1,1.36,6.0,1.13,1.62,2.2,1.3,1.25,1.67
40wZLqCC,2026-01-03,09:55,UAE 1,Round 11,Ajman,Ittihad Kalba,2.75,2.1,3.6,1.36,2.88,2.88,1.36,7.0,1.07,2.1,3.25,3.1,1.04,11.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,1.67,2.1,1.3,1.29,1.62
lEh2Z4wp,2026-01-03,10:00,MALTA FA TROPHY,1/16-finals,Birkirkara,Victoria Wanderers,1.4,3.1,13.0,1.2,4.0,2.1,1.65,4.8,1.14,1.08,8.0,16.0,1.01,19.0,1.11,5.5,1.44,2.6,2.2,1.6,3.1,1.28,2.55,1.45,1.02,1.06,6.0
4SeHNdaM,2026-01-03,10:00,ISRAEL 1,Round 17,Hapoel Jerusalem,Maccabi Tel Aviv,6.0,2.5,1.83,1.25,3.5,2.25,1.57,5.5,1.13,6.5,4.6,1.33,1.01,15.0,1.17,5.0,1.57,2.38,2.55,1.5,4.5,1.2,1.73,2.0,2.88,1.14,1.06
rLRhBpxp,2026-01-03,10:00,RWANDA 1,-,Police,Gorilla,2.3,1.91,6.5,1.57,2.25,4.0,1.2,11.0,1.01,1.57,3.25,6.0,1.07,7.0,1.5,2.4,2.75,1.4,5.5,1.11,11.0,1.01,2.6,1.44,1.1,1.3,2.25
vmL19O6d,2026-01-03,10:00,RWANDA 1,-,Etincelles,AS Kigali,3.6,1.83,3.5,1.57,2.25,4.5,1.17,11.0,1.01,2.7,2.75,2.63,1.08,6.5,1.6,2.2,2.88,1.36,6.5,1.08,13.0,1.01,2.25,1.57,1.4,1.4,1.4
r951Jzed,2026-01-03,10:00,SPAIN 1,Round 18,Celta Vigo,Valencia,2.63,2.1,4.33,1.4,2.75,3.0,1.36,8.0,1.08,1.95,3.4,4.0,1.07,9.0,1.33,3.4,2.1,1.73,3.75,1.29,7.0,1.1,1.91,1.91,1.22,1.3,1.8
4vIQyUHU,2026-01-03,10:00,MALTA FA TROPHY,1/16-finals,Hamrun,Victoria Hotspurs,1.3,3.55,12.5,1.09,5.4,1.62,1.95,2.6,1.33,1.07,8.75,17.5,1.01,30.0,1.04,6.4,1.17,3.75,1.49,2.37,2.05,1.62,2.0,1.73,1.02,1.04,4.35
nFaTXeU7,2026-01-03,10:00,MALAYSIA 1,Round 14,Terengganu,Penang,1.91,2.5,5.0,1.22,3.75,2.25,1.57,5.0,1.14,1.47,4.2,5.0,1.01,17.0,1.14,5.5,1.5,2.55,2.38,1.57,4.2,1.22,1.57,2.25,1.11,1.17,2.4
xChEryw1,2026-01-03,10:00,ALGERIA 1,Round 12,Ben Aknoun,CR Belouizdad,4.33,1.83,3.0,1.57,2.25,4.0,1.2,10.0,1.03,3.5,2.75,2.2,1.1,6.5,1.6,2.3,3.0,1.33,6.5,1.1,15.0,1.01,2.38,1.53,1.57,1.36,1.25
