Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
MkHH3TEk,MEXICO 2,CLAUSURA ,2024-01-12,00:05,Zacatecas Mineros,Correcaminos,2.37,2.12,4.55,1.4,2.72,2.67,1.42,5.8,1.1,1.8,3.5,4.15,1.06,7.5,1.28,3.35,1.83,1.9,2.92,1.35,5.0,1.13,1.72,2.0,1.24,1.27,1.98,7.5,11.75,23.0,65.0,7.5,6.8,13.5,40.0,9.0,8.0,14.5,45.0,15.0,13.5,24.0,65.0,500.0,1,0,3,0,"[5, 55, 79]",[],0,0
GC8r7r72,AUSTRALIA 1,ROUND 27,2024-01-12,03:30,Macarthur FC,Western United,2.88,2.5,2.88,1.22,4.0,2.1,1.67,4.5,1.18,2.45,4.0,2.45,1.02,19.0,1.14,5.5,1.44,2.7,2.1,1.73,3.5,1.3,1.4,2.75,1.53,1.22,1.53,23.0,15.0,17.0,26.0,15.0,8.5,10.0,17.0,17.0,10.0,11.0,19.0,26.0,17.0,19.0,29.0,81.0,1,1,3,3,"[32, 51, 90]","[3, 74, 85]",1.92,2.93
f37n62M8,AUSTRALIA 1,ROUND 27,2024-01-12,06:15,Melbourne City,WS Wanderers,2.75,2.4,3.4,1.29,3.5,2.25,1.57,5.5,1.14,2.15,4.2,2.88,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.57,4.33,1.22,1.5,2.5,1.4,1.22,1.67,19.0,13.0,17.0,34.0,11.0,8.0,11.0,21.0,13.0,9.0,12.0,23.0,21.0,15.0,21.0,34.0,101.0,0,1,0,1,[],[27],0.74,1.91
MJASGE0t,CYPRUS 1,ROUND 19,2024-01-12,14:00,Achnas,APOEL,7.9,2.4,1.82,1.37,3.15,2.55,1.52,5.6,1.14,9.5,4.85,1.36,1.05,10.5,1.23,4.2,1.7,2.22,2.7,1.5,4.65,1.2,1.98,1.78,3.3,1.19,1.08,10.5,6.6,6.9,9.25,18.5,9.75,8.75,11.5,70.0,29.0,23.0,29.0,300.0,120.0,100.0,110.0,1000.0,0,0,2,1,"[54, 60]",[64],0,0
Io4yFhVh,CYPRUS 1,ROUND 19,2024-01-12,14:00,Nea Salamis,AEK Larnaca,5.3,2.25,2.2,1.39,3.0,2.67,1.47,6.0,1.12,5.5,3.95,1.62,1.05,10.0,1.26,3.9,1.8,2.07,2.95,1.42,5.2,1.16,1.78,1.98,2.35,1.26,1.17,10.0,6.9,8.25,13.0,15.0,7.9,8.5,13.5,37.0,17.5,16.5,26.0,110.0,55.0,50.0,70.0,600.0,0,0,0,1,[],[88],0,0
SpVLHAVq,TURKEY 2,ROUND 18,2024-01-12,14:00,Sakaryaspor,Goztepe,3.4,2.2,3.0,1.36,3.0,2.75,1.4,8.0,1.08,2.75,3.4,2.38,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.67,2.1,1.53,1.3,1.4,11.0,9.0,12.0,23.0,10.0,6.5,9.5,19.0,15.0,11.0,13.0,26.0,29.0,21.0,29.0,41.0,201.0,0,1,1,2,[90],"[8, 78]",0.30,1.87
beE6AVuG,PORTUGAL 2,ROUND 17,2024-01-12,15:00,Leixoes,Oliveirense,2.75,2.05,4.33,1.44,2.63,3.25,1.33,10.0,1.06,2.05,3.3,3.6,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,1.29,1.33,1.73,8.5,9.5,17.0,41.0,6.5,6.5,13.0,34.0,9.0,9.0,17.0,41.0,19.0,19.0,29.0,51.0,351.0,0,0,0,2,[],"[53, 90]",0,0
dAKklpnF,FRANCE 3,ROUND 17,2024-01-12,15:30,Avranches,Cholet,2.9,2.02,3.7,1.41,2.7,2.8,1.39,6.1,1.09,2.27,3.2,3.05,1.07,7.0,1.33,3.1,2.0,1.75,3.5,1.28,5.4,1.12,1.7,2.02,1.38,1.32,1.62,7.0,9.25,16.0,40.0,8.0,6.1,10.75,27.0,11.5,8.75,13.0,35.0,23.0,18.0,26.0,60.0,450.0,1,1,2,1,"[10, 67]",[41],0,0
O6PeS2Pe,FRANCE 3,ROUND 17,2024-01-12,15:30,Chateauroux,Nancy,3.0,1.85,4.2,1.56,2.31,3.45,1.27,7.6,1.05,2.3,2.9,3.35,1.09,6.5,1.5,2.5,2.5,1.5,4.75,1.16,7.4,1.06,2.02,1.72,1.33,1.36,1.62,5.5,7.5,16.0,50.0,6.2,5.7,12.5,37.0,10.0,9.25,17.0,55.0,23.0,21.0,37.0,100.0,1000.0,0,1,0,1,[],[44],0,0
6VUjTrAk,FRANCE 3,ROUND 17,2024-01-12,15:30,GOAL FC,Versailles,3.45,1.95,3.25,1.46,2.55,3.2,1.3,7.1,1.07,2.7,3.1,2.57,1.09,6.2,1.4,2.8,2.2,1.62,4.2,1.2,6.7,1.07,1.91,1.8,1.5,1.33,1.47,6.2,7.2,12.0,28.0,7.3,6.0,10.0,23.0,12.5,10.25,15.5,37.0,30.0,26.0,40.0,90.0,800.0,1,0,2,0,"[34, 64]",[],0,0
2cOaRMv2,FRANCE 3,ROUND 17,2024-01-12,15:30,Le Mans,Niort,2.85,1.95,4.0,1.48,2.5,3.15,1.32,6.9,1.07,2.15,3.1,3.4,1.09,6.3,1.4,2.8,2.2,1.62,4.2,1.2,6.5,1.08,1.9,1.82,1.32,1.32,1.7,6.3,9.0,17.5,50.0,6.4,6.0,11.75,32.0,9.5,9.0,15.5,45.0,20.0,19.0,35.0,80.0,800.0,0,1,0,2,[],"[16, 60]",0,0
dduHZpXL,FRANCE 3,ROUND 17,2024-01-12,15:30,Martigues,Dijon,3.0,1.91,3.95,1.51,2.4,3.25,1.29,7.2,1.06,2.25,3.0,3.35,1.1,5.9,1.45,2.65,2.35,1.55,4.5,1.18,7.0,1.07,1.93,1.78,1.33,1.34,1.65,5.9,8.25,16.5,45.0,6.2,5.8,11.75,32.0,9.75,9.25,16.0,45.0,22.0,21.0,37.0,90.0,900.0,1,0,3,1,"[25, 46, 62]",[80],0,0
EoVpkQW8,FRANCE 3,ROUND 17,2024-01-12,15:30,Red Star,Orleans,2.35,2.1,4.8,1.39,2.8,2.75,1.4,6.2,1.09,1.75,3.5,4.4,1.06,7.1,1.3,3.3,1.9,1.83,3.3,1.3,5.5,1.11,1.85,1.87,1.22,1.27,2.05,7.1,11.5,24.0,75.0,6.7,6.8,14.5,45.0,8.0,8.25,16.0,50.0,14.0,14.0,27.0,80.0,600.0,1,0,2,1,"[6, 54]",[56],0,0
AaqLY4nS,FRANCE 3,ROUND 17,2024-01-12,15:30,Rouen,Marignane GCB,2.15,2.1,5.9,1.41,2.7,2.95,1.35,6.5,1.08,1.55,3.75,5.9,1.07,6.8,1.33,3.1,2.0,1.75,3.6,1.25,6.0,1.09,2.1,1.65,1.14,1.24,2.42,6.8,13.5,35.0,120.0,5.7,7.3,19.0,70.0,6.4,8.25,20.0,75.0,10.5,14.0,32.0,110.0,1000.0,0,0,1,0,[55],[],0,0
SvWnUOfq,FRANCE 3,ROUND 17,2024-01-12,15:30,Villefranche,Epinal,2.2,2.18,5.1,1.4,2.72,2.75,1.4,6.0,1.1,1.62,3.8,5.0,1.06,7.4,1.28,3.5,1.85,1.9,3.2,1.33,5.3,1.12,1.88,1.82,1.18,1.24,2.27,7.4,13.0,28.0,90.0,6.6,7.3,16.0,50.0,7.4,8.25,17.0,55.0,11.75,13.0,28.0,80.0,700.0,1,0,1,0,[35],[],0,0
2qRxwGsH,BELGIUM 2,ROUND 17,2024-01-12,16:00,Beerschot VA,Anderlecht U23,1.83,2.63,6.5,1.25,3.75,2.2,1.62,5.0,1.17,1.36,4.75,6.0,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.73,2.0,1.11,1.17,2.75,19.0,21.0,41.0,67.0,9.0,10.0,19.0,41.0,8.0,8.5,17.0,41.0,10.0,11.0,21.0,51.0,201.0,1,0,1,1,[7],[57],2.15,1.42
fs6HVXZj,BELGIUM 2,ROUND 17,2024-01-12,16:00,RFC Liege,Patro Eisden,3.2,2.1,3.4,1.44,2.63,3.0,1.36,9.0,1.07,2.5,3.1,2.75,1.06,10.0,1.3,3.4,2.05,1.75,3.5,1.29,7.0,1.1,1.8,1.91,1.4,1.36,1.5,9.0,9.0,13.0,29.0,8.5,6.0,11.0,23.0,12.0,10.0,13.0,34.0,23.0,21.0,29.0,51.0,251.0,0,0,1,0,[57],[],1.06,0.78
lpunGGW4,NETHERLANDS 1,ROUND 17,2024-01-12,16:00,Waalwijk,Heracles,2.6,2.25,4.0,1.36,3.0,2.63,1.44,7.0,1.1,1.95,3.4,3.8,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.67,2.1,1.25,1.3,1.8,11.0,13.0,21.0,41.0,8.5,6.5,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0,0,1,1,2,[53],"[35, 59]",1.81,1.15
x6yCzqt8,NETHERLANDS 2,ROUND 21,2024-01-12,16:00,Cambuur,Maastricht,1.83,2.75,5.5,1.2,4.33,2.03,1.78,4.0,1.22,1.4,5.0,7.0,1.01,23.0,1.1,7.0,1.36,3.1,1.83,1.83,3.25,1.33,1.53,2.38,1.1,1.17,2.75,23.0,26.0,41.0,67.0,12.0,10.0,21.0,41.0,9.5,9.0,15.0,41.0,11.0,10.0,19.0,41.0,101.0,3,0,5,2,"[2, 5, 11, 64, 73]","[78, 80]",2.55,0.84
2XpVTC7e,NETHERLANDS 2,ROUND 21,2024-01-12,16:00,Den Haag,De Graafschap,2.5,2.38,4.0,1.3,3.4,2.38,1.53,6.0,1.13,1.91,3.8,3.6,1.03,17.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.57,2.25,1.29,1.25,1.83,17.0,13.0,21.0,41.0,10.0,8.0,12.0,26.0,11.0,8.5,13.0,29.0,17.0,13.0,21.0,41.0,126.0,0,2,5,3,"[48, 59, 67, 77, 79]","[16, 27, 71]",2.39,1.55
dfpZSWM1,NETHERLANDS 2,ROUND 21,2024-01-12,16:00,Dordrecht,Helmond,2.5,2.6,3.4,1.22,4.0,2.05,1.75,4.33,1.2,2.05,3.8,3.25,1.02,21.0,1.1,7.0,1.36,3.1,1.83,1.83,3.25,1.33,1.4,2.75,1.33,1.25,1.73,23.0,19.0,21.0,34.0,15.0,8.5,12.0,21.0,15.0,9.5,11.0,21.0,21.0,13.0,17.0,29.0,81.0,1,0,2,0,"[4, 57]",[],0.83,1.06
GdzGZ2eE,NETHERLANDS 2,ROUND 21,2024-01-12,16:00,Oss,Willem II,7.0,2.2,2.05,1.4,2.75,3.0,1.36,8.0,1.08,8.0,4.0,1.45,1.05,11.0,1.3,3.4,2.0,1.85,3.4,1.3,7.0,1.1,2.2,1.62,2.63,1.22,1.08,9.0,6.0,6.5,10.0,15.0,7.5,8.5,13.0,34.0,23.0,21.0,34.0,81.0,51.0,51.0,67.0,351.0,0,2,0,5,[],"[14, 43, 61, 66, 71]",0,0
OMwOXtQQ,NETHERLANDS 2,ROUND 21,2024-01-12,16:00,Telstar,Jong AZ,2.75,2.25,3.6,1.33,3.25,2.63,1.44,6.5,1.11,2.15,3.6,3.1,1.04,13.0,1.22,4.0,1.8,2.0,2.75,1.4,5.5,1.14,1.62,2.2,1.36,1.29,1.67,12.0,11.0,17.0,34.0,9.0,7.0,11.0,23.0,12.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0,1,1,1,1,[22],[39],1.19,0.27
bZC4DeDo,ENGLAND U21,ROUND 11,2024-01-12,16:00,Arsenal U21,Middlesbrough U21,2.25,2.62,3.45,0.0,0.0,1.83,1.85,0.0,0.0,1.82,4.25,3.3,0.0,0.0,0.0,0.0,1.27,3.1,1.65,1.98,2.4,1.45,1.3,2.95,1.28,1.2,1.93,29.0,23.0,28.0,50.0,17.5,10.75,13.0,23.0,15.5,9.75,11.25,20.0,20.0,12.5,14.5,25.0,100.0,0,0,1,0,[52],[],0,0
xQB8CFSi,ENGLAND U21,ROUND 11,2024-01-12,16:00,Chelsea U21,Manchester Utd U21,2.8,2.57,2.67,0.0,0.0,1.83,1.83,0.0,0.0,2.42,4.1,2.3,0.0,0.0,0.0,0.0,1.27,3.1,1.65,1.98,2.42,1.44,1.28,3.05,1.57,1.21,1.53,29.0,20.0,20.0,30.0,19.5,10.25,10.75,16.0,21.0,11.0,10.75,16.0,32.0,16.5,16.5,24.0,90.0,2,0,3,2,"[32, 45, 90]","[54, 60]",0,0
WnBCBZsb,ENGLAND U21,ROUND 11,2024-01-12,16:00,Fulham U21,Derby U21,1.65,3.0,5.6,0.0,0.0,1.7,1.93,0.0,0.0,1.29,5.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.53,2.18,2.15,1.55,1.42,2.45,1.09,1.11,2.75,35.0,40.0,70.0,175.0,17.0,15.0,25.0,60.0,11.75,10.25,16.5,40.0,11.5,10.0,16.5,40.0,175.0,0,0,2,1,"[90, 90]",[66],0,0
pjFGAgc4,ENGLAND U21,ROUND 11,2024-01-12,16:00,Norwich U21,Wolves U21,2.0,2.77,3.9,0.0,0.0,1.7,1.93,0.0,0.0,1.6,4.6,4.0,0.0,0.0,0.0,0.0,1.23,3.35,1.57,2.1,2.25,1.5,1.3,2.92,1.21,1.17,2.25,32.0,29.0,37.0,70.0,18.5,12.0,15.5,29.0,14.5,9.75,12.0,23.0,17.0,11.25,14.5,27.0,100.0,1,2,3,4,"[30, 50, 71]","[18, 39, 67, 80]",0,0
SE4L9DCA,ENGLAND U21,ROUND 11,2024-01-12,16:00,Nottingham U21,Sunderland U21,2.4,2.57,3.15,0.0,0.0,1.83,1.85,0.0,0.0,2.0,4.15,2.87,0.0,0.0,0.0,0.0,1.27,3.1,1.65,1.98,2.4,1.45,1.28,3.05,1.35,1.21,1.78,29.0,22.0,25.0,40.0,18.5,10.5,12.0,20.0,17.5,10.0,11.0,18.5,24.0,13.5,15.0,24.0,90.0,0,4,0,5,[],"[19, 26, 29, 31, 90]",0,0
653P8XRG,ENGLAND U21,ROUND 11,2024-01-12,16:00,Southampton U21,Tottenham U21,4.9,2.87,1.75,0.0,0.0,1.75,1.93,0.0,0.0,5.5,5.1,1.4,0.0,0.0,0.0,0.0,1.28,3.05,1.7,1.93,2.45,1.42,1.44,2.42,2.82,1.14,1.13,28.0,14.0,11.0,12.0,30.0,12.0,9.25,10.25,45.0,19.0,14.5,16.5,110.0,45.0,35.0,37.0,175.0,0,1,2,3,"[47, 80]","[33, 57, 81]",0,0
M5yDe6aq,GERMANY 1,ROUND 17,2024-01-12,16:30,Bayern Munich,Hoffenheim,1.4,3.75,11.0,1.13,6.0,1.67,2.1,3.0,1.36,1.11,10.0,19.0,1.01,29.0,1.05,11.0,1.2,4.5,1.53,2.5,2.2,1.67,1.8,1.95,1.02,1.06,6.5,34.0,51.0,101.0,201.0,17.0,21.0,41.0,101.0,9.5,12.0,26.0,67.0,8.5,11.0,23.0,51.0,201.0,1,0,3,0,"[18, 70, 90]",[],2.31,1.45
j9FLQod9,ITALY 2,ROUND 20,2024-01-12,16:30,Catanzaro,Lecco,2.4,2.2,5.0,1.4,2.75,3.0,1.36,8.0,1.08,1.75,3.5,4.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.91,1.91,1.18,1.29,2.0,9.5,12.0,23.0,51.0,7.0,6.5,15.0,41.0,8.0,8.5,15.0,41.0,13.0,15.0,29.0,51.0,301.0,1,2,5,3,"[19, 49, 53, 66, 89]","[26, 30, 56]",3.23,1.05
rsHzcfnt,SPAIN 2,ROUND 22,2024-01-12,16:30,Eibar,Racing Santander,2.4,2.2,4.75,1.4,2.75,2.75,1.4,8.0,1.08,1.8,3.6,4.33,1.05,11.0,1.25,3.75,1.9,1.95,3.25,1.33,6.0,1.13,1.8,1.91,1.2,1.29,1.95,11.0,12.0,21.0,41.0,7.5,7.0,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0,1,0,2,0,"[10, 83]",[],1.53,0.89
0QXyIyql,PORTUGAL 3,ROUND 16,2024-01-12,16:30,Braga B,Felgueiras,3.3,2.05,3.1,1.44,2.6,2.85,1.37,6.3,1.09,2.7,3.3,2.47,1.07,7.0,1.32,3.1,1.98,1.78,3.25,1.3,5.7,1.11,1.75,1.98,1.53,1.3,1.47,7.0,8.0,12.0,26.0,8.5,6.3,9.5,21.0,13.5,10.0,14.0,30.0,30.0,22.0,32.0,65.0,500.0,1,2,3,3,"[44, 47, 65]","[6, 20, 87]",0,0
b7vdGle8,ENGLAND 1,ROUND 21,2024-01-12,16:45,Burnley,Luton,2.75,2.2,4.0,1.4,2.75,3.0,1.36,8.0,1.08,2.15,3.4,3.4,1.06,10.0,1.33,3.4,2.06,1.84,3.5,1.3,7.0,1.1,1.75,2.0,1.3,1.3,1.67,10.0,12.0,19.0,41.0,8.5,7.0,13.0,29.0,11.0,10.0,15.0,41.0,21.0,19.0,29.0,51.0,301.0,1,0,1,1,[36],[90],0.91,0.72
Odv3laT3,NORTHERN IRELAND 2,ROUND 25,2024-01-12,16:45,Crusaders,Larne,4.2,1.93,2.85,1.55,2.35,3.3,1.29,7.3,1.06,3.5,3.1,2.12,1.1,5.9,1.44,2.6,2.32,1.57,4.0,1.2,7.0,1.07,1.98,1.75,1.7,1.33,1.31,5.9,6.2,9.25,20.0,8.25,6.0,9.0,19.5,17.0,12.5,17.0,37.0,50.0,37.0,50.0,100.0,900.0,0,1,0,2,[],"[45, 82]",0,0
bDV3kuno,SCOTLAND 2,ROUND 21,2024-01-12,16:45,Inverness,Dundee Utd,5.0,2.38,2.05,1.3,3.4,2.38,1.53,5.5,1.13,4.75,4.33,1.55,1.03,10.0,1.2,4.33,1.62,2.25,2.5,1.5,4.33,1.2,1.73,2.0,2.38,1.2,1.17,15.0,8.5,8.5,12.0,17.0,8.5,8.5,12.0,29.0,17.0,17.0,23.0,51.0,41.0,41.0,41.0,600.0,0,0,0,1,[],[87],0,0
4OL5wzh8,ENGLAND 2,ROUND 27,2024-01-12,17:00,Hull,Norwich,2.88,2.25,3.4,1.33,3.25,2.63,1.44,6.5,1.11,2.25,3.6,3.0,1.04,13.0,1.22,4.33,1.7,2.1,2.75,1.44,5.0,1.17,1.62,2.2,1.36,1.29,1.62,13.0,11.0,15.0,29.0,9.5,7.0,11.0,21.0,12.0,9.0,13.0,26.0,21.0,17.0,23.0,41.0,151.0,0,1,1,2,[90],"[36, 88]",0.97,1.32
bc9CDMFE,FRANCE 1,ROUND 18,2024-01-12,17:00,Marseille,Strasbourg,2.25,2.2,5.5,1.44,2.63,3.0,1.36,9.0,1.07,1.65,4.0,5.25,1.06,10.0,1.36,3.2,2.05,1.75,3.75,1.29,7.0,1.1,2.05,1.7,1.17,1.22,2.2,9.5,11.0,26.0,51.0,6.0,7.5,17.0,41.0,7.0,8.5,21.0,41.0,12.0,15.0,29.0,67.0,451.0,1,0,1,1,[3],[90],1.39,0.95
bH5s1gXq,SPAIN 1,ROUND 20,2024-01-12,17:00,Sevilla,Alaves,2.75,2.0,4.5,1.5,2.5,3.5,1.29,11.0,1.05,2.0,3.3,3.8,1.1,7.0,1.44,2.75,2.4,1.53,4.5,1.2,10.0,1.06,2.05,1.7,1.25,1.33,1.8,7.5,9.0,19.0,41.0,6.0,6.5,13.0,34.0,8.5,9.5,19.0,41.0,17.0,19.0,34.0,67.0,501.0,0,2,2,3,"[70, 82]","[26, 40, 90]",1.92,1.91
h67VqpN5,PORTUGAL 1,ROUND 17,2024-01-12,17:15,Portimonense,SC Farense,3.2,2.1,3.4,1.4,2.75,3.0,1.36,8.0,1.08,2.5,3.3,2.75,1.05,11.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,1.75,2.0,1.4,1.33,1.5,10.0,9.0,13.0,29.0,8.5,6.5,10.0,21.0,12.0,10.0,13.0,29.0,23.0,21.0,29.0,41.0,201.0,0,0,1,0,[58],[],1.50,0.74
zN6XDfNO,MEXICO 1,CLAUSURA ,2024-01-12,22:00,Queretaro,Toluca,3.6,2.2,2.88,1.36,3.0,2.75,1.4,7.0,1.1,3.2,3.3,2.2,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.67,2.1,1.67,1.33,1.36,11.0,9.0,12.0,21.0,11.0,6.5,9.0,17.0,17.0,11.0,13.0,26.0,34.0,23.0,29.0,41.0,151.0,1,0,2,2,"[7, 56]","[67, 90]",0.68,1.12
