Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
jaOX9LsA,CHINA 1,ROUND 25,2025-09-20,08:00,Changchun Yatai,Zhejiang Professional,0.0,0.0,0.0,1.25,3.75,2.2,1.62,5.0,1.17,0.0,0.0,0.0,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,1.5,2.5,1.8,1.22,1.3,19.0,11.0,12.0,19.0,15.0,8.0,9.0,13.0,21.0,12.0,12.0,19.0,41.0,23.0,23.0,34.0,101.0
vqqLCxSQ,ENGLAND 1,ROUND 5,2025-09-20,08:30,Liverpool,Everton,1.91,2.6,6.0,1.29,3.5,2.25,1.57,5.5,1.14,1.45,4.75,6.5,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.75,2.0,1.11,1.18,2.63,17.0,21.0,41.0,81.0,9.5,10.0,21.0,51.0,8.5,9.0,19.0,41.0,11.0,12.0,23.0,51.0,251.0
nRHt8aCM,CHINA 1,ROUND 25,2025-09-20,08:35,Meizhou Hakka,Qingdao West Coast,3.0,2.38,3.1,1.29,3.5,2.38,1.53,5.5,1.14,2.45,3.5,2.65,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.5,2.5,1.44,1.29,1.5,15.0,12.0,15.0,29.0,12.0,7.0,10.0,19.0,15.0,10.0,11.0,23.0,26.0,19.0,23.0,34.0,101.0
vPdL0H4d,CHINA 1,ROUND 25,2025-09-20,09:00,Qingdao Hainiu,Shandong Taishan,3.4,2.4,2.75,1.25,3.75,2.2,1.62,5.0,1.17,3.0,3.7,2.15,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.5,2.5,1.67,1.29,1.36,17.0,12.0,13.0,21.0,15.0,7.5,9.5,15.0,19.0,11.0,11.0,21.0,34.0,21.0,23.0,34.0,101.0
fHQ5zpwH,SPAIN 1,ROUND 5,2025-09-20,09:00,Girona,Levante,2.5,2.2,4.33,1.36,3.0,2.75,1.4,7.0,1.1,1.91,3.6,4.0,1.05,11.0,1.29,3.75,1.9,1.95,3.2,1.36,6.0,1.13,1.75,2.0,0.0,0.0,0.0,11.0,12.0,21.0,41.0,7.5,6.5,13.0,34.0,9.0,8.5,15.0,34.0,17.0,15.0,26.0,51.0,201.0
8QoAiiRO,ITALY 1,ROUND 4,2025-09-20,10:00,Bologna,Genoa,2.5,2.0,5.5,1.5,2.5,3.5,1.29,11.0,1.05,1.85,3.3,4.75,1.1,7.0,1.5,2.63,2.5,1.53,4.5,1.2,11.0,1.05,2.2,1.62,1.18,1.33,1.91,7.0,10.0,21.0,51.0,5.5,6.5,17.0,41.0,7.5,9.0,19.0,51.0,15.0,17.0,34.0,81.0,501.0
tj2LfKpp,GERMANY 1,ROUND 4,2025-09-20,10:30,Werder Bremen,Freiburg,2.88,2.38,3.25,1.29,3.5,2.38,1.53,5.5,1.14,2.38,3.6,2.8,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.53,2.38,1.4,1.29,1.53,15.0,13.0,17.0,29.0,11.0,7.0,11.0,21.0,13.0,9.5,11.0,23.0,23.0,17.0,21.0,34.0,101.0
p2yUdSXR,GERMANY 1,ROUND 4,2025-09-20,10:30,Hamburger SV,Heidenheim,2.63,2.25,3.75,1.33,3.25,2.63,1.44,6.5,1.11,2.05,3.6,3.5,1.04,12.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.67,2.1,1.29,1.29,1.73,12.0,12.0,19.0,41.0,8.5,7.0,12.0,26.0,11.0,9.0,13.0,29.0,19.0,15.0,23.0,41.0,151.0
fgv3bqsS,BELGIUM 2,ROUND 6,2025-09-20,11:00,RFC Liege,Anderlecht U23,2.05,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,3.9,5.0,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.0,1.22,1.62,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfGS6nv8,ENGLAND 1,ROUND 5,2025-09-20,11:00,Burnley,Nottingham,3.75,2.2,2.88,1.4,2.75,2.75,1.4,8.0,1.08,3.4,3.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.0,1.67,1.33,1.3,10.0,8.5,12.0,23.0,11.0,6.5,10.0,21.0,19.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,251.0
