Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
pjRiS13C,2026-01-18,00:00,AUSTRALIA 1,Round 13,Central Coast Mariners,Macarthur FC,4.0,0.0,0.0,1.4,2.75,2.85,1.42,8.0,1.08,3.5,0.0,0.0,1.07,8.75,1.31,3.5,2.0,1.8,3.25,1.35,6.0,1.13,1.8,1.95,0.0,0.0,1.29
ruU68Qx2,2026-01-18,00:05,MEXICO 1,Clausura,Cruz Azul,Puebla,1.91,2.5,6.5,1.3,3.4,2.38,1.53,6.0,1.13,1.41,4.75,6.5,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.91,1.91,1.11,1.18,2.63
rVQhWTU8,2026-01-18,00:06,MEXICO 1,Clausura,Club Tijuana,Atl. San Luis,2.75,2.2,4.0,1.36,3.0,2.75,1.4,8.0,1.08,2.05,3.5,3.4,1.06,10.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.75,2.0,1.3,1.29,1.7
2VioA6yi,2026-01-18,03:00,AUSTRALIA 1 WOM,Round 13,Central Coast Mariners W,Perth W,2.25,2.3,4.33,1.29,3.3,2.4,1.5,6.5,1.08,1.7,3.75,4.0,1.01,13.0,1.17,4.5,1.65,2.1,2.75,1.4,5.2,1.13,1.6,2.2,1.2,1.22,2.0
0dx7cKY1,2026-01-18,03:00,AUSTRALIA 1,Round 13,Sydney FC,Wellington Phoenix,2.0,2.5,5.5,1.25,3.75,2.2,1.62,5.0,1.17,1.51,4.75,5.25,1.02,17.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,1.67,2.1,1.17,1.18,2.38
QcO8rc85,2026-01-18,04:00,HONG KONG 1,Round 12,Eastern AA,Southern District,3.3,2.1,2.88,1.33,3.0,2.75,1.4,6.5,1.1,2.75,3.3,2.3,1.04,11.0,1.25,3.8,1.87,1.9,3.1,1.36,6.5,1.1,1.67,2.1,1.5,1.25,1.36
nDCHtywI,2026-01-18,05:30,HONG KONG 1,Round 12,Hong Kong FC,Eastern District,9.5,2.4,1.67,1.33,3.0,2.88,1.36,6.5,1.08,12.0,5.0,1.22,1.04,11.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,2.63,1.44,3.6,1.13,1.03
xz3lkpT0,2026-01-18,06:00,Malaysia - Malaysia Cup,1/8-finals,Penang,Kuching City FC,4.0,2.1,2.5,1.33,3.0,2.75,1.4,7.0,1.07,3.4,3.3,1.95,1.01,11.0,1.25,3.6,1.85,1.85,3.2,1.3,6.5,1.08,1.65,2.1,1.73,1.29,1.25
86awy6jI,2026-01-18,06:30,MYANMAR 1,Round 13,Dagon Port,Mahar United,2.92,2.65,2.45,1.12,5.3,1.72,1.82,0.0,0.0,2.65,4.15,2.05,0.0,0.0,0.0,0.0,1.19,3.8,1.62,2.05,2.3,1.49,1.22,3.67,1.62,1.2,1.39
pxO9dSzR,2026-01-18,06:30,Malaysia - Malaysia Cup,1/8-finals,PDRM FC,Johor DT,15.0,5.0,1.17,1.06,7.3,1.49,2.34,2.2,1.47,56.0,41.0,1.01,0.0,0.0,1.01,17.0,1.06,7.5,1.25,3.6,1.57,2.1,1.95,1.75,0.0,0.0,0.0
