Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
CCseHKoR,2026-01-07,00:06,MEXICO 1 WOM,Clausura,Mazatlan FC W,Juarez W,7.0,2.88,1.62,1.17,4.5,2.0,1.73,4.0,1.2,9.5,6.0,1.2,0.0,0.0,1.1,6.5,1.4,2.88,2.0,1.8,3.33,1.28,1.67,2.1,3.75,1.08,1.04
Ms13Pjlg,2026-01-07,08:30,ASIA AFC ASIAN CUP U23,Round 1,Japan U23,Syria U23,1.9,2.35,6.1,1.29,3.3,2.4,1.44,5.3,1.12,1.4,4.45,6.5,1.03,11.0,1.22,3.45,1.65,1.98,2.55,1.39,4.9,1.14,2.4,1.5,1.1,1.17,2.85
zT7JHanp,2026-01-07,08:30,ASIA AFC ASIAN CUP U23,Round 1,South Korea U23,Iran U23,2.85,1.98,3.75,1.47,2.32,3.15,1.31,8.0,1.05,2.18,3.2,3.1,1.06,7.2,1.38,2.6,2.1,1.57,3.55,1.21,7.8,1.05,1.88,1.72,1.31,1.29,1.65
04jqhved,2026-01-07,09:30,SAUDI ARABIA 2,Round 15,Al Zulfi,Jeddah,2.63,2.0,4.5,1.44,2.63,3.25,1.29,9.5,1.04,1.91,3.2,4.0,1.07,8.0,1.44,2.7,2.45,1.53,4.5,1.2,9.0,1.05,2.1,1.67,1.2,1.3,1.8
t0TVFsm3,2026-01-07,09:30,SAUDI ARABIA 2,Round 15,Al Raed,Al-Ula,3.29,2.12,2.94,1.36,2.65,0.0,0.0,0.0,0.0,2.65,2.99,2.39,0.0,0.0,1.3,3.05,2.02,1.68,3.6,1.24,6.75,1.07,1.73,1.87,1.41,1.26,1.34
ERtwELHF,2026-01-07,09:40,SAUDI ARABIA 2,Round 15,Al Jandal,Al Taee,4.2,1.98,2.65,1.47,2.35,3.0,1.34,7.4,1.06,3.65,3.25,1.98,1.05,7.7,1.36,2.65,2.07,1.6,3.45,1.22,7.0,1.07,1.88,1.72,1.8,1.29,1.24
nmaQA1JH,2026-01-07,10:00,UAE 1,Round 12,Ittihad Kalba,Al Wasl,4.39,3.39,1.7,0.0,0.0,1.26,3.4,1.89,1.79,4.39,3.39,1.7,0.0,0.0,1.26,3.4,1.89,1.79,3.2,1.29,6.0,1.09,1.76,1.84,1.88,1.21,1.13
2kWDyEQ8,2026-01-07,11:00,WORLD CLUB FRIENDLY,-,Greuther Furth (Ger),Schweinfurt (Ger),1.73,2.88,5.0,1.11,5.5,1.73,2.0,3.3,1.29,1.33,5.0,6.0,0.0,0.0,1.03,9.0,1.2,4.0,1.57,2.25,2.4,1.5,1.36,2.88,1.1,1.13,3.0
b5u3c1Z7,2026-01-07,11:00,WORLD CLUB FRIENDLY,-,Holstein Kiel (Ger),Servette (Sui),3.2,2.3,2.75,1.25,3.6,2.25,1.57,5.5,1.11,2.7,3.6,2.2,1.01,13.0,1.14,4.8,1.57,2.25,2.4,1.5,4.5,1.17,1.45,2.55,1.62,1.25,1.4
jeWnNLOM,2026-01-07,11:00,ASIA AFC ASIAN CUP U23,Round 1,Uzbekistan U23,Lebanon U23,1.75,2.3,8.5,1.33,3.05,2.6,1.38,6.1,1.09,1.29,4.75,9.75,1.04,9.3,1.27,3.1,1.8,1.8,2.87,1.31,5.85,1.1,2.75,1.4,1.06,1.15,3.5
0hEuHANO,2026-01-07,11:20,OMAN 1,Round 9,Ibri,Saham,5.2,2.17,2.15,0.0,0.0,1.3,2.85,1.98,1.62,4.99,3.36,1.58,0.0,0.0,1.3,2.85,1.98,1.62,3.35,1.21,0.0,0.0,1.96,1.66,2.0,1.21,1.1
beYiKtjR,2026-01-07,11:30,QATAR 1,Round 12,Al Ahli Doha,Shamal,3.2,2.38,2.7,1.25,3.5,2.25,1.57,5.0,1.14,2.75,3.5,2.2,1.01,17.0,1.17,5.0,1.53,2.45,2.45,1.53,4.33,1.2,1.44,2.63,1.57,1.25,1.36
ImgYGz6N,2026-01-07,12:00,GREECE CUP,Play Offs,OFI Crete,Asteras Tripolis,3.3,2.0,3.2,1.36,2.88,3.0,1.33,8.0,1.05,2.6,3.0,2.6,1.03,9.0,1.3,3.2,2.1,1.65,3.8,1.22,8.0,1.05,1.8,1.91,1.44,1.33,1.44
O6VgE7Qk,2026-01-07,12:00,NIGERIA 1,Round 20,Rangers Int'l,Rivers United,1.75,3.0,4.7,0.0,0.0,1.48,2.23,2.5,1.38,1.75,3.0,4.7,0.0,0.0,1.48,2.23,2.5,1.38,4.6,1.11,0.0,0.0,2.3,1.48,1.11,1.27,1.82
vwrRCF6r,2026-01-07,12:00,NIGERIA 1,Round 20,Nasarawa,Kano Pillars,2.4,1.96,5.1,0.0,0.0,1.46,2.28,2.45,1.38,1.74,3.0,4.7,0.0,0.0,1.46,2.28,2.45,1.38,4.5,1.11,0.0,0.0,2.23,1.5,1.11,1.27,1.82
KA6hnGS6,2026-01-07,12:00,Cyprus - Cyprus Cup,1/8-finals,Achnas,Paralimni,2.0,2.2,6.0,1.36,2.88,2.88,1.36,7.5,1.06,1.44,3.8,6.0,1.03,9.0,1.29,3.3,1.95,1.75,3.3,1.29,7.0,1.07,2.0,1.73,1.1,1.22,2.5
63Oi5yZp,2026-01-07,12:00,Cyprus - Cyprus Cup,1/8-finals,APOEL,Apea Akrotiriou,1.17,5.0,18.0,1.06,7.5,1.45,2.55,2.55,1.45,1.02,17.0,56.0,0.0,0.0,1.01,13.0,1.08,6.5,1.3,3.2,1.85,1.85,2.25,1.57,1.01,1.02,15.0
0UFS6lAk,2026-01-07,12:00,Cyprus - Cyprus Cup,1/8-finals,Pafos,Chloraka,1.57,2.62,11.5,1.3,3.2,2.27,1.57,4.7,1.15,1.17,5.9,17.0,1.03,9.0,1.17,4.4,1.53,2.32,2.3,1.55,3.75,1.23,2.32,1.55,1.03,1.1,5.0
rFhZ8ulU,2026-01-07,12:45,UAE 1,Round 12,Al Bataeh,Shabab Al-Ahli Dubai,5.5,2.4,1.91,1.29,3.25,2.63,1.44,6.0,1.11,6.0,4.2,1.44,1.02,13.0,1.2,4.33,1.73,2.1,2.88,1.4,5.5,1.14,1.8,1.91,2.5,1.17,1.08
fRJNEKDl,2026-01-07,13:30,QATAR 1,Round 12,Al Wakra,Al Arabi,3.0,2.6,2.6,1.17,4.5,1.91,1.8,3.75,1.22,2.63,3.75,2.2,1.01,20.0,1.08,7.5,1.33,3.25,1.9,1.9,3.1,1.36,1.3,3.2,1.57,1.2,1.4
rckCNUI5,2026-01-07,13:30,ASIA AFC ASIAN CUP U23,Round 1,Qatar U23,United Arab Emirates U23,2.9,1.93,3.85,1.47,2.32,3.2,1.31,8.0,1.05,2.22,3.05,3.2,1.06,7.3,1.38,2.6,2.1,1.57,3.5,1.21,7.8,1.05,1.95,1.75,1.3,1.32,1.62
KWBhSv8s,2026-01-07,14:30,ITALY 1,Round 19,Napoli,Verona,1.91,2.3,9.0,1.4,2.75,3.0,1.36,8.0,1.08,1.33,5.0,9.0,1.07,9.0,1.36,3.2,2.1,1.73,3.75,1.29,7.0,1.1,2.38,1.53,1.07,1.17,3.25
Uw5mJ1VQ,2026-01-07,14:30,ITALY 1,Round 19,Bologna,Atalanta,3.25,2.2,3.1,1.4,2.75,2.75,1.4,8.0,1.08,2.75,3.3,2.6,1.06,10.0,1.29,3.75,1.91,1.91,3.4,1.33,6.5,1.11,1.75,2.0,1.5,1.33,1.4
4CgqQRz1,2026-01-07,15:30,MALTA 1,First stage,Floriana,Hamrun,3.23,2.93,2.09,1.03,6.75,1.35,2.7,2.2,1.52,3.23,2.93,2.09,1.03,6.75,1.35,2.7,2.2,1.52,4.1,1.15,0.0,0.0,1.88,1.73,1.64,1.37,1.32
O8AQbroQ,2026-01-07,16:00,EUROPA U21,-,Chelsea U21,Benfica B,2.65,2.4,3.1,0.0,0.0,2.07,1.6,0.0,0.0,2.18,3.85,2.67,0.0,0.0,0.0,0.0,1.42,2.45,2.02,1.62,3.15,1.26,1.4,2.5,1.39,1.23,1.65
fi1dgM8m,2026-01-07,16:00,EUROPA U21,-,Nottingham U21,Real Sociedad B,3.15,2.12,3.0,0.0,0.0,2.52,1.4,0.0,0.0,2.6,3.4,2.45,0.0,0.0,1.25,3.2,1.75,1.85,2.75,1.34,0.0,0.0,1.62,2.02,1.53,1.27,1.47
zPaTJMT9,2026-01-07,16:00,SPAIN SUPER CUP,Semi-finals,Barcelona,Ath Bilbao,1.91,2.6,5.5,1.25,3.75,2.2,1.62,5.0,1.17,1.5,4.75,5.75,1.02,19.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.67,2.1,1.14,1.18,2.5
Ovaio0L0,2026-01-07,16:30,ENGLAND 1,Round 21,Bournemouth,Tottenham,2.6,2.3,3.75,1.33,3.25,2.5,1.5,6.0,1.13,2.05,3.6,3.4,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.62,2.2,1.3,1.29,1.73
882rqVeU,2026-01-07,16:30,ENGLAND 1,Round 21,Manchester City,Brighton,1.8,2.75,6.5,1.22,4.0,2.0,1.73,4.33,1.2,1.36,5.25,7.5,1.02,19.0,1.13,6.0,1.44,2.75,2.1,1.73,3.5,1.3,1.62,2.2,1.1,1.17,3.0
Ct9ZpiRH,2026-01-07,16:30,ENGLAND 1,Round 21,Fulham,Chelsea,3.75,2.25,2.75,1.33,3.25,2.63,1.44,6.5,1.11,3.25,3.6,2.15,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.67,2.1,1.67,1.29,1.33
r1HIlZRh,2026-01-07,16:30,ENGLAND 1,Round 21,Crystal Palace,Aston Villa,3.6,2.2,2.88,1.36,3.0,2.75,1.4,7.0,1.1,3.1,3.3,2.3,1.06,10.0,1.29,3.75,1.93,1.93,3.2,1.36,6.0,1.13,1.7,2.05,1.57,1.33,1.36
vTARnDd5,2026-01-07,16:30,ENGLAND 1,Round 21,Everton,Wolves,2.38,2.1,5.0,1.44,2.63,3.0,1.36,9.0,1.07,1.75,3.5,5.0,1.07,8.5,1.36,3.2,2.1,1.73,4.0,1.25,8.0,1.08,1.95,1.8,1.17,1.29,2.0
W42aqvjD,2026-01-07,16:30,ENGLAND 1,Round 21,Brentford,Sunderland,2.4,2.2,4.75,1.4,2.75,2.75,1.4,8.0,1.08,1.8,3.6,4.5,1.06,9.5,1.3,3.5,2.03,1.83,3.5,1.3,6.5,1.11,1.91,1.91,1.18,1.29,1.95
dS33pvUP,2026-01-07,16:45,ITALY 1,Round 19,Torino,Udinese,3.0,2.05,4.0,1.5,2.5,3.4,1.3,10.0,1.06,2.25,3.1,3.5,1.08,7.5,1.4,3.0,2.3,1.62,4.33,1.22,9.0,1.07,1.95,1.8,1.29,1.36,1.62
Gb51QIxf,2026-01-07,16:45,ITALY 1,Round 19,Parma,Inter,7.0,2.5,1.83,1.29,3.5,2.38,1.53,5.5,1.14,7.0,5.0,1.4,1.03,15.0,1.2,4.5,1.62,2.3,2.63,1.5,4.5,1.2,1.91,1.91,2.75,1.17,1.1
MypSBJN0,2026-01-07,16:45,ITALY 1,Round 19,Lazio,Fiorentina,3.1,2.05,3.75,1.44,2.63,3.25,1.33,10.0,1.06,2.38,3.2,3.2,1.08,8.0,1.4,3.0,2.2,1.67,4.0,1.25,8.0,1.08,1.91,1.91,1.33,1.36,1.57
pYs2VrGO,2026-01-07,17:00,PORTUGAL LEAGUE CUP,Semi-finals,Benfica,Braga,2.25,2.2,4.5,1.33,3.0,2.75,1.4,6.5,1.08,1.67,3.6,4.6,1.04,11.0,1.29,3.5,1.87,1.9,3.25,1.33,6.5,1.1,1.73,2.0,1.14,1.22,2.0
