Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
MFbhNgBj,CZECH 1,ROUND 10,2025-09-27,10:00,Ostrava,Sparta Prague,4.33,2.38,2.38,1.3,3.4,2.5,1.5,6.0,1.13,4.1,3.7,1.8,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.62,2.2,1.95,1.29,1.22,13.0,9.0,9.5,15.0,15.0,7.0,8.5,13.0,23.0,13.0,13.0,21.0,41.0,29.0,34.0,41.0,151.0
468fDmI8,GERMANY 1,ROUND 5,2025-09-27,10:30,Mainz,Dortmund,3.6,2.4,2.6,1.29,3.5,2.25,1.57,5.5,1.14,3.2,3.7,2.1,1.03,15.0,1.17,5.0,1.62,2.3,2.38,1.57,4.33,1.22,1.5,2.5,1.7,1.29,1.36,17.0,11.0,12.0,21.0,15.0,7.5,9.0,15.0,19.0,12.0,12.0,21.0,34.0,23.0,26.0,34.0,101.0
OW6r2N97,GERMANY 1,ROUND 5,2025-09-27,10:30,St. Pauli,Bayer Leverkusen,3.6,2.2,2.75,1.36,3.0,2.63,1.44,7.0,1.1,3.1,3.6,2.2,1.05,11.0,1.29,3.75,1.88,1.98,3.2,1.36,6.0,1.13,1.75,2.0,1.67,1.29,1.36,12.0,8.5,11.0,21.0,10.0,7.0,9.0,17.0,15.0,11.0,15.0,26.0,34.0,23.0,29.0,51.0,201.0
fiFR55Ar,GERMANY 1,ROUND 5,2025-09-27,10:30,Wolfsburg,RB Leipzig,3.0,2.4,3.0,1.25,3.75,2.2,1.62,5.0,1.17,2.55,3.6,2.6,1.03,17.0,1.14,5.5,1.53,2.5,2.2,1.67,4.0,1.25,1.44,2.63,1.5,1.29,1.5,17.0,13.0,17.0,26.0,13.0,7.5,10.0,19.0,17.0,10.0,11.0,21.0,26.0,17.0,21.0,29.0,81.0
Qg8ZHVye,DENMARK 2,ROUND 11,2025-09-27,10:30,Lyngby,Aalborg,2.75,2.3,3.5,1.3,3.4,2.5,1.5,6.0,1.13,2.1,3.5,3.1,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.36,1.29,1.67,13.0,12.0,17.0,34.0,10.0,7.0,11.0,23.0,12.0,9.0,12.0,26.0,21.0,17.0,23.0,41.0,126.0
xClVPQ1E,GERMANY 1,ROUND 5,2025-09-27,10:30,Heidenheim,Augsburg,3.2,2.3,3.0,1.33,3.25,2.5,1.5,6.5,1.11,2.7,3.5,2.5,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,1.62,2.2,1.5,1.29,1.44,13.0,10.0,13.0,23.0,11.0,7.0,10.0,19.0,15.0,10.0,12.0,23.0,26.0,21.0,26.0,41.0,151.0
lbY63mI7,EGYPT 1,ROUND 9,2025-09-27,11:00,ZED,Haras El Hodood,2.5,1.85,5.9,1.57,2.25,3.3,1.29,7.3,1.06,1.85,2.75,5.6,1.14,4.9,1.55,2.3,2.62,1.44,4.7,1.15,8.0,1.05,2.2,1.6,1.15,1.38,1.93,4.9,10.5,32.0,150.0,4.85,5.7,18.5,80.0,7.4,8.75,19.0,90.0,16.0,19.0,40.0,120.0,101.0
O86kY61E,ENGLAND 2,ROUND 7,2025-09-27,11:00,Preston,Bristol City,3.25,2.1,3.4,1.44,2.63,3.0,1.36,9.0,1.07,2.5,3.3,2.65,1.07,9.0,1.36,3.2,2.1,1.73,3.75,1.29,8.0,1.08,1.83,1.83,1.44,1.33,1.5,9.0,8.0,13.0,29.0,8.0,6.5,10.0,23.0,12.0,10.0,15.0,34.0,26.0,21.0,34.0,51.0,301.0
tYUb59me,EGYPT 1,ROUND 9,2025-09-27,11:00,Arab Contractors,Kahrabaa Ismailia,2.65,2.0,4.3,1.5,2.4,3.25,1.3,7.2,1.06,2.0,3.25,3.7,1.1,5.8,1.47,2.5,2.37,1.52,4.3,1.18,7.5,1.06,2.15,1.62,1.28,1.3,1.8,5.8,8.25,17.5,55.0,5.6,6.3,13.5,40.0,8.0,9.25,19.5,60.0,17.0,19.5,40.0,120.0,101.0
rDT2A397,ENGLAND 2,ROUND 7,2025-09-27,11:00,Oxford Utd,Sheffield Utd,3.75,2.1,3.0,1.4,2.75,3.0,1.36,9.0,1.07,3.2,3.2,2.25,1.07,9.0,1.33,3.4,2.1,1.73,3.75,1.29,7.0,1.1,1.8,1.91,1.57,1.36,1.36,9.0,7.5,11.0,21.0,9.5,6.0,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
