Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
fekmWXK8,MEXICO 2,APERTURA,2025-09-06,00:00,Dorados de Sinaloa,Irapuato,3.35,2.18,2.77,1.27,2.95,2.32,1.47,4.7,1.1,2.9,3.45,2.2,1.02,11.0,1.2,3.65,1.6,2.05,2.4,1.44,3.65,1.19,1.5,2.25,1.65,1.27,1.35,13.0,9.25,11.5,21.0,11.5,6.6,8.25,15.0,16.5,9.75,10.75,20.0,35.0,20.0,22.0,37.0,200.0
vgYfw3Ya,SPAIN 3,GROUP 2,2025-09-06,07:00,Eldense,Villarreal B,2.63,2.0,4.33,1.5,2.5,3.4,1.3,8.0,1.06,1.95,3.25,3.4,1.08,7.0,1.44,2.63,2.38,1.53,4.5,1.17,8.5,1.05,2.1,1.67,1.25,1.25,1.7,8.0,8.5,17.0,41.0,6.0,6.5,13.0,34.0,8.5,9.5,19.0,41.0,17.0,19.0,34.0,67.0,200.0
xxOFf8Yi,SOUTH KOREA 2,ROUND 28,2025-09-06,07:00,Seongnam,Ansan Greeners,2.2,2.2,6.5,1.44,2.63,3.25,1.33,9.0,1.07,1.52,3.8,5.75,1.06,10.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,2.2,1.62,1.14,1.25,2.38,9.0,12.0,29.0,67.0,5.5,7.5,19.0,51.0,6.5,9.0,21.0,51.0,11.0,15.0,34.0,81.0,61.0
QcfcxRIN,SOUTH KOREA 2,ROUND 28,2025-09-06,07:00,Jeonnam,Seoul E-Land,3.4,2.2,3.1,1.36,3.0,2.75,1.4,7.0,1.1,2.7,3.4,2.45,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.69,2.0,1.53,1.3,1.44,11.0,9.0,12.0,23.0,9.5,6.5,10.0,19.0,13.0,10.0,13.0,29.0,29.0,21.0,29.0,41.0,201.0
dtoTW4to,SOUTH KOREA 2,ROUND 28,2025-09-06,07:00,Cheongju,Gyeongnam,2.88,2.2,3.75,1.4,2.75,2.75,1.4,8.0,1.08,2.2,3.3,3.1,1.05,11.0,1.29,3.5,1.98,1.83,3.4,1.3,7.0,1.1,1.77,1.87,1.36,1.33,1.67,10.0,9.5,15.0,34.0,8.0,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
KpPdvmlB,SOUTH KOREA 2,ROUND 28,2025-09-06,07:00,Busan,Suwon Bluewings,3.1,2.25,3.1,1.33,3.25,2.63,1.44,6.5,1.11,2.55,3.4,2.55,1.04,13.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.62,2.2,1.5,1.3,1.5,12.0,10.0,13.0,26.0,10.0,6.5,10.0,19.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
nesi2JHa,WALES 1,ROUND 6,2025-09-06,08:30,Connahs Q.,Briton Ferry,2.25,2.25,4.6,1.34,3.0,2.42,1.5,5.1,1.13,1.7,3.6,4.3,1.04,8.5,1.21,3.95,1.62,2.15,2.5,1.47,4.15,1.19,1.6,2.18,1.21,1.25,2.12,8.5,15.0,28.0,75.0,8.75,7.4,14.0,37.0,9.25,8.0,13.0,35.0,14.5,12.5,20.0,50.0,300.0
Qugr4umm,WALES 1,ROUND 6,2025-09-06,08:30,Cardiff Metropolitan,Colwyn Bay,2.92,2.1,3.4,1.39,2.8,2.6,1.44,5.6,1.11,2.32,3.2,2.8,1.05,7.7,1.25,3.55,1.75,1.95,2.77,1.39,4.75,1.15,1.6,2.2,1.42,1.3,1.6,7.7,10.0,15.5,35.0,9.25,6.4,10.0,23.0,13.0,9.0,12.0,27.0,25.0,18.0,24.0,45.0,300.0
fc2C91PP,WALES 1,ROUND 6,2025-09-06,08:30,Bala,Penybont,4.65,2.02,2.47,1.47,2.5,3.0,1.34,6.6,1.08,4.15,3.3,1.8,1.08,6.7,1.36,2.92,2.05,1.7,3.5,1.26,6.1,1.09,1.91,1.8,1.98,1.29,1.23,6.7,6.2,8.0,15.0,10.75,6.5,8.25,15.5,23.0,14.0,16.5,30.0,70.0,45.0,50.0,90.0,800.0
YBua0cnC,WALES 1,ROUND 6,2025-09-06,08:30,Llanelli,Flint,4.6,2.27,2.2,1.33,3.05,2.4,1.5,5.0,1.13,4.45,3.7,1.65,1.04,8.5,1.21,3.95,1.62,2.15,2.5,1.47,4.2,1.19,1.65,2.12,2.2,1.24,1.2,8.5,8.25,8.75,13.5,16.0,7.6,8.0,12.5,30.0,14.5,13.5,21.0,80.0,37.0,37.0,50.0,300.0
