Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
OfRRIc9N,GREECE 2,ROUND 9,2024-11-18,09:00,Niki Volos,Makedonikos,2.77,1.88,4.35,1.52,2.2,3.3,1.29,0.0,0.0,2.1,2.9,3.75,1.1,5.0,1.45,2.37,2.32,1.47,3.95,1.17,0.0,0.0,1.98,1.65,1.24,1.34,1.7,6.5,8.5,19.0,60.0,5.7,5.8,13.0,45.0,8.75,9.0,17.0,55.0,19.5,20.0,40.0,110.0,100.0,0,2,0,3,[],"[17, 33, 87]",0,0
fFZAMuAb,GREECE 2,ROUND 9,2024-11-18,09:30,Kampaniakos,Iraklis 1908,5.0,1.93,2.5,1.53,2.18,0.0,0.0,0.0,0.0,4.35,3.2,1.83,1.11,6.0,1.5,2.27,2.4,1.44,4.15,1.15,0.0,0.0,2.2,1.53,1.93,1.29,1.19,6.5,5.1,7.1,14.5,8.75,6.5,9.25,18.5,22.0,16.0,22.0,45.0,80.0,60.0,80.0,150.0,101.0,1,2,3,3,"[32, 55, 90]","[16, 29, 79]",0,0
2BccbciI,EGYPT 2,ROUND 8,2024-11-18,09:30,Abu Qir Semad,Kahrabaa Ismailia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,4,[14],"[17, 18, 20, 44]",0,0
nJwEbR2b,EGYPT 2,ROUND 8,2024-11-18,09:30,Aswan SC,Asyut Petroleum,2.95,1.78,4.4,1.6,1.98,0.0,0.0,0.0,0.0,2.22,2.65,3.55,0.0,0.0,1.6,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.39,1.62,5.2,6.0,13.5,40.0,4.55,4.85,11.25,35.0,7.6,8.0,15.5,50.0,17.5,18.5,35.0,100.0,0.0,1,0,2,0,"[37, 82]",[],0,0
vgz60mYo,EGYPT 2,ROUND 8,2024-11-18,09:30,Dayrout,Baladiyat El Mahalla,3.75,1.78,3.3,1.57,2.02,0.0,0.0,0.0,0.0,3.0,2.6,2.55,0.0,0.0,1.53,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.4,1.36,5.6,5.1,9.25,23.0,5.9,4.65,8.5,21.0,11.5,9.25,13.5,35.0,32.0,25.0,37.0,75.0,0.0,0,0,0,0,[],[],0,0
zPe5dyMU,EGYPT 2,ROUND 8,2024-11-18,09:30,La Viena,Tersana,2.62,1.87,4.6,1.5,2.18,0.0,0.0,0.0,0.0,2.0,2.77,4.0,0.0,0.0,1.47,2.32,2.32,1.47,0.0,0.0,0.0,0.0,2.05,1.57,1.21,1.36,1.75,6.0,7.2,16.5,50.0,4.85,4.9,11.5,37.0,7.2,7.3,13.5,45.0,15.0,15.0,28.0,75.0,0.0,0,0,1,3,[90],"[46, 65, 90]",0,0
nkUnBrkK,BULGARIA 2,ROUND 17,2024-11-18,09:30,CSKA 1948 Sofia II,Fratria,2.02,2.22,5.4,1.38,2.45,2.4,1.4,0.0,0.0,1.5,3.9,5.4,0.0,0.0,1.23,3.75,1.65,1.98,2.8,1.38,0.0,0.0,1.88,1.83,1.13,1.2,2.5,11.5,12.5,26.0,80.0,6.3,6.8,14.5,45.0,6.3,6.9,13.5,40.0,9.0,9.75,19.0,55.0,350.0,0,0,1,0,[82],[],0,0
8YRMd5XA,EGYPT 2,ROUND 8,2024-11-18,12:00,Wadi Degla,El Daklyeh,2.47,1.75,6.7,1.65,1.91,0.0,0.0,0.0,0.0,1.75,2.67,6.1,0.0,0.0,1.65,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.37,2.0,4.65,8.25,27.0,120.0,3.65,5.2,17.5,80.0,5.5,7.7,19.5,90.0,11.25,16.0,40.0,150.0,0.0,1,0,2,0,"[45, 57]",[],0,0
6NfFNWed,ITALY 3,GROUP C,2024-11-18,16:30,Monopoli,Audace Cerignola,3.6,1.8,3.65,1.62,2.18,3.35,1.28,7.4,1.06,2.82,2.5,2.9,1.12,5.6,1.55,2.35,2.7,1.43,5.2,1.14,8.0,1.05,2.02,1.7,1.4,1.45,1.42,4.8,6.7,14.0,40.0,6.5,5.1,10.75,32.0,13.5,10.75,16.0,45.0,40.0,32.0,45.0,100.0,101.0,0,1,1,1,[63],[11],0,0
lbpiCSt4,URUGUAY 1,CLAUSURA ,2024-11-18,19:30,Progreso,Fenix,3.4,2.0,3.6,1.5,2.5,3.5,1.29,10.0,1.06,2.55,3.2,2.8,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,1.4,1.36,1.5,8.0,7.5,13.0,29.0,7.5,6.0,11.0,26.0,12.0,10.0,17.0,41.0,26.0,23.0,34.0,51.0,351.0,1,0,2,2,"[16, 90]","[51, 53]",0,0
hCSr7pE1,ARGENTINA 1,ROUND 23,2024-11-18,20:00,Banfield,Tigre,4.33,1.95,3.0,1.53,2.38,3.75,1.25,11.0,1.05,3.5,3.1,2.2,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.05,1.7,1.67,1.36,1.29,7.0,6.0,9.5,21.0,8.0,6.0,9.5,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,67.0,501.0,0,0,0,1,[],[88],0,0
GzwzKQkC,COLOMBIA 2,CLAUSURA ,2024-11-18,21:00,Real Cundinamarca,Huila,2.92,1.88,4.05,1.55,2.15,0.0,0.0,0.0,0.0,2.2,3.0,3.3,1.1,6.2,1.47,2.35,2.32,1.47,4.0,1.16,0.0,0.0,2.0,1.65,1.29,1.33,1.62,6.7,7.5,15.5,45.0,6.0,6.0,12.5,37.0,9.5,9.5,18.0,55.0,21.0,21.0,40.0,110.0,700.0,0,0,1,0,[60],[],0,0
M5Xw3O3j,URUGUAY 1,CLAUSURA ,2024-11-18,22:00,CA Cerro,Boston River,3.75,1.95,3.25,1.53,2.38,3.5,1.29,11.0,1.05,3.2,3.0,2.45,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.73,1.53,1.36,1.36,7.0,7.0,11.0,23.0,8.0,6.0,10.0,21.0,15.0,12.0,17.0,34.0,34.0,29.0,41.0,51.0,351.0,0,0,0,0,[],[],0,0
zyYw8Qbe,ARGENTINA 1,ROUND 23,2024-11-18,22:15,Defensa y Justicia,Dep. Riestra,2.3,2.2,5.0,1.4,2.75,3.0,1.36,8.0,1.08,1.73,3.6,5.0,1.05,11.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.95,1.8,1.17,1.29,2.05,10.0,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,301.0,0,0,1,1,[90],[51],0,0
2NZV9nUr,ARGENTINA 1,ROUND 23,2024-11-18,22:15,Platense,Godoy Cruz,2.6,1.83,6.5,1.67,2.1,4.33,1.2,15.0,1.03,1.8,3.1,5.75,1.14,5.5,1.62,2.2,3.1,1.36,6.5,1.11,17.0,1.03,2.63,1.44,1.14,1.36,1.95,5.0,9.5,26.0,67.0,4.5,6.5,21.0,51.0,6.5,10.0,26.0,81.0,15.0,21.0,41.0,126.0,0.0,0,0,1,0,[90],[],0,0
SSLix85t,COLOMBIA 2,CLAUSURA ,2024-11-18,23:00,Quindio,Orsomarso,3.1,1.82,4.05,1.57,2.1,0.0,0.0,0.0,0.0,2.32,2.77,3.35,1.14,4.25,1.47,2.32,2.37,1.45,4.05,1.16,0.0,0.0,1.98,1.65,1.28,1.37,1.57,5.1,7.8,16.5,50.0,5.8,5.6,12.0,37.0,10.0,9.5,16.5,50.0,24.0,24.0,40.0,100.0,900.0,0,0,0,2,[],"[81, 90]",0,0
