Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
jaW32SON,2026-01-12,05:30,INDONESIA 1,Round 17,PSBS Biak Numfor,FC Bhayangkara,4.5,2.2,2.2,1.33,3.0,2.75,1.4,6.5,1.08,4.6,3.5,1.67,1.05,10.0,1.29,3.5,1.9,1.87,3.4,1.3,6.5,1.1,1.83,1.83,2.0,1.22,1.14
lOkFpJNE,2026-01-12,06:30,MYANMAR 1,Round 12,Rakhine United,Yangon Utd,10.0,3.33,1.33,0.0,0.0,1.66,2.0,0.0,0.0,15.0,7.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.1,0.0,0.0,15.0,7.5,4.0,1.04,1.01
nJFLnr4j,2026-01-12,07:00,CZECH TIPSORT LIGA,-,Prostejov,Zlin,0.0,2.3,0.0,1.29,3.3,2.55,1.45,6.5,1.08,4.75,0.0,0.0,0.0,0.0,1.2,4.0,1.65,2.1,2.88,1.36,5.5,1.11,1.73,2.0,2.25,0.0,1.14
fTlgcFD7,2026-01-12,07:00,ITALY U19,Round 19,Atalanta U20,Lecce U20,2.3,2.38,4.0,1.25,3.5,2.25,1.57,5.5,1.13,1.8,3.6,3.6,1.01,15.0,1.17,5.0,1.57,2.25,2.55,1.5,4.5,1.2,1.53,2.38,1.22,1.22,1.83
fsfI2XUb,2026-01-12,08:30,SINGAPORE 1,Round 6,Tanjong Pagar,Hougang,3.6,2.63,2.3,1.2,4.33,1.91,1.8,4.0,1.22,3.1,4.0,1.83,1.01,29.0,1.1,7.0,1.33,3.4,1.83,1.83,3.0,1.36,1.36,3.0,1.8,1.2,1.33
QBspSzWP,2026-01-12,09:00,IRAN CUP,1/8-finals,Shams Azar Qazvin,Tractor,5.5,1.82,2.5,1.6,2.0,0.0,0.0,0.0,0.0,4.8,3.0,1.75,1.09,5.15,1.57,2.12,2.71,1.4,4.8,1.1,7.2,1.02,2.54,1.45,1.85,1.31,1.16
ljASBES0,2026-01-12,09:00,ITALY U19,Round 19,Frosinone U20,Verona U20,3.4,2.25,2.7,1.3,3.2,2.5,1.5,6.0,1.11,2.88,3.3,2.2,1.02,13.0,1.2,4.33,1.65,2.1,2.88,1.4,5.5,1.14,1.57,2.3,1.57,1.25,1.33
8z3UIm94,2026-01-12,09:00,INDONESIA 1,Round 17,Persijap Jepara,Dewa United,4.5,2.25,2.3,1.3,3.2,2.63,1.44,6.0,1.1,4.2,3.6,1.7,1.03,12.0,1.22,4.1,1.8,2.0,2.88,1.4,6.0,1.13,1.67,2.1,2.0,1.22,1.17
SU6CSKW8,2026-01-12,09:30,SAUDI ARABIA 2,Round 16,Al Arabi,Al Jabalain,4.5,2.1,2.4,1.36,2.88,2.88,1.36,7.5,1.06,4.0,3.4,1.8,1.05,9.0,1.33,3.25,2.0,1.73,3.8,1.25,8.0,1.07,1.87,1.87,1.83,1.25,1.17
lpeLQb1L,2026-01-12,09:40,SAUDI ARABIA 2,Round 16,Al Taee,Al Batin,2.4,2.1,4.5,1.36,2.88,2.88,1.36,7.5,1.07,1.8,3.3,4.0,1.05,10.0,1.3,3.4,2.0,1.8,3.5,1.29,7.5,1.08,1.8,1.91,1.17,1.25,1.83
