Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
6oJDDmvQ,PERU 1,APERTURA ,2024-01-27,00:00,FBC Melgar,Cusco,1.83,2.4,8.5,1.36,3.0,2.63,1.44,7.0,1.1,1.3,4.5,8.5,1.05,11.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,2.2,1.62,1.07,1.17,3.25,11.0,21.0,41.0,101.0,6.5,9.5,26.0,67.0,6.0,9.0,23.0,67.0,8.0,12.0,34.0,81.0,301.0,1,2,2,3,"[19, 66]","[7, 41, 71]",4.06,1.20
WSEz2Vpk,MEXICO 1,CLAUSURA ,2024-01-27,00:00,Club Tijuana,Guadalajara Chivas,3.1,2.0,3.75,1.5,2.5,3.4,1.3,10.0,1.06,2.4,3.2,3.0,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.95,1.8,1.36,1.36,1.53,8.0,8.0,15.0,34.0,7.0,6.0,11.0,26.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0,1,0,1,1,[19],[66],0.56,1.87
bVzSzVjk,ARGENTINA COPA,ROUND 1,2024-01-27,00:15,Banfield,Huracan,4.0,1.73,4.0,1.83,1.98,5.5,1.14,19.0,1.02,2.8,2.63,2.9,1.18,4.5,1.83,1.83,3.6,1.29,9.0,1.07,21.0,1.02,2.75,1.4,1.4,1.44,1.4,4.5,5.5,12.0,34.0,5.5,6.0,13.0,41.0,12.0,13.0,26.0,51.0,34.0,34.0,51.0,126.0,0.0,0,1,0,2,[],"[44, 81]",0.77,0.66
fcUzZ8L1,ARGENTINA COPA,ROUND 1,2024-01-27,00:15,Ind. Rivadavia,Independiente,4.33,1.8,3.4,1.67,2.1,4.5,1.18,15.0,1.03,3.5,2.75,2.38,1.14,5.5,1.67,2.1,3.4,1.33,7.0,1.1,17.0,1.03,2.5,1.5,1.53,1.4,1.29,5.0,5.5,9.5,23.0,7.0,6.0,11.0,26.0,15.0,15.0,21.0,41.0,41.0,41.0,51.0,101.0,501.0,0,0,0,1,[],[48],0.30,2.02
UkaF4BlM,COLOMBIA 1,APERTURA ,2024-01-27,01:20,Alianza,Dep. Cali,3.25,2.0,3.6,1.5,2.5,3.4,1.3,10.0,1.06,2.6,3.1,2.88,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,1.4,1.36,1.5,7.5,8.0,13.0,29.0,7.5,6.0,11.0,26.0,12.0,10.0,15.0,41.0,26.0,23.0,34.0,51.0,351.0,2,2,3,3,"[17, 24, 67]","[22, 39, 57]",1.01,0.98
CQrzjvPs,AUSTRALIA 1,ROUND 14,2024-01-27,03:00,Western United,WS Wanderers,3.4,2.4,2.75,1.29,3.5,2.25,1.57,5.5,1.14,2.9,3.8,2.15,1.03,17.0,1.17,5.0,1.53,2.4,2.3,1.62,4.0,1.25,1.5,2.5,1.67,1.25,1.4,19.0,11.0,13.0,21.0,13.0,8.0,9.0,15.0,17.0,11.0,12.0,21.0,34.0,21.0,23.0,34.0,101.0,0,1,0,1,[],[35],1.27,1.24
tpBbu3TC,AUSTRALIA 1,ROUND 14,2024-01-27,04:00,Newcastle Jets,Wellington Phoenix,2.63,2.4,3.4,1.29,3.5,2.25,1.57,5.5,1.14,2.15,4.0,3.0,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.57,4.0,1.25,1.5,2.5,1.36,1.22,1.67,19.0,13.0,19.0,34.0,11.0,8.0,11.0,21.0,13.0,9.0,12.0,23.0,21.0,15.0,21.0,34.0,101.0,0,1,1,2,[80],"[5, 87]",1.52,2.08
6mrvkbvl,AUSTRALIA 1,ROUND 14,2024-01-27,05:45,Central Coast Mariners,Brisbane Roar,1.91,2.63,6.0,1.25,3.75,2.2,1.62,5.0,1.17,1.4,5.25,5.75,1.02,19.0,1.14,5.5,1.44,2.7,2.2,1.67,3.75,1.29,1.7,2.05,1.14,1.17,2.75,21.0,19.0,34.0,67.0,9.0,11.0,17.0,41.0,8.0,8.5,19.0,41.0,10.0,11.0,21.0,51.0,201.0,1,0,2,0,"[38, 90]",[],1.13,0.79
fHIBmTLR,TURKEY 2,ROUND 20,2024-01-27,07:30,Manisa FK,Erzurumspor,2.38,2.1,5.5,1.44,2.63,3.25,1.33,9.0,1.07,1.7,3.5,4.75,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,2.0,1.73,1.18,1.29,2.1,9.0,12.0,23.0,51.0,6.0,7.0,17.0,41.0,7.5,8.5,19.0,41.0,13.0,15.0,29.0,67.0,351.0,0,1,0,2,[],"[34, 89]",0,0
25Mny360,GERMANY 2,ROUND 19,2024-01-27,09:00,Hansa Rostock,Elversberg,3.75,2.2,2.88,1.4,2.75,2.75,1.4,8.0,1.08,3.2,3.5,2.2,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.73,2.0,1.67,1.29,1.36,11.0,8.0,11.0,21.0,10.0,6.5,9.0,17.0,17.0,11.0,15.0,26.0,34.0,26.0,34.0,51.0,201.0,0,1,2,1,"[69, 90]",[41],1.43,1.61
