Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
OWrwHQMS,BRAZIL 1,ROUND 14,2024-07-04,00:30,Athletico-PR,Sao Paulo,3.0,2.0,4.0,1.5,2.5,3.4,1.3,10.0,1.06,2.3,3.1,3.3,1.08,8.0,1.4,3.0,2.3,1.6,4.33,1.22,9.0,1.07,1.95,1.8,1.33,1.36,1.57,7.5,9.0,15.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,15.0,41.0,21.0,21.0,34.0,51.0,351.0,1,1,1,2,[38],"[33, 61]",0,0
8zgEMUhi,BRAZIL 1,ROUND 14,2024-07-04,00:30,Atletico-MG,Flamengo RJ,3.5,2.0,3.5,1.5,2.5,3.5,1.29,11.0,1.05,2.75,3.2,2.7,1.08,8.0,1.44,2.75,2.35,1.57,4.5,1.2,10.0,1.06,2.0,1.75,1.44,1.36,1.4,7.5,7.5,12.0,26.0,7.5,6.0,11.0,23.0,12.0,11.0,17.0,41.0,26.0,23.0,41.0,51.0,401.0,0,2,2,4,"[57, 90]","[14, 24, 51, 68]",0,0
G6qZH67M,BRAZIL 1,ROUND 14,2024-07-04,00:30,Bragantino,Atletico GO,2.5,2.1,5.0,1.44,2.63,3.25,1.33,9.0,1.07,1.83,3.4,4.5,1.07,9.0,1.36,3.2,2.1,1.7,4.0,1.25,8.0,1.08,1.95,1.8,1.18,1.3,1.91,8.5,11.0,21.0,51.0,6.5,6.5,15.0,41.0,8.0,8.5,17.0,41.0,15.0,17.0,29.0,51.0,401.0,3,1,3,1,"[7, 21, 45]",[30],0,0
IHxZYFW0,USA 1,-,2024-07-04,00:30,Chicago Fire,Philadelphia Union,2.5,2.38,3.75,1.29,3.5,2.38,1.53,5.5,1.14,1.95,3.6,3.6,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.53,2.38,1.29,1.29,1.8,15.0,15.0,21.0,41.0,10.0,7.5,12.0,23.0,11.0,9.0,12.0,26.0,19.0,15.0,21.0,34.0,126.0,1,2,4,3,"[30, 82, 89, 90]","[38, 45, 49]",0,0
UN8LwZh9,USA 1,-,2024-07-04,00:30,Minnesota United,Vancouver Whitecaps,2.75,2.38,3.25,1.29,3.5,2.25,1.57,5.5,1.14,2.25,3.6,3.0,1.03,17.0,1.17,5.0,1.57,2.35,2.25,1.57,4.0,1.22,1.5,2.5,1.36,1.29,1.62,17.0,13.0,17.0,29.0,12.0,7.5,11.0,21.0,13.0,9.5,11.0,23.0,23.0,15.0,21.0,34.0,101.0,1,2,1,3,[30],"[4, 17, 60]",0,0
pv9VXZo7,USA 1,-,2024-07-04,00:30,St. Louis City,San Jose Earthquakes,2.3,2.5,4.0,1.25,3.75,2.1,1.67,4.5,1.18,1.8,4.0,4.0,1.02,19.0,1.13,6.0,1.44,2.7,2.1,1.67,3.5,1.29,1.44,2.63,1.22,1.22,1.95,21.0,19.0,23.0,41.0,12.0,8.5,13.0,26.0,12.0,9.0,12.0,26.0,17.0,13.0,17.0,34.0,101.0,2,0,2,0,"[28, 41]",[],0,0
v9OYaa6Q,USA 2,-,2024-07-04,01:00,New Mexico,Orange County SC,2.18,2.2,5.1,1.38,2.8,2.65,1.42,5.7,1.1,1.6,3.75,4.9,1.05,7.7,1.27,3.45,1.82,1.93,2.9,1.36,5.0,1.14,1.83,1.87,1.17,1.23,2.32,7.7,14.5,30.0,90.0,6.8,7.4,16.0,50.0,7.4,8.0,16.5,50.0,11.75,12.5,26.0,75.0,600.0,0,0,2,0,"[50, 73]",[],0,0
OU7ZWg1D,USA 1,-,2024-07-04,01:30,Real Salt Lake,Houston Dynamo,2.3,2.4,4.33,1.29,3.5,2.38,1.53,5.5,1.14,1.8,4.1,3.9,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.57,2.25,1.25,1.22,1.95,17.0,15.0,23.0,41.0,9.5,8.0,13.0,29.0,10.0,8.5,13.0,29.0,15.0,13.0,21.0,41.0,126.0,2,1,3,2,"[22, 42, 67]","[8, 55]",0,0
GUF0eJEs,USA 2,-,2024-07-04,02:30,Sacramento Republic,Las Vegas Lights,2.22,2.25,4.65,1.36,2.9,2.57,1.45,5.5,1.11,1.65,3.75,4.35,1.05,8.0,1.25,3.6,1.75,2.0,2.75,1.39,4.7,1.15,1.75,1.98,1.21,1.23,2.18,8.0,13.5,26.0,70.0,7.6,7.4,14.5,40.0,8.25,8.0,15.0,45.0,13.0,13.0,24.0,65.0,500.0,0,1,0,1,[],[10],0,0
vaTvSjxU,EGYPT 1,ROUND 29,2024-07-04,13:00,Al Ahly,El Daklyeh,1.36,2.87,29.0,0.0,0.0,2.1,1.57,0.0,0.0,1.11,6.9,21.0,0.0,0.0,1.19,3.75,1.45,2.37,2.07,1.6,3.2,1.25,2.57,1.39,1.02,1.07,3.85,14.5,50.0,250.0,0.0,7.6,17.0,90.0,600.0,5.5,12.0,50.0,400.0,5.7,12.0,50.0,350.0,0.0,2,0,4,1,"[35, 41, 59, 90]",[90],0,0
dzvzTWMN,EGYPT 1,ROUND 29,2024-07-04,13:00,El Gaish,Al Ittihad,3.6,1.93,3.1,1.47,2.32,0.0,0.0,0.0,0.0,3.15,2.65,2.52,1.11,6.0,1.42,2.47,2.2,1.52,3.7,1.19,0.0,0.0,1.87,1.75,1.53,1.35,1.37,7.0,6.6,11.0,27.0,7.8,5.6,9.5,23.0,15.0,11.0,15.0,37.0,40.0,30.0,40.0,90.0,800.0,0,0,0,0,[20],[],0,0
tO7kaNs2,ESTONIA 1,ROUND 18,2024-07-04,16:00,Levadia,Flora,2.22,2.2,4.45,0.0,0.0,2.35,1.42,0.0,0.0,1.65,3.65,4.3,0.0,0.0,1.22,4.0,1.65,1.98,2.75,1.42,0.0,0.0,1.66,2.15,1.19,1.23,2.12,11.75,11.75,21.0,55.0,6.7,6.3,11.75,29.0,7.3,6.9,11.5,29.0,11.0,10.5,18.0,40.0,250.0,1,0,1,0,[23],[],0,0
SK3o03Se,ESTONIA 1,ROUND 18,2024-07-04,16:00,Paide,Narva,2.07,2.3,4.75,0.0,0.0,2.18,1.5,0.0,0.0,1.57,3.85,4.7,0.0,0.0,1.16,4.75,1.53,2.18,2.3,1.57,4.0,1.22,1.57,2.3,1.16,1.21,2.32,14.0,14.0,25.0,65.0,7.6,6.9,13.0,32.0,7.5,6.9,11.5,30.0,10.5,9.5,16.0,37.0,200.0,0,2,2,2,"[57, 81]","[22, 40]",0,0
MJpxNQZ8,ESTONIA 1,ROUND 18,2024-07-04,16:00,Tammeka,Nomme Utd,2.12,2.27,4.55,0.0,0.0,2.2,1.47,0.0,0.0,1.62,3.7,4.55,0.0,0.0,1.18,4.5,1.6,2.07,2.55,1.47,0.0,0.0,1.62,2.05,1.17,1.22,2.22,13.0,13.5,24.0,60.0,7.1,6.6,12.0,30.0,7.3,6.9,11.25,29.0,10.75,10.0,17.0,37.0,200.0,2,1,2,1,"[20, 36]",[24],0,0
88QaPBVE,ICELAND 2,ROUND 11,2024-07-04,18:00,Fjolnir,Keflavik,2.45,2.65,3.0,0.0,0.0,1.82,1.85,0.0,0.0,2.07,4.2,2.72,0.0,0.0,0.0,0.0,1.28,3.05,1.7,1.93,2.45,1.42,1.3,2.95,1.38,1.2,1.72,29.0,21.0,23.0,37.0,18.0,10.5,11.5,19.0,17.0,10.0,11.25,18.0,24.0,14.0,15.5,25.0,100.0,0,0,0,0,[],[],0,0
EoReQiG8,ICELAND 2,ROUND 11,2024-07-04,18:00,Thor Akureyri,Grotta,1.98,2.55,4.55,0.0,0.0,1.98,1.65,0.0,0.0,1.53,4.3,4.8,0.0,0.0,0.0,0.0,1.42,2.47,2.0,1.65,3.1,1.27,1.5,2.25,1.16,1.19,2.42,19.0,21.0,35.0,90.0,10.75,9.25,16.0,40.0,9.5,8.25,13.5,35.0,12.5,11.0,18.0,40.0,250.0,0,1,3,1,"[55, 60, 90]",[41],0,0
th5n2K2m,PERU 2,ROUND 15,2024-07-04,18:00,Santos,Dep. Municipal,2.57,1.93,4.45,1.47,2.22,0.0,0.0,0.0,0.0,1.9,3.05,3.9,0.0,0.0,0.0,0.0,2.07,1.6,0.0,0.0,0.0,0.0,1.95,1.75,1.22,1.3,1.83,7.5,8.0,16.5,45.0,5.3,5.3,11.0,32.0,7.2,7.1,13.0,37.0,13.5,13.5,24.0,60.0,500.0,0,1,1,1,[54],[45],0,0
