Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
ljESzA3N,CHINA 1,ROUND 28,2025-10-26,04:30,Shandong Taishan,Shanghai Port,3.0,2.75,2.75,1.17,5.0,1.85,1.95,3.75,1.25,2.57,4.0,2.25,1.01,29.0,1.07,9.0,1.3,3.5,1.73,2.0,2.63,1.44,1.29,3.5,1.57,1.22,1.44,29.0,19.0,19.0,26.0,21.0,9.5,11.0,15.0,21.0,12.0,10.0,17.0,29.0,17.0,17.0,21.0,51.0
jRbDRliR,AUSTRIA 2,ROUND 11,2025-10-26,06:30,Amstetten,Floridsdorfer AC,2.95,2.07,3.5,1.42,2.65,2.82,1.38,6.2,1.09,2.32,3.35,2.85,1.06,7.3,1.3,3.2,1.88,1.82,3.1,1.32,5.4,1.12,1.72,2.02,1.42,1.3,1.6,7.3,9.0,14.5,35.0,8.25,6.4,10.25,24.0,11.75,9.0,13.5,32.0,24.0,18.5,27.0,60.0,450.0
KY4bVmRp,CHINA 1,ROUND 28,2025-10-26,07:30,Qingdao West Coast,Chengdu Rongcheng,5.5,2.5,2.0,1.29,3.5,2.25,1.57,5.5,1.14,5.25,4.5,1.49,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.7,2.05,2.38,1.18,1.17,17.0,9.0,8.5,11.0,19.0,8.5,8.5,11.0,34.0,17.0,15.0,21.0,51.0,41.0,41.0,41.0,151.0
O847r053,NETHERLANDS 1,ROUND 10,2025-10-26,08:15,Twente,Ajax,2.88,2.38,3.25,1.3,3.4,2.38,1.53,6.0,1.13,2.35,3.5,3.0,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.53,2.38,1.36,1.29,1.57,15.0,13.0,17.0,29.0,11.0,6.5,11.0,21.0,13.0,9.5,11.0,26.0,23.0,17.0,21.0,34.0,126.0
CdDCwJJt,ITALY 1,ROUND 8,2025-10-26,08:30,Torino,Genoa,3.1,1.91,4.33,1.57,2.25,3.75,1.25,11.0,1.05,2.25,2.9,3.5,1.13,6.0,1.53,2.5,2.75,1.44,5.0,1.17,13.0,1.04,2.1,1.67,1.29,1.4,1.62,6.0,8.0,17.0,41.0,6.0,5.5,13.0,34.0,9.5,10.0,19.0,51.0,21.0,23.0,41.0,67.0,501.0
0UsogiJi,CHINA 1,ROUND 28,2025-10-26,08:35,Beijing Guoan,Qingdao Hainiu,1.83,2.88,5.0,1.17,5.0,1.85,1.95,3.75,1.25,1.42,5.0,5.5,1.01,26.0,1.08,8.0,1.3,3.5,1.73,2.0,2.63,1.44,1.44,2.63,1.14,1.17,2.63,29.0,26.0,41.0,51.0,15.0,11.0,19.0,34.0,11.0,9.0,13.0,29.0,13.0,11.0,17.0,29.0,81.0
8fogiVm4,CHINA 1,ROUND 28,2025-10-26,08:35,Shanghai Shenhua,Dalian Yingbo,1.53,3.0,10.0,1.2,4.33,2.05,1.75,4.33,1.2,1.15,7.0,13.0,1.02,21.0,1.13,6.0,1.44,2.7,2.0,1.73,3.4,1.3,2.0,1.75,1.04,1.1,4.5,21.0,34.0,51.0,151.0,9.5,13.0,34.0,81.0,7.0,10.0,23.0,67.0,7.5,11.0,26.0,67.0,301.0
nJDcMGEr,FINLAND 1,RELEGATION,2025-10-26,09:00,KTP,TPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oAhHLqg,CZECH 1,ROUND 13,2025-10-26,09:00,Sigma Olomouc,Slavia Prague,5.0,2.25,2.25,1.36,3.0,2.75,1.4,7.0,1.1,4.5,3.75,1.7,1.05,11.0,1.29,3.5,1.93,1.88,3.4,1.3,6.5,1.11,1.91,1.91,2.1,1.25,1.18,11.0,7.0,8.0,13.0,12.0,7.0,8.5,15.0,23.0,15.0,17.0,26.0,51.0,41.0,41.0,51.0,301.0
4CuWxFpm,GERMANY 2,ROUND 10,2025-10-26,09:30,Magdeburg,Preussen Munster,2.4,2.5,3.75,1.25,3.75,2.2,1.62,5.0,1.17,1.91,3.9,3.6,1.03,17.0,1.14,5.5,1.53,2.4,2.25,1.57,4.0,1.22,1.5,2.5,1.29,1.25,1.83,17.0,15.0,21.0,41.0,11.0,7.5,13.0,26.0,11.0,9.0,12.0,26.0,17.0,13.0,19.0,34.0,101.0
IoOLu5J7,BELGIUM 1,ROUND 12,2025-10-26,09:30,Antwerp,Club Brugge KV,5.0,2.5,2.1,1.29,3.5,2.25,1.57,5.5,1.14,4.75,4.1,1.62,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.62,2.2,2.25,1.22,1.18,17.0,9.5,9.0,13.0,17.0,8.0,8.5,12.0,29.0,15.0,15.0,21.0,51.0,34.0,34.0,41.0,151.0
CSRPjS5m,ESTONIA 1,ROUND 34,2025-10-26,09:30,Paide,Flora,3.1,3.8,1.83,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.8,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.8,1.7,1.2,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vmuFx6j4,GERMANY 2,ROUND 10,2025-10-26,09:30,Braunschweig,Hannover,4.0,2.38,2.4,1.3,3.4,2.38,1.53,6.0,1.13,3.8,3.6,1.9,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.57,2.25,1.91,1.29,1.25,15.0,9.5,11.0,17.0,15.0,7.0,8.5,15.0,21.0,13.0,12.0,21.0,41.0,29.0,29.0,41.0,126.0
jTwvygFa,GERMANY 2,ROUND 10,2025-10-26,09:30,Kaiserslautern,Nurnberg,2.5,2.38,3.75,1.29,3.5,2.38,1.53,5.5,1.14,2.0,3.75,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.53,2.38,1.3,1.25,1.8,15.0,13.0,21.0,41.0,10.0,7.0,12.0,23.0,11.0,9.0,12.0,29.0,19.0,15.0,21.0,41.0,126.0
rRMaONsB,DENMARK 1,ROUND 13,2025-10-26,10:00,Fredericia,Midtjylland,6.0,2.75,1.8,1.22,4.0,2.05,1.75,4.33,1.2,7.0,5.0,1.37,1.02,21.0,1.13,6.0,1.44,2.7,2.0,1.73,3.4,1.3,1.62,2.2,2.75,1.17,1.1,21.0,11.0,9.0,11.0,23.0,10.0,8.5,10.0,41.0,21.0,15.0,19.0,81.0,41.0,41.0,41.0,126.0
jXqRvqSi,DENMARK 1,ROUND 13,2025-10-26,10:00,Vejle,Silkeborg,3.25,2.3,3.0,1.33,3.25,2.5,1.5,6.5,1.11,2.7,3.4,2.4,1.04,13.0,1.22,4.0,1.73,2.08,2.63,1.44,5.5,1.14,1.57,2.25,1.53,1.3,1.4,13.0,10.0,13.0,23.0,11.0,6.5,10.0,19.0,15.0,10.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
tQIFkV0B,SPAIN 1,ROUND 10,2025-10-26,10:00,Mallorca,Levante,2.75,2.1,4.0,1.44,2.63,3.25,1.33,9.0,1.07,2.1,3.3,3.6,1.07,9.0,1.36,3.2,2.1,1.73,4.0,1.25,8.0,1.08,1.91,1.91,1.29,1.33,1.7,8.5,10.0,17.0,41.0,7.0,6.0,13.0,29.0,9.5,9.0,15.0,41.0,19.0,19.0,29.0,51.0,301.0
fDY0wdM0,AUSTRIA 1,ROUND 11,2025-10-26,10:30,Sturm Graz,Wolfsberger AC,2.5,2.25,4.0,1.33,3.25,2.63,1.44,7.0,1.1,1.91,3.5,3.8,1.04,13.0,1.25,3.75,1.8,2.0,3.0,1.36,5.5,1.14,1.67,2.1,1.25,1.29,1.8,12.0,13.0,21.0,41.0,8.5,6.5,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
