Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
Oj5tCE53,EGYPT 1,ROUND 11,2025-10-21,11:00,Pyramids,Pharco,1.8,2.27,9.0,1.42,2.67,2.8,1.38,6.1,1.09,1.31,4.6,10.25,1.06,7.3,1.31,3.2,1.9,1.8,3.15,1.31,5.4,1.12,2.42,1.5,1.06,1.16,3.5,7.3,19.5,70.0,350.0,5.4,9.5,35.0,175.0,5.3,9.25,30.0,175.0,7.3,12.5,40.0,200.0,101.0
6qlUZsy9,ITALY 3,GROUP A,2025-10-21,11:30,Inter U23,Renate,2.42,2.0,5.0,1.5,2.4,3.2,1.31,7.0,1.07,1.75,3.3,4.35,1.09,6.3,1.42,2.67,2.2,1.6,3.85,1.22,6.7,1.07,2.1,1.65,1.21,1.28,2.02,6.3,10.0,23.0,75.0,5.7,6.6,15.5,50.0,7.3,8.5,19.0,65.0,13.5,16.0,35.0,120.0,900.0
rk5FzGFk,ESTONIA 1,ROUND 33,2025-10-21,12:00,Flora,Narva,2.18,2.32,4.2,1.23,3.1,2.2,1.47,4.3,1.11,1.67,3.85,3.95,1.02,13.0,1.16,3.9,1.55,2.15,2.3,1.46,3.75,1.17,1.57,2.16,1.21,1.21,1.98,14.0,11.25,18.0,40.0,7.1,6.4,10.25,23.0,7.3,6.5,10.25,23.0,10.25,9.25,14.5,32.0,150.0
jF8NYgp2,ESTONIA 1,ROUND 33,2025-10-21,12:00,Parnu JK Vaprus,Kuressaare,1.98,2.4,4.75,1.19,3.4,2.1,1.53,3.9,1.13,1.5,4.15,4.85,1.01,15.0,1.13,4.3,1.45,2.32,2.12,1.57,3.4,1.21,1.59,2.13,1.15,1.19,2.25,16.0,14.0,23.0,55.0,7.5,6.9,12.0,28.0,6.9,6.5,10.5,25.0,9.0,8.5,14.0,32.0,150.0
UsazVhed,EUROPA CHAMPIONS LEAGUE,LEAGUE PHASE,2025-10-21,13:45,Barcelona,Olympiacos Piraeus,1.53,3.1,10.0,1.2,4.33,2.0,1.8,4.0,1.22,1.2,7.0,13.0,1.01,23.0,1.11,6.5,1.4,3.0,2.0,1.8,3.2,1.36,1.95,1.8,1.04,1.1,4.33,23.0,34.0,51.0,151.0,11.0,13.0,34.0,81.0,7.5,10.0,23.0,51.0,7.5,10.0,26.0,51.0,251.0
zH3r08V9,EUROPA CHAMPIONS LEAGUE,LEAGUE PHASE,2025-10-21,13:45,Kairat Almaty,Pafos,3.4,2.05,3.4,1.44,2.63,3.25,1.33,9.0,1.07,2.7,3.1,2.7,1.08,8.0,1.36,3.2,2.2,1.67,4.0,1.25,8.0,1.08,1.91,1.91,1.44,1.36,1.44,8.0,8.0,13.0,26.0,8.0,6.0,11.0,23.0,13.0,11.0,15.0,34.0,26.0,23.0,34.0,51.0,301.0
Eg56Y925,FRANCE 3,ROUND 11,2025-10-21,14:30,Villefranche,Orleans,4.2,1.98,2.65,1.45,2.37,2.65,1.31,6.2,1.06,3.75,3.15,1.98,1.05,7.6,1.35,2.72,2.02,1.62,3.3,1.24,5.4,1.07,1.82,1.78,1.78,1.3,1.24,8.25,6.0,8.25,16.0,9.5,5.8,8.0,16.0,18.5,11.75,14.0,28.0,50.0,32.0,37.0,70.0,600.0
6T1bzWXh,FRANCE 3,ROUND 11,2025-10-21,14:30,Versailles,Dijon,3.5,1.87,3.35,1.53,2.2,2.9,1.26,7.2,1.04,2.75,2.85,2.67,1.07,6.4,1.42,2.47,2.22,1.52,3.7,1.19,6.2,1.04,1.85,1.75,1.45,1.36,1.38,6.9,6.9,12.0,29.0,6.6,5.3,9.25,23.0,11.75,9.75,14.0,32.0,30.0,25.0,37.0,75.0,700.0
nRocxh3t,FRANCE 3,ROUND 11,2025-10-21,14:30,Quevilly Rouen,Sochaux,4.15,1.9,2.85,1.5,2.27,2.8,1.27,6.8,1.04,3.45,2.9,2.2,1.06,6.6,1.37,2.62,2.07,1.6,3.4,1.23,6.0,1.05,1.78,1.82,1.65,1.34,1.27,7.5,6.6,10.0,21.0,8.0,5.4,8.25,17.0,16.0,11.0,13.0,27.0,45.0,32.0,40.0,65.0,500.0
zmIvKAmC,FRANCE 3,ROUND 11,2025-10-21,14:30,Paris 13 Atl.,Stade Briochin,2.8,1.9,4.2,1.52,2.22,2.8,1.28,6.6,1.05,2.07,3.0,3.7,1.06,7.0,1.4,2.5,2.18,1.53,3.65,1.19,6.0,1.05,1.9,1.72,1.24,1.33,1.72,7.2,8.75,18.0,50.0,5.6,5.6,11.75,35.0,8.25,8.5,14.5,40.0,17.5,18.0,32.0,80.0,700.0
SMEWLWIa,FRANCE 3,ROUND 11,2025-10-21,14:30,Bourg en Bresse,Fleury-Merogis,4.15,1.87,2.9,1.53,2.18,2.95,1.25,7.4,1.04,3.55,2.92,2.15,1.07,6.0,1.44,2.42,2.25,1.5,3.8,1.18,6.4,1.04,1.93,1.7,1.67,1.34,1.26,6.8,5.6,8.75,19.0,8.0,5.5,8.5,19.0,16.5,11.5,15.0,35.0,45.0,32.0,45.0,80.0,800.0
Mqh55BYI,FRANCE 3,ROUND 11,2025-10-21,14:30,Aubagne,Valenciennes,3.5,1.95,3.15,1.47,2.32,2.7,1.29,6.4,1.05,2.8,3.05,2.47,1.05,7.2,1.36,2.67,2.05,1.6,3.4,1.23,5.8,1.06,1.78,1.82,1.52,1.33,1.36,8.0,7.0,11.0,25.0,7.4,5.6,9.0,20.0,12.5,9.75,13.5,30.0,30.0,24.0,32.0,65.0,500.0
67QNNhlm,FRANCE 3,ROUND 11,2025-10-21,14:30,Concarneau,Chateauroux,2.6,1.95,4.45,1.47,2.35,2.65,1.31,6.2,1.05,1.95,3.1,3.9,1.05,7.6,1.35,2.7,2.02,1.62,3.3,1.24,5.6,1.06,1.8,1.8,1.23,1.31,1.8,8.0,9.0,18.5,55.0,6.3,5.8,12.5,37.0,8.5,7.9,14.0,45.0,16.5,15.0,26.0,70.0,600.0
bivfXb0e,NETHERLANDS 2,ROUND 12,2025-10-21,15:00,Venlo,Jong Utrecht,2.1,2.5,4.75,1.25,3.75,2.2,1.62,5.0,1.17,1.56,4.1,4.5,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.57,2.25,1.18,1.22,2.3,17.0,17.0,29.0,51.0,9.5,8.5,15.0,34.0,9.5,8.5,13.0,34.0,13.0,12.0,21.0,41.0,126.0
W4x2VxV7,NETHERLANDS 2,ROUND 12,2025-10-21,15:00,Oss,Jong Ajax,2.5,2.5,3.75,1.25,3.75,2.2,1.62,5.0,1.17,1.91,3.7,3.4,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.5,2.5,1.3,1.29,1.8,17.0,15.0,21.0,41.0,11.0,7.5,13.0,23.0,12.0,9.0,12.0,26.0,19.0,13.0,19.0,34.0,101.0
