Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
SxBFpD0l,USA 2,-,2025-07-13,00:00,Sacramento Republic,El Paso,2.52,2.0,4.65,1.45,2.5,3.15,1.3,6.8,1.07,1.83,3.3,4.0,1.07,6.5,1.38,2.75,2.23,1.57,4.0,1.19,8.0,1.05,2.02,1.7,1.24,1.29,1.93,6.3,9.5,21.0,65.0,5.9,6.5,14.5,45.0,7.8,8.75,18.5,60.0,15.0,16.5,35.0,110.0,800.0
EiCfEdq3,MEXICO 1,APERTURA,2025-07-13,00:05,Cruz Azul,Mazatlan FC,1.67,2.6,10.0,1.3,3.15,2.48,1.47,5.57,1.11,1.27,5.5,13.0,1.02,13.0,1.2,3.9,1.7,2.0,2.8,1.37,5.0,1.12,2.2,1.62,1.04,1.14,3.75,12.0,26.0,51.0,151.0,6.5,10.0,34.0,81.0,6.0,9.0,26.0,81.0,7.5,12.0,34.0,81.0,501.0
bgZDw1uA,SOUTH KOREA 2,ROUND 20,2025-07-13,07:00,Ansan Greeners,Seoul E-Land,4.75,2.1,2.6,1.42,2.59,2.85,1.36,6.76,1.06,4.0,3.4,1.85,1.06,8.5,1.33,3.0,2.02,1.68,3.5,1.24,6.5,1.07,1.91,1.8,1.91,1.3,1.22,8.5,6.5,8.5,15.0,10.0,6.5,9.0,17.0,19.0,13.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
xvo5uNAc,SOUTH KOREA 2,ROUND 20,2025-07-13,07:00,Bucheon FC 1995,Gimpo FC,2.88,2.1,4.0,1.44,2.55,3.08,1.31,6.57,1.07,2.15,3.25,3.3,1.06,9.0,1.38,2.75,2.16,1.6,3.85,1.21,8.0,1.07,1.83,1.83,1.33,1.33,1.67,8.5,9.0,17.0,34.0,7.0,6.5,12.0,29.0,10.0,9.5,15.0,41.0,19.0,19.0,29.0,51.0,301.0
AXhJHJIj,SOUTH KOREA 2,ROUND 20,2025-07-13,07:00,Incheon,Asan,2.3,2.2,5.5,1.4,2.67,2.8,1.37,6.41,1.07,1.7,3.6,4.5,1.06,9.0,1.3,3.1,1.95,1.75,3.35,1.27,6.0,1.08,2.0,1.73,1.18,1.29,2.1,9.0,11.0,23.0,51.0,6.0,7.0,15.0,41.0,7.5,8.5,19.0,41.0,13.0,15.0,29.0,67.0,1000.0
KvriGZFF,ESTONIA 1,ROUND 20,2025-07-13,08:30,Tallinna Kalev,Harju JK Laagri,3.4,2.35,2.42,1.24,3.56,1.98,1.72,4.21,1.17,3.05,3.75,1.93,1.01,17.0,1.08,5.3,1.37,2.6,2.0,1.64,3.3,1.24,1.45,2.57,1.8,1.23,1.31,17.0,8.75,9.25,13.5,11.0,6.5,6.9,10.25,14.5,8.75,9.0,13.5,27.0,16.5,17.0,25.0,110.0
W44LAmKj,SWEDEN 1,ROUND 15,2025-07-13,09:00,GAIS,Hammarby,3.4,2.2,3.1,1.38,2.8,2.75,1.4,6.5,1.07,2.7,3.4,2.5,1.04,11.0,1.29,3.6,1.97,1.83,3.6,1.29,7.5,1.09,1.75,2.0,1.5,1.3,1.44,10.0,8.5,12.0,23.0,9.0,6.5,10.0,21.0,13.0,10.0,15.0,29.0,29.0,21.0,29.0,51.0,201.0
CKNlG9dT,SWEDEN 1,ROUND 15,2025-07-13,09:00,Brommapojkarna,Oster,2.25,2.38,4.75,1.29,3.2,2.43,1.49,5.6,1.11,1.7,4.0,4.5,1.01,17.0,1.19,4.7,1.66,2.23,2.7,1.46,5.1,1.17,1.7,2.05,1.18,1.22,2.1,13.0,15.0,23.0,51.0,8.0,7.5,15.0,34.0,9.0,8.5,15.0,34.0,13.0,13.0,23.0,41.0,201.0
d017FJd5,NORWAY 1,ROUND 13,2025-07-13,09:30,Bryne,Valerenga,2.88,2.3,3.4,1.3,3.15,2.5,1.47,5.8,1.09,2.3,3.5,2.9,1.01,14.0,1.21,4.2,1.74,2.05,3.05,1.36,6.1,1.11,1.62,2.2,1.4,1.29,1.57,13.0,11.0,15.0,29.0,9.5,7.0,10.0,21.0,12.0,9.5,13.0,26.0,21.0,17.0,23.0,41.0,151.0
feHnplGq,FINLAND 2,-,2025-07-13,10:00,Klubi 04,JIPPO,2.65,2.32,3.2,1.15,4.33,2.05,1.67,3.74,1.2,2.18,3.7,2.77,1.01,17.0,1.12,5.1,1.43,2.6,2.1,1.64,3.45,1.25,1.42,2.45,1.37,1.24,1.65,17.0,13.0,16.5,32.0,11.75,7.5,9.75,18.5,13.5,8.75,10.5,20.0,22.0,14.0,17.5,30.0,150.0
